,ticker,companyshortname,startdatetime,startdatetimetype,epsestimate,epsactual,epssurprisepct,timeZoneShortName,gmtOffsetMilliSeconds,quoteType,date
0,ACIW,"ACI Worldwide, Inc.",2021-11-04T00:00:00.000Z,TNS,0.14,0.12,-14.29,EST,0,EQUITY,2021-11-04
1,ACIW,"ACI Worldwide, Inc.",2021-08-05T00:00:00.000Z,TNS,0.08,0.05,-40.48,EST,0,EQUITY,2021-08-05
2,ACIW,"ACI Worldwide, Inc.",2021-05-06T00:00:00.000Z,TNS,-0.09,-0.02,78.72,EST,0,EQUITY,2021-05-06
3,ACIW,"ACI Worldwide, Inc.",2021-02-25T00:00:00.000Z,TNS,0.54,0.56,4.09,EST,0,EQUITY,2021-02-25
4,ACIW,"ACI Worldwide, Inc.",2020-11-05T00:00:00.000Z,TNS,0.14,0.13,-7.14,EST,0,EQUITY,2020-11-05
5,ACIW,"ACI Worldwide, Inc.",2020-08-06T00:00:00.000Z,TNS,-0.05,0.12,340.0,EST,0,EQUITY,2020-08-06
6,ACIW,"ACI Worldwide, Inc.",2020-05-07T00:00:00.000Z,TNS,-0.1,-0.21,-101.92,EST,0,EQUITY,2020-05-07
7,ACIW,"ACI Worldwide, Inc.",2020-02-27T00:00:00.000Z,TNS,0.56,0.47,-16.37,EST,0,EQUITY,2020-02-27
8,ACIW,"ACI Worldwide, Inc.",2019-11-07T00:00:00.000Z,TNS,0.13,0.27,107.69,EST,0,EQUITY,2019-11-07
9,ACIW,"ACI Worldwide, Inc.",2019-08-08T00:00:00.000Z,TNS,-0.1,0.05,148.54,EST,0,EQUITY,2019-08-08
10,ACIW,"ACI Worldwide, Inc.",2019-05-09T00:00:00.000Z,TNS,-0.11,-0.22,-100.0,EST,0,EQUITY,2019-05-09
11,ACIW,"ACI Worldwide, Inc.",2019-02-28T00:00:00.000Z,TNS,0.75,0.74,-1.07,EST,0,EQUITY,2019-02-28
12,ACIW,"ACI Worldwide, Inc.",2018-11-08T00:00:00.000Z,TNS,-0.02,0.13,750.0,EST,0,EQUITY,2018-11-08
13,ACIW,"ACI Worldwide, Inc.",2018-08-02T00:00:00.000Z,TNS,-0.09,-0.13,-36.84,EST,0,EQUITY,2018-08-02
14,ACIW,"ACI Worldwide, Inc.",2018-05-10T00:00:00.000Z,TNS,-0.05,-0.17,-220.75,EST,0,EQUITY,2018-05-10
15,ACIW,"ACI Worldwide, Inc.",2018-02-22T00:00:00.000Z,TNS,0.43,0.62,44.86,EST,0,EQUITY,2018-02-22
16,ACIW,"ACI Worldwide, Inc.",2017-11-02T00:00:00.000Z,TNS,-0.09,0.04,145.45,EST,0,EQUITY,2017-11-02
17,ACIW,"ACI Worldwide, Inc.",2017-07-27T00:00:00.000Z,TNS,-0.08,0.01,112.2,EST,0,EQUITY,2017-07-27
18,ACIW,"ACI Worldwide, Inc.",2017-05-04T00:00:00.000Z,TNS,-0.08,0.02,125.32,EST,0,EQUITY,2017-05-04
19,ACIW,"ACI Worldwide, Inc.",2017-03-01T00:00:00.000Z,TNS,0.52,0.57,10.47,EST,0,EQUITY,2017-03-01
20,ACIW,"ACI Worldwide, Inc.",2016-11-03T00:00:00.000Z,TNS,0.13,-0.04,-130.53,EST,0,EQUITY,2016-11-03
