,ticker,companyshortname,startdatetime,startdatetimetype,epsestimate,epsactual,epssurprisepct,timeZoneShortName,gmtOffsetMilliSeconds,quoteType,date
0,ADAP,Adaptimmune Therapeutics plc,2021-11-04T00:00:00.000Z,TNS,-0.26,-0.3,-13.21,EST,0,EQUITY,2021-11-04
1,ADAP,Adaptimmune Therapeutics plc,2021-08-09T00:00:00.000Z,TNS,-0.24,-0.24,2.04,EST,0,EQUITY,2021-08-09
2,ADAP,Adaptimmune Therapeutics plc,2021-05-06T00:00:00.000Z,TNS,-0.25,-0.24,4.0,EST,0,EQUITY,2021-05-06
3,ADAP,Adaptimmune Therapeutics plc,2021-02-25T00:00:00.000Z,TNS,-0.23,-0.24,-3.45,EST,0,EQUITY,2021-02-25
4,ADAP,Adaptimmune Therapeutics plc,2020-11-05T00:00:00.000Z,TNS,-0.25,-0.24,5.51,EST,0,EQUITY,2020-11-05
5,ADAP,Adaptimmune Therapeutics plc,2020-08-06T00:00:00.000Z,TNS,-0.23,-0.24,-2.13,EST,0,EQUITY,2020-08-06
6,ADAP,Adaptimmune Therapeutics plc,2020-05-14T00:00:00.000Z,TNS,-0.25,-0.24,5.14,EST,0,EQUITY,2020-05-14
7,ADAP,Adaptimmune Therapeutics plc,2020-02-27T00:00:00.000Z,TNS,-0.34,-0.3,11.76,EST,0,EQUITY,2020-02-27
8,ADAP,Adaptimmune Therapeutics plc,2019-11-06T00:00:00.000Z,TNS,-0.31,-0.36,-17.65,EST,0,EQUITY,2019-11-06
9,ADAP,Adaptimmune Therapeutics plc,2019-08-01T00:00:00.000Z,TNS,-0.33,-0.39,-17.47,EST,0,EQUITY,2019-08-01
10,ADAP,Adaptimmune Therapeutics plc,2019-05-06T00:00:00.000Z,TNS,-0.31,-0.26,16.93,EST,0,EQUITY,2019-05-06
11,ADAP,Adaptimmune Therapeutics plc,2019-02-27T00:00:00.000Z,TNS,-0.32,-0.36,-11.46,EST,0,EQUITY,2019-02-27
12,ADAP,Adaptimmune Therapeutics plc,2018-11-06T00:00:00.000Z,TNS,-0.05,0.06,209.09,EST,0,EQUITY,2018-11-06
13,ADAP,Adaptimmune Therapeutics plc,2018-08-02T00:00:00.000Z,TNS,-0.27,-0.48,-75.82,EST,0,EQUITY,2018-08-02
14,ADAP,Adaptimmune Therapeutics plc,2018-05-09T00:00:00.000Z,TNS,-0.24,-0.22,9.09,EST,0,EQUITY,2018-05-09
15,ADAP,Adaptimmune Therapeutics plc,2018-03-15T00:00:00.000Z,TNS,-0.23,-0.3,-31.58,EST,0,EQUITY,2018-03-15
16,ADAP,Adaptimmune Therapeutics plc,2017-11-02T00:00:00.000Z,TNS,-0.23,-0.01,96.04,EST,0,EQUITY,2017-11-02
17,ADAP,Adaptimmune Therapeutics plc,2017-08-03T00:00:00.000Z,TNS,-0.25,-0.24,2.83,EST,0,EQUITY,2017-08-03
18,ADAP,Adaptimmune Therapeutics plc,2017-05-10T00:00:00.000Z,TNS,-0.26,-0.3,-13.64,EST,0,EQUITY,2017-05-10
19,ADAP,Adaptimmune Therapeutics plc,2017-03-13T00:00:00.000Z,TNS,-0.27,-0.24,11.76,EST,0,EQUITY,2017-03-13
20,ADAP,Adaptimmune Therapeutics plc,2016-11-10T00:00:00.000Z,TNS,-0.28,-0.24,14.29,EST,0,EQUITY,2016-11-10
21,ADAP,Adaptimmune Therapeutics plc,2016-08-08T00:00:00.000Z,TNS,-0.25,-0.3,-17.65,EST,0,EQUITY,2016-08-08
22,ADAP,Adaptimmune Therapeutics plc,2016-05-12T00:00:00.000Z,TNS,-0.19,-0.22,-15.79,EST,0,EQUITY,2016-05-12
23,ADAP,Adaptimmune Therapeutics plc,2016-03-17T00:00:00.000Z,TNS,-0.14,-0.16,-15.94,EST,0,EQUITY,2016-03-17
24,ADAP,Adaptimmune Therapeutics plc,2015-11-13T00:00:00.000Z,TNS,-0.22,-0.02,92.0,EST,0,EQUITY,2015-11-13
