,ticker,companyshortname,startdatetime,startdatetimetype,epsestimate,epsactual,epssurprisepct,timeZoneShortName,gmtOffsetMilliSeconds,quoteType,date
0,ADTN,"ADTRAN, Inc.",2021-11-01T00:00:00.000Z,TNS,-0.02,-0.02,0.0,EST,0,EQUITY,2021-11-01
1,ADTN,"ADTRAN, Inc.",2021-08-04T00:00:00.000Z,TNS,0.12,0.16,30.08,EST,0,EQUITY,2021-08-04
2,ADTN,"ADTRAN, Inc.",2021-05-05T00:00:00.000Z,TNS,0.04,0.13,225.0,EST,0,EQUITY,2021-05-05
3,ADTN,"ADTRAN, Inc.",2021-02-03T00:00:00.000Z,TNS,0.07,0.11,61.76,EST,0,EQUITY,2021-02-03
4,ADTN,"ADTRAN, Inc.",2020-11-02T00:00:00.000Z,TNS,0.07,0.16,128.57,EST,0,EQUITY,2020-11-02
5,ADTN,"ADTRAN, Inc.",2020-08-05T00:00:00.000Z,TNS,0.01,0.04,471.43,EST,0,EQUITY,2020-08-05
6,ADTN,"ADTRAN, Inc.",2020-05-06T00:00:00.000Z,TNS,-0.1,-0.05,50.98,EST,0,EQUITY,2020-05-06
7,ADTN,"ADTRAN, Inc.",2020-02-05T00:00:00.000Z,TNS,-0.13,-0.07,45.31,EST,0,EQUITY,2020-02-05
8,ADTN,"ADTRAN, Inc.",2019-10-30T00:00:00.000Z,TNS,-0.06,-0.06,-1.69,EST,0,EQUITY,2019-10-30
9,ADTN,"ADTRAN, Inc.",2019-07-17T00:00:00.000Z,TNS,0.08,0.14,84.21,EST,0,EQUITY,2019-07-17
10,ADTN,"ADTRAN, Inc.",2019-04-17T00:00:00.000Z,TNS,-0.06,0.1,269.49,EST,0,EQUITY,2019-04-17
11,ADTN,"ADTRAN, Inc.",2019-01-23T00:00:00.000Z,TNS,-0.03,-0.12,-252.94,EST,0,EQUITY,2019-01-23
12,ADTN,"ADTRAN, Inc.",2018-10-16T00:00:00.000Z,TNS,0.04,0.21,400.0,EST,0,EQUITY,2018-10-16
13,ADTN,"ADTRAN, Inc.",2018-07-17T00:00:00.000Z,TNS,-0.25,-0.1,59.68,EST,0,EQUITY,2018-07-17
14,ADTN,"ADTRAN, Inc.",2018-04-17T00:00:00.000Z,TNS,-0.16,-0.29,-79.01,EST,0,EQUITY,2018-04-17
15,ADTN,"ADTRAN, Inc.",2018-01-16T00:00:00.000Z,TNS,-0.04,0.01,127.03,EST,0,EQUITY,2018-01-16
16,ADTN,"ADTRAN, Inc.",2017-10-17T00:00:00.000Z,TNS,0.26,0.33,25.95,EST,0,EQUITY,2017-10-17
17,ADTN,"ADTRAN, Inc.",2017-07-18T00:00:00.000Z,TNS,0.19,0.26,39.04,EST,0,EQUITY,2017-07-18
18,ADTN,"ADTRAN, Inc.",2017-04-18T00:00:00.000Z,TNS,0.12,0.14,21.74,EST,0,EQUITY,2017-04-18
19,ADTN,"ADTRAN, Inc.",2017-01-17T00:00:00.000Z,TNS,0.11,0.16,52.38,EST,0,EQUITY,2017-01-17
20,ADTN,"ADTRAN, Inc.",2016-10-18T00:00:00.000Z,TNS,0.21,0.26,26.83,EST,0,EQUITY,2016-10-18
21,ADTN,"ADTRAN, Inc.",2016-07-12T00:00:00.000Z,TNS,0.2,0.21,3.96,EST,0,EQUITY,2016-07-12
22,ADTN,"ADTRAN, Inc.",2016-04-12T00:00:00.000Z,TNS,0.08,0.1,21.95,EST,0,EQUITY,2016-04-12
23,ADTN,"ADTRAN, Inc.",2016-01-19T00:00:00.000Z,TNS,0.03,0.12,263.64,EST,0,EQUITY,2016-01-19
24,ADTN,"ADTRAN, Inc.",2015-10-13T00:00:00.000Z,TNS,0.14,0.14,0.72,EST,0,EQUITY,2015-10-13
25,ADTN,"ADTRAN, Inc.",2015-07-14T00:00:00.000Z,TNS,0.07,0.05,-31.51,EST,0,EQUITY,2015-07-14
26,ADTN,"ADTRAN, Inc.",2015-04-21T00:00:00.000Z,TNS,0.08,0.06,-25.93,EST,0,EQUITY,2015-04-21
27,ADTN,"ADTRAN, Inc.",2015-01-20T00:00:00.000Z,TNS,0.07,0.17,146.38,EST,0,EQUITY,2015-01-20
28,ADTN,"ADTRAN, Inc.",2014-10-14T00:00:00.000Z,TNS,0.2,0.21,6.6,EST,0,EQUITY,2014-10-14
29,ADTN,"ADTRAN, Inc.",2014-07-15T00:00:00.000Z,TNS,0.25,0.26,4.52,EST,0,EQUITY,2014-07-15
30,ADTN,"ADTRAN, Inc.",2014-04-15T00:00:00.000Z,TNS,0.17,0.17,3.03,EST,0,EQUITY,2014-04-15
31,ADTN,"ADTRAN, Inc.",2014-01-21T00:00:00.000Z,TNS,0.14,0.2,48.15,EST,0,EQUITY,2014-01-21
32,ADTN,"ADTRAN, Inc.",2013-10-08T00:00:00.000Z,TNS,0.22,0.28,25.38,EST,0,EQUITY,2013-10-08
33,ADTN,"ADTRAN, Inc.",2013-07-09T00:00:00.000Z,TNS,0.16,0.17,6.92,EST,0,EQUITY,2013-07-09
34,ADTN,"ADTRAN, Inc.",2013-04-09T00:00:00.000Z,TNS,0.08,0.13,61.07,EST,0,EQUITY,2013-04-09
35,ADTN,"ADTRAN, Inc.",2013-01-15T00:00:00.000Z,TNS,0.06,0.06,-1.27,EST,0,EQUITY,2013-01-15
36,ADTN,"ADTRAN, Inc.",2012-10-09T00:00:00.000Z,TNS,0.19,0.15,-22.41,EST,0,EQUITY,2012-10-09
37,ADTN,"ADTRAN, Inc.",2012-07-10T00:00:00.000Z,TNS,0.35,0.3,-14.81,EST,0,EQUITY,2012-07-10
38,ADTN,"ADTRAN, Inc.",2012-04-10T00:00:00.000Z,TNS,0.2,0.2,1.85,EST,0,EQUITY,2012-04-10
39,ADTN,"ADTRAN, Inc.",2012-01-17T00:00:00.000Z,TNS,0.46,0.48,5.38,EST,0,EQUITY,2012-01-17
40,ADTN,"ADTRAN, Inc.",2011-10-11T00:00:00.000Z,TNS,0.56,0.56,0.63,EST,0,EQUITY,2011-10-11
41,ADTN,"ADTRAN, Inc.",2011-07-12T00:00:00.000Z,TNS,0.53,0.56,5.31,EST,0,EQUITY,2011-07-12
42,ADTN,"ADTRAN, Inc.",2011-04-12T00:00:00.000Z,TNS,0.46,0.52,12.47,EST,0,EQUITY,2011-04-12
43,ADTN,"ADTRAN, Inc.",2011-01-18T00:00:00.000Z,TNS,0.43,0.56,28.82,EST,0,EQUITY,2011-01-18
44,ADTN,"ADTRAN, Inc.",2010-10-12T00:00:00.000Z,TNS,0.44,0.5,14.25,EST,0,EQUITY,2010-10-12
45,ADTN,"ADTRAN, Inc.",2010-07-13T00:00:00.000Z,TNS,0.35,0.44,27.05,EST,0,EQUITY,2010-07-13
46,ADTN,"ADTRAN, Inc.",2010-04-13T00:00:00.000Z,TNS,0.26,0.29,9.73,EST,0,EQUITY,2010-04-13
47,ADTN,"ADTRAN, Inc.",2010-01-19T00:00:00.000Z,TNS,0.27,0.29,7.94,EST,0,EQUITY,2010-01-19
48,ADTN,"ADTRAN, Inc.",2009-10-13T00:00:00.000Z,TNS,0.32,0.34,7.84,EST,0,EQUITY,2009-10-13
49,ADTN,"ADTRAN, Inc.",2009-07-14T00:00:00.000Z,TNS,0.28,0.3,8.87,EST,0,EQUITY,2009-07-14
50,ADTN,"ADTRAN, Inc.",2009-04-14T00:00:00.000Z,TNS,0.23,0.24,6.19,EST,0,EQUITY,2009-04-14
51,ADTN,"ADTRAN, Inc.",2009-01-20T00:00:00.000Z,TNS,0.27,0.27,-1.56,EST,0,EQUITY,2009-01-20
52,ADTN,"ADTRAN, Inc.",2008-10-13T00:00:00.000Z,TNS,0.35,0.35,-0.76,EST,0,EQUITY,2008-10-13
53,ADTN,"ADTRAN, Inc.",2008-07-14T00:00:00.000Z,TNS,0.3,0.34,13.57,EST,0,EQUITY,2008-07-14
54,ADTN,"ADTRAN, Inc.",2008-04-14T00:00:00.000Z,TNS,0.26,0.26,0.82,EST,0,EQUITY,2008-04-14
55,ADTN,"ADTRAN, Inc.",2008-01-22T00:00:00.000Z,TNS,0.28,0.27,-1.9,EST,0,EQUITY,2008-01-22
56,ADTN,"ADTRAN, Inc.",2007-10-15T00:00:00.000Z,TNS,0.29,0.31,5.63,EST,0,EQUITY,2007-10-15
57,ADTN,"ADTRAN, Inc.",2007-07-16T00:00:00.000Z,TNS,0.28,0.28,-0.88,EST,0,EQUITY,2007-07-16
58,ADTN,"ADTRAN, Inc.",2007-04-16T00:00:00.000Z,TNS,0.2,0.22,11.86,EST,0,EQUITY,2007-04-16
59,ADTN,"ADTRAN, Inc.",2007-01-22T00:00:00.000Z,TNS,0.23,0.24,4.85,EST,0,EQUITY,2007-01-22
60,ADTN,"ADTRAN, Inc.",2006-10-16T00:00:00.000Z,TNS,0.32,0.33,2.33,EST,0,EQUITY,2006-10-16
61,ADTN,"ADTRAN, Inc.",2006-07-17T00:00:00.000Z,TNS,0.28,0.27,-3.37,EST,0,EQUITY,2006-07-17
62,ADTN,"ADTRAN, Inc.",2006-04-17T00:00:00.000Z,TNS,0.21,0.21,0.53,EST,0,EQUITY,2006-04-17
63,ADTN,"ADTRAN, Inc.",2006-01-23T00:00:00.000Z,TNS,0.39,0.41,4.87,EST,0,EQUITY,2006-01-23
64,ADTN,"ADTRAN, Inc.",2005-10-17T00:00:00.000Z,TNS,0.39,0.42,8.04,EST,0,EQUITY,2005-10-17
65,ADTN,"ADTRAN, Inc.",2005-07-18T00:00:00.000Z,TNS,0.25,0.27,9.39,EST,0,EQUITY,2005-07-18
66,ADTN,"ADTRAN, Inc.",2005-04-18T00:00:00.000Z,TNS,0.17,0.2,20.77,EST,0,EQUITY,2005-04-18
67,ADTN,"ADTRAN, Inc.",2005-01-24T00:00:00.000Z,TNS,0.17,0.19,11.53,EST,0,EQUITY,2005-01-24
68,ADTN,"ADTRAN, Inc.",2004-10-11T00:00:00.000Z,TNS,0.24,0.23,-4.17,EST,0,EQUITY,2004-10-11
