,ticker,companyshortname,startdatetime,startdatetimetype,epsestimate,epsactual,epssurprisepct,timeZoneShortName,gmtOffsetMilliSeconds,quoteType,date
0,ALE,"ALLETE, Inc.",2021-11-04T00:00:00.000Z,TNS,0.71,0.53,-24.93,EST,0,EQUITY,2021-11-04
1,ALE,"ALLETE, Inc.",2021-08-04T00:00:00.000Z,TNS,0.51,0.53,3.11,EST,0,EQUITY,2021-08-04
2,ALE,"ALLETE, Inc.",2021-05-06T00:00:00.000Z,TNS,1.09,0.99,-8.84,EST,0,EQUITY,2021-05-06
3,ALE,"ALLETE, Inc.",2021-02-17T00:00:00.000Z,TNS,0.75,0.9,20.32,EST,0,EQUITY,2021-02-17
4,ALE,"ALLETE, Inc.",2020-11-09T00:00:00.000Z,TNS,0.64,0.78,21.5,EST,0,EQUITY,2020-11-09
5,ALE,"ALLETE, Inc.",2020-08-05T00:00:00.000Z,TNS,0.67,0.39,-41.62,EST,0,EQUITY,2020-08-05
6,ALE,"ALLETE, Inc.",2020-05-06T00:00:00.000Z,TNS,1.15,1.28,11.79,EST,0,EQUITY,2020-05-06
7,ALE,"ALLETE, Inc.",2020-02-13T00:00:00.000Z,TNS,0.92,0.96,4.01,EST,0,EQUITY,2020-02-13
8,ALE,"ALLETE, Inc.",2019-11-06T00:00:00.000Z,TNS,0.63,0.6,-4.76,EST,0,EQUITY,2019-11-06
9,ALE,"ALLETE, Inc.",2019-08-01T00:00:00.000Z,TNS,0.69,0.66,-3.93,EST,0,EQUITY,2019-08-01
10,ALE,"ALLETE, Inc.",2019-05-02T00:00:00.000Z,TNS,1.17,1.37,17.6,EST,0,EQUITY,2019-05-02
11,ALE,"ALLETE, Inc.",2019-02-14T00:00:00.000Z,TNS,1.13,1.07,-5.56,EST,0,EQUITY,2019-02-14
12,ALE,"ALLETE, Inc.",2018-11-01T00:00:00.000Z,TNS,0.77,0.67,-12.42,EST,0,EQUITY,2018-11-01
13,ALE,"ALLETE, Inc.",2018-08-02T00:00:00.000Z,TNS,0.71,0.61,-14.33,EST,0,EQUITY,2018-08-02
14,ALE,"ALLETE, Inc.",2018-05-02T00:00:00.000Z,TNS,0.98,0.99,1.02,EST,0,EQUITY,2018-05-02
15,ALE,"ALLETE, Inc.",2018-02-15T00:00:00.000Z,TNS,0.73,0.78,7.44,EST,0,EQUITY,2018-02-15
16,ALE,"ALLETE, Inc.",2017-11-01T00:00:00.000Z,TNS,0.94,0.72,-23.24,EST,0,EQUITY,2017-11-01
17,ALE,"ALLETE, Inc.",2017-08-02T00:00:00.000Z,TNS,0.55,0.72,30.2,EST,0,EQUITY,2017-08-02
18,ALE,"ALLETE, Inc.",2017-05-04T00:00:00.000Z,TNS,0.94,0.97,3.19,EST,0,EQUITY,2017-05-04
19,ALE,"ALLETE, Inc.",2017-02-15T00:00:00.000Z,TNS,0.73,0.7,-4.37,EST,0,EQUITY,2017-02-15
20,ALE,"ALLETE, Inc.",2016-11-04T00:00:00.000Z,TNS,0.96,0.99,3.56,EST,0,EQUITY,2016-11-04
21,ALE,"ALLETE, Inc.",2016-08-03T00:00:00.000Z,TNS,0.51,0.5,-2.53,EST,0,EQUITY,2016-08-03
22,ALE,"ALLETE, Inc.",2016-05-03T00:00:00.000Z,TNS,0.9,0.93,3.33,EST,0,EQUITY,2016-05-03
23,ALE,"ALLETE, Inc.",2016-02-18T00:00:00.000Z,TNS,0.78,0.41,-47.64,EST,0,EQUITY,2016-02-18
24,ALE,"ALLETE, Inc.",2015-11-03T00:00:00.000Z,TNS,1.02,1.25,22.31,EST,0,EQUITY,2015-11-03
25,ALE,"ALLETE, Inc.",2015-08-04T00:00:00.000Z,TNS,0.5,0.48,-4.76,EST,0,EQUITY,2015-08-04
26,ALE,"ALLETE, Inc.",2015-05-07T00:00:00.000Z,TNS,0.87,0.91,4.24,EST,0,EQUITY,2015-05-07
27,ALE,"ALLETE, Inc.",2015-02-17T00:00:00.000Z,TNS,0.68,0.73,7.35,EST,0,EQUITY,2015-02-17
