,ticker,companyshortname,startdatetime,startdatetimetype,epsestimate,epsactual,epssurprisepct,timeZoneShortName,gmtOffsetMilliSeconds,quoteType,date
2,AMCX,AMC Networks Inc,2021-11-05T07:00:01.000Z,TAS,1.22,2.68,119.67,EST,-18000000,EQUITY,2021-11-05
4,AMCX,AMC Networks Inc.,2021-08-06T00:00:00.000Z,TNS,1.67,3.45,106.22,EST,0,EQUITY,2021-08-06
5,AMCX,AMC Networks Inc.,2021-05-07T00:00:00.000Z,TNS,1.87,2.98,59.7,EST,0,EQUITY,2021-05-07
6,AMCX,AMC Networks Inc.,2021-02-26T00:00:00.000Z,TNS,0.52,2.72,421.07,EST,0,EQUITY,2021-02-26
7,AMCX,AMC Networks Inc.,2020-11-02T00:00:00.000Z,TNS,1.28,1.32,3.45,EST,0,EQUITY,2020-11-02
8,AMCX,AMC Networks Inc.,2020-08-04T00:00:00.000Z,TNS,1.23,2.39,94.47,EST,0,EQUITY,2020-08-04
9,AMCX,AMC Networks Inc.,2020-05-05T00:00:00.000Z,TNS,1.84,1.47,-20.15,EST,0,EQUITY,2020-05-05
10,AMCX,AMC Networks Inc.,2020-02-26T00:00:00.000Z,TNS,1.76,1.69,-3.92,EST,0,EQUITY,2020-02-26
11,AMCX,AMC Networks Inc.,2019-10-31T00:00:00.000Z,TNS,1.66,2.33,40.7,EST,0,EQUITY,2019-10-31
12,AMCX,AMC Networks Inc.,2019-07-31T00:00:00.000Z,TNS,1.93,2.6,34.51,EST,0,EQUITY,2019-07-31
13,AMCX,AMC Networks Inc.,2019-05-01T00:00:00.000Z,TNS,2.29,2.64,15.49,EST,0,EQUITY,2019-05-01
14,AMCX,AMC Networks Inc.,2019-02-28T00:00:00.000Z,TNS,1.84,1.92,4.4,EST,0,EQUITY,2019-02-28
15,AMCX,AMC Networks Inc.,2018-11-01T00:00:00.000Z,TNS,1.8,2.15,19.51,EST,0,EQUITY,2018-11-01
16,AMCX,AMC Networks Inc.,2018-08-02T00:00:00.000Z,TNS,1.98,1.93,-2.33,EST,0,EQUITY,2018-08-02
17,AMCX,AMC Networks Inc.,2018-05-10T00:00:00.000Z,TNS,2.17,2.65,21.95,EST,0,EQUITY,2018-05-10
18,AMCX,AMC Networks Inc.,2018-03-01T00:00:00.000Z,TNS,1.49,1.68,12.98,EST,0,EQUITY,2018-03-01
19,AMCX,AMC Networks Inc.,2017-11-02T00:00:00.000Z,TNS,1.16,1.68,45.08,EST,0,EQUITY,2017-11-02
20,AMCX,AMC Networks Inc.,2017-08-03T00:00:00.000Z,TNS,1.41,1.88,33.71,EST,0,EQUITY,2017-08-03
21,AMCX,AMC Networks Inc.,2017-05-04T00:00:00.000Z,TNS,1.98,2.1,5.9,EST,0,EQUITY,2017-05-04
