,ticker,companyshortname,startdatetime,startdatetimetype,epsestimate,epsactual,epssurprisepct,timeZoneShortName,gmtOffsetMilliSeconds,quoteType,date
0,AMED,Amedisys Inc,2021-11-02T16:05:07.000Z,TAS,1.37,1.53,11.68,EST,-18000000,EQUITY,2021-11-02
2,AMED,"Amedisys, Inc.",2021-08-04T00:00:00.000Z,TNS,1.67,1.69,1.5,EST,0,EQUITY,2021-08-04
3,AMED,"Amedisys, Inc.",2021-04-28T00:00:00.000Z,TNS,1.43,1.54,7.92,EST,0,EQUITY,2021-04-28
4,AMED,"Amedisys, Inc.",2021-02-24T00:00:00.000Z,TNS,1.47,1.49,1.43,EST,0,EQUITY,2021-02-24
5,AMED,"Amedisys, Inc.",2020-10-28T00:00:00.000Z,TNS,1.27,2.24,76.52,EST,0,EQUITY,2020-10-28
6,AMED,"Amedisys, Inc.",2020-07-28T00:00:00.000Z,TNS,0.81,1.34,64.82,EST,0,EQUITY,2020-07-28
7,AMED,"Amedisys, Inc.",2020-05-06T00:00:00.000Z,TNS,0.97,1.05,8.25,EST,0,EQUITY,2020-05-06
8,AMED,"Amedisys, Inc.",2020-02-18T00:00:00.000Z,TNS,0.93,0.94,1.51,EST,0,EQUITY,2020-02-18
9,AMED,"Amedisys, Inc.",2019-10-29T00:00:00.000Z,TNS,0.9,1.15,28.49,EST,0,EQUITY,2019-10-29
10,AMED,"Amedisys, Inc.",2019-07-31T00:00:00.000Z,TNS,0.99,1.21,22.59,EST,0,EQUITY,2019-07-31
11,AMED,"Amedisys, Inc.",2019-04-30T00:00:00.000Z,TNS,0.9,1.11,23.06,EST,0,EQUITY,2019-04-30
12,AMED,"Amedisys, Inc.",2019-02-27T00:00:00.000Z,TNS,0.85,0.91,6.81,EST,0,EQUITY,2019-02-27
13,AMED,"Amedisys, Inc.",2018-10-29T00:00:00.000Z,TNS,0.77,0.95,23.06,EST,0,EQUITY,2018-10-29
14,AMED,"Amedisys, Inc.",2018-07-31T00:00:00.000Z,TNS,0.78,1.0,29.03,EST,0,EQUITY,2018-07-31
15,AMED,"Amedisys, Inc.",2018-05-07T00:00:00.000Z,TNS,0.67,0.79,17.73,EST,0,EQUITY,2018-05-07
16,AMED,"Amedisys, Inc.",2018-02-27T00:00:00.000Z,TNS,0.57,0.56,-2.61,EST,0,EQUITY,2018-02-27
17,AMED,"Amedisys, Inc.",2017-11-07T00:00:00.000Z,TNS,0.54,0.56,3.13,EST,0,EQUITY,2017-11-07
18,AMED,"Amedisys, Inc.",2017-07-26T00:00:00.000Z,TNS,0.5,0.62,23.26,EST,0,EQUITY,2017-07-26
19,AMED,"Amedisys, Inc.",2017-05-02T00:00:00.000Z,TNS,0.41,0.47,15.48,EST,0,EQUITY,2017-05-02
20,AMED,"Amedisys, Inc.",2017-02-28T00:00:00.000Z,TNS,0.39,0.44,12.82,EST,0,EQUITY,2017-02-28
21,AMED,"Amedisys, Inc.",2016-11-03T00:00:00.000Z,TNS,0.42,0.36,-14.89,EST,0,EQUITY,2016-11-03
22,AMED,"Amedisys, Inc.",2016-08-02T00:00:00.000Z,TNS,0.42,0.42,0.96,EST,0,EQUITY,2016-08-02
23,AMED,"Amedisys, Inc.",2016-05-03T00:00:00.000Z,TNS,0.33,0.33,1.23,EST,0,EQUITY,2016-05-03
24,AMED,"Amedisys, Inc.",2016-03-08T00:00:00.000Z,TNS,0.35,0.4,15.61,EST,0,EQUITY,2016-03-08
25,AMED,"Amedisys, Inc.",2015-11-05T00:00:00.000Z,TNS,0.33,0.34,1.8,EST,0,EQUITY,2015-11-05
26,AMED,"Amedisys, Inc.",2015-07-29T00:00:00.000Z,TNS,0.33,0.43,29.91,EST,0,EQUITY,2015-07-29
27,AMED,"Amedisys, Inc.",2015-04-29T00:00:00.000Z,TNS,0.2,0.3,49.25,EST,0,EQUITY,2015-04-29
28,AMED,"Amedisys, Inc.",2015-03-04T00:00:00.000Z,TNS,0.26,0.27,2.27,EST,0,EQUITY,2015-03-04
29,AMED,"Amedisys, Inc.",2014-10-29T00:00:00.000Z,TNS,0.15,0.28,90.48,EST,0,EQUITY,2014-10-29
30,AMED,"Amedisys, Inc.",2014-07-30T00:00:00.000Z,TNS,0.04,0.25,575.68,EST,0,EQUITY,2014-07-30
31,AMED,"Amedisys, Inc.",2014-05-08T00:00:00.000Z,TNS,-0.04,-0.07,-67.87,EST,0,EQUITY,2014-05-08
32,AMED,"Amedisys, Inc.",2014-03-12T00:00:00.000Z,TNS,-0.01,-0.05,-313.56,EST,0,EQUITY,2014-03-12
33,AMED,"Amedisys, Inc.",2013-11-12T00:00:00.000Z,TNS,0.13,-0.01,-107.54,EST,0,EQUITY,2013-11-12
34,AMED,"Amedisys, Inc.",2013-07-31T00:00:00.000Z,TNS,0.1,0.17,68.32,EST,0,EQUITY,2013-07-31
35,AMED,"Amedisys, Inc.",2013-04-30T00:00:00.000Z,TNS,0.18,0.13,-27.04,EST,0,EQUITY,2013-04-30
36,AMED,"Amedisys, Inc.",2013-03-12T00:00:00.000Z,TNS,0.22,0.23,5.86,EST,0,EQUITY,2013-03-12
37,AMED,"Amedisys, Inc.",2012-11-06T00:00:00.000Z,TNS,0.27,0.33,23.47,EST,0,EQUITY,2012-11-06
38,AMED,"Amedisys, Inc.",2012-08-07T00:00:00.000Z,TNS,0.24,0.27,10.82,EST,0,EQUITY,2012-08-07
39,AMED,"Amedisys, Inc.",2012-05-08T00:00:00.000Z,TNS,0.22,0.22,0.0,EST,0,EQUITY,2012-05-08
40,AMED,"Amedisys, Inc.",2012-02-28T00:00:00.000Z,TNS,0.28,0.49,71.93,EST,0,EQUITY,2012-02-28
41,AMED,"Amedisys, Inc.",2011-11-01T00:00:00.000Z,TNS,0.5,0.36,-28.0,EST,0,EQUITY,2011-11-01
42,AMED,"Amedisys, Inc.",2011-08-02T00:00:00.000Z,TNS,0.68,0.67,-1.58,EST,0,EQUITY,2011-08-02
43,AMED,"Amedisys, Inc.",2011-04-26T00:00:00.000Z,TNS,0.65,0.62,-5.29,EST,0,EQUITY,2011-04-26
44,AMED,"Amedisys, Inc.",2011-02-22T00:00:00.000Z,TNS,0.91,0.95,4.56,EST,0,EQUITY,2011-02-22
45,AMED,"Amedisys, Inc.",2010-10-26T00:00:00.000Z,TNS,0.91,0.89,-1.84,EST,0,EQUITY,2010-10-26
46,AMED,"Amedisys, Inc.",2010-08-09T00:00:00.000Z,TNS,1.15,1.16,0.91,EST,0,EQUITY,2010-08-09
47,AMED,"Amedisys, Inc.",2010-04-27T00:00:00.000Z,TNS,1.28,1.29,0.89,EST,0,EQUITY,2010-04-27
48,AMED,"Amedisys, Inc.",2010-02-23T00:00:00.000Z,TNS,1.31,1.35,3.07,EST,0,EQUITY,2010-02-23
49,AMED,"Amedisys, Inc.",2009-10-27T00:00:00.000Z,TNS,1.27,1.29,1.33,EST,0,EQUITY,2009-10-27
50,AMED,"Amedisys, Inc.",2009-07-28T00:00:00.000Z,TNS,1.02,1.27,23.98,EST,0,EQUITY,2009-07-28
51,AMED,"Amedisys, Inc.",2009-04-28T00:00:00.000Z,TNS,0.97,0.99,2.45,EST,0,EQUITY,2009-04-28
52,AMED,"Amedisys, Inc.",2009-02-17T00:00:00.000Z,TNS,0.91,0.98,7.44,EST,0,EQUITY,2009-02-17
