,ticker,companyshortname,startdatetime,startdatetimetype,epsestimate,epsactual,epssurprisepct,timeZoneShortName,gmtOffsetMilliSeconds,quoteType,date
2,AMRC,Ameresco Inc,2021-11-01T16:05:00.000Z,TAS,0.33,0.41,24.24,EST,-18000000,EQUITY,2021-11-01
4,AMRC,"Ameresco, Inc.",2021-08-02T00:00:00.000Z,TNS,0.26,0.34,29.28,EST,0,EQUITY,2021-08-02
5,AMRC,"Ameresco, Inc.",2021-05-04T00:00:00.000Z,TNS,0.1,0.25,147.52,EST,0,EQUITY,2021-05-04
6,AMRC,"Ameresco, Inc.",2021-03-01T00:00:00.000Z,TNS,0.29,0.47,62.63,EST,0,EQUITY,2021-03-01
7,AMRC,"Ameresco, Inc.",2020-11-02T00:00:00.000Z,TNS,0.25,0.38,52.0,EST,0,EQUITY,2020-11-02
8,AMRC,"Ameresco, Inc.",2020-08-03T00:00:00.000Z,TNS,0.07,0.19,192.31,EST,0,EQUITY,2020-08-03
9,AMRC,"Ameresco, Inc.",2020-05-04T00:00:00.000Z,TNS,0.07,0.15,114.29,EST,0,EQUITY,2020-05-04
10,AMRC,"Ameresco, Inc.",2020-03-02T00:00:00.000Z,TNS,0.39,0.46,18.56,EST,0,EQUITY,2020-03-02
11,AMRC,"Ameresco, Inc.",2019-11-05T00:00:00.000Z,TNS,0.26,0.18,-30.23,EST,0,EQUITY,2019-11-05
12,AMRC,"Ameresco, Inc.",2019-08-08T00:00:00.000Z,TNS,0.15,0.18,21.62,EST,0,EQUITY,2019-08-08
13,AMRC,"Ameresco, Inc.",2019-04-30T00:00:00.000Z,TNS,-0.03,0.02,166.67,EST,0,EQUITY,2019-04-30
14,AMRC,"Ameresco, Inc.",2019-03-06T00:00:00.000Z,TNS,0.18,0.24,33.33,EST,0,EQUITY,2019-03-06
15,AMRC,"Ameresco, Inc.",2018-10-30T00:00:00.000Z,TNS,0.16,0.23,46.5,EST,0,EQUITY,2018-10-30
16,AMRC,"Ameresco, Inc.",2018-08-07T00:00:00.000Z,TNS,0.1,0.19,90.0,EST,0,EQUITY,2018-08-07
17,AMRC,"Ameresco, Inc.",2018-05-01T00:00:00.000Z,TNS,0.02,0.15,782.35,EST,0,EQUITY,2018-05-01
18,AMRC,"Ameresco, Inc.",2018-03-06T00:00:00.000Z,TNS,0.13,0.22,69.23,EST,0,EQUITY,2018-03-06
19,AMRC,"Ameresco, Inc.",2017-10-31T00:00:00.000Z,TNS,0.15,0.18,20.0,EST,0,EQUITY,2017-10-31
20,AMRC,"Ameresco, Inc.",2017-08-09T00:00:00.000Z,TNS,0.06,0.13,128.07,EST,0,EQUITY,2017-08-09
