,ticker,companyshortname,startdatetime,startdatetimetype,epsestimate,epsactual,epssurprisepct,timeZoneShortName,gmtOffsetMilliSeconds,quoteType,date
2,ATEN,A10 Networks Inc,2021-10-28T16:06:00.000Z,TAS,0.14,0.17,21.43,EST,-18000000,EQUITY,2021-10-28
4,ATEN,"A10 Networks, Inc.",2021-07-27T00:00:00.000Z,TNS,0.12,0.13,13.04,EST,0,EQUITY,2021-07-27
5,ATEN,"A10 Networks, Inc.",2021-04-27T00:00:00.000Z,TNS,0.11,0.12,12.15,EST,0,EQUITY,2021-04-27
6,ATEN,"A10 Networks, Inc.",2021-02-09T00:00:00.000Z,TNS,0.15,0.18,19.21,EST,0,EQUITY,2021-02-09
7,ATEN,"A10 Networks, Inc.",2020-10-27T00:00:00.000Z,TNS,0.1,0.13,36.84,EST,0,EQUITY,2020-10-27
8,ATEN,"A10 Networks, Inc.",2020-07-28T00:00:00.000Z,TNS,0.08,0.09,18.42,EST,0,EQUITY,2020-07-28
9,ATEN,"A10 Networks, Inc.",2020-05-07T00:00:00.000Z,TNS,0.02,0.05,212.5,EST,0,EQUITY,2020-05-07
10,ATEN,"A10 Networks, Inc.",2020-02-11T00:00:00.000Z,TNS,0.07,0.1,35.14,EST,0,EQUITY,2020-02-11
12,ATEN,"A10 Networks, Inc.",2019-07-30T00:00:00.000Z,TNS,-0.04,0.0,100.0,EST,0,EQUITY,2019-07-30
13,ATEN,"A10 Networks, Inc.",2019-04-25T00:00:00.000Z,TNS,-0.07,-0.1,-42.86,EST,0,EQUITY,2019-04-25
14,ATEN,"A10 Networks, Inc.",2019-02-07T00:00:00.000Z,TNS,0.01,0.05,400.0,EST,0,EQUITY,2019-02-07
15,ATEN,"A10 Networks, Inc.",2018-10-30T00:00:00.000Z,TNS,-0.01,0.03,300.0,EST,0,EQUITY,2018-10-30
16,ATEN,"A10 Networks, Inc.",2018-08-30T00:00:00.000Z,TNS,0.0,0.02,500.0,EST,0,EQUITY,2018-08-30
17,ATEN,"A10 Networks, Inc.",2018-08-29T00:00:00.000Z,TNS,0.02,0.05,233.33,EST,0,EQUITY,2018-08-29
18,ATEN,"A10 Networks, Inc.",2017-10-26T00:00:00.000Z,TNS,-0.02,0.03,266.67,EST,0,EQUITY,2017-10-26
19,ATEN,"A10 Networks, Inc.",2017-07-27T00:00:00.000Z,TNS,-0.05,-0.04,27.27,EST,0,EQUITY,2017-07-27
20,ATEN,"A10 Networks, Inc.",2017-04-27T00:00:00.000Z,TNS,0.0,0.01,433.33,EST,0,EQUITY,2017-04-27
21,ATEN,"A10 Networks, Inc.",2017-02-09T00:00:00.000Z,TNS,0.02,0.03,87.5,EST,0,EQUITY,2017-02-09
22,ATEN,"A10 Networks, Inc.",2016-10-27T00:00:00.000Z,TNS,-0.01,0.0,100.0,EST,0,EQUITY,2016-10-27
23,ATEN,"A10 Networks, Inc.",2016-07-28T00:00:00.000Z,TNS,-0.05,-0.02,60.0,EST,0,EQUITY,2016-07-28
24,ATEN,"A10 Networks, Inc.",2016-04-28T00:00:00.000Z,TNS,-0.08,-0.06,28.57,EST,0,EQUITY,2016-04-28
25,ATEN,"A10 Networks, Inc.",2016-02-09T00:00:00.000Z,TNS,-0.07,-0.06,20.0,EST,0,EQUITY,2016-02-09
26,ATEN,"A10 Networks, Inc.",2015-10-29T00:00:00.000Z,TNS,-0.09,-0.07,25.53,EST,0,EQUITY,2015-10-29
27,ATEN,"A10 Networks, Inc.",2015-07-30T00:00:00.000Z,TNS,-0.15,-0.09,40.4,EST,0,EQUITY,2015-07-30
28,ATEN,"A10 Networks, Inc.",2015-05-04T00:00:00.000Z,TNS,-0.2,-0.15,23.86,EST,0,EQUITY,2015-05-04
29,ATEN,"A10 Networks, Inc.",2015-02-10T00:00:00.000Z,TNS,-0.16,-0.2,-26.58,EST,0,EQUITY,2015-02-10
30,ATEN,"A10 Networks, Inc.",2014-10-30T00:00:00.000Z,TNS,-0.12,-0.15,-25.0,EST,0,EQUITY,2014-10-30
31,ATEN,"A10 Networks, Inc.",2014-07-30T00:00:00.000Z,TNS,-0.08,-0.09,-18.42,EST,0,EQUITY,2014-07-30
32,ATEN,"A10 Networks, Inc.",2014-05-01T00:00:00.000Z,TNS,-0.11,-0.06,43.75,EST,0,EQUITY,2014-05-01
