,ticker,companyshortname,startdatetime,startdatetimetype,epsestimate,epsactual,epssurprisepct,timeZoneShortName,gmtOffsetMilliSeconds,quoteType,date
0,ATKR,Atkore Inc.,2021-11-18T00:00:00.000Z,TNS,3.84,4.39,14.2,EST,0,EQUITY,2021-11-18
1,ATKR,Atkore Inc.,2021-08-03T00:00:00.000Z,TNS,3.08,3.96,28.61,EST,0,EQUITY,2021-08-03
2,ATKR,Atkore Inc.,2021-04-29T00:00:00.000Z,TNS,1.84,2.79,52.04,EST,0,EQUITY,2021-04-29
3,ATKR,Atkore Inc.,2021-02-02T00:00:00.000Z,TNS,1.2,1.88,56.15,EST,0,EQUITY,2021-02-02
4,ATKR,Atkore Inc.,2020-11-19T00:00:00.000Z,TNS,0.68,1.18,74.56,EST,0,EQUITY,2020-11-19
5,ATKR,Atkore Inc.,2020-08-04T00:00:00.000Z,TNS,0.48,0.67,39.0,EST,0,EQUITY,2020-08-04
6,ATKR,Atkore Inc.,2020-05-05T00:00:00.000Z,TNS,0.85,0.99,16.2,EST,0,EQUITY,2020-05-05
7,ATKR,Atkore Inc.,2020-02-04T00:00:00.000Z,TNS,0.82,0.94,15.06,EST,0,EQUITY,2020-02-04
8,ATKR,Atkore Inc.,2019-11-22T00:00:00.000Z,TNS,0.98,1.01,3.17,EST,0,EQUITY,2019-11-22
9,ATKR,Atkore Inc.,2019-08-07T00:00:00.000Z,TNS,0.91,1.04,13.91,EST,0,EQUITY,2019-08-07
10,ATKR,Atkore Inc.,2019-05-07T00:00:00.000Z,TNS,0.75,0.83,10.67,EST,0,EQUITY,2019-05-07
11,ATKR,Atkore Inc.,2019-02-06T00:00:00.000Z,TNS,0.7,0.74,5.11,EST,0,EQUITY,2019-02-06
12,ATKR,Atkore Inc.,2018-11-28T00:00:00.000Z,TNS,0.71,0.79,11.27,EST,0,EQUITY,2018-11-28
13,ATKR,Atkore Inc.,2018-08-07T00:00:00.000Z,TNS,0.65,0.86,33.13,EST,0,EQUITY,2018-08-07
14,ATKR,Atkore Inc.,2018-05-08T00:00:00.000Z,TNS,0.46,0.63,37.25,EST,0,EQUITY,2018-05-08
15,ATKR,Atkore Inc.,2018-02-06T00:00:00.000Z,TNS,0.35,0.56,61.85,EST,0,EQUITY,2018-02-06
16,ATKR,Atkore Inc.,2017-11-29T00:00:00.000Z,TNS,0.35,0.35,-0.57,EST,0,EQUITY,2017-11-29
17,ATKR,Atkore Inc.,2017-08-08T00:00:00.000Z,TNS,0.44,0.44,-0.45,EST,0,EQUITY,2017-08-08
18,ATKR,Atkore Inc.,2017-05-09T00:00:00.000Z,TNS,0.37,0.35,-4.89,EST,0,EQUITY,2017-05-09
19,ATKR,Atkore Inc.,2017-02-07T00:00:00.000Z,TNS,0.23,0.28,22.81,EST,0,EQUITY,2017-02-07
20,ATKR,Atkore Inc.,2016-11-29T00:00:00.000Z,TNS,0.36,0.24,-32.96,EST,0,EQUITY,2016-11-29
21,ATKR,Atkore Inc.,2016-08-02T00:00:00.000Z,TNS,0.31,0.33,6.8,EST,0,EQUITY,2016-08-02
