,ticker,companyshortname,startdatetime,startdatetimetype,epsestimate,epsactual,epssurprisepct,timeZoneShortName,gmtOffsetMilliSeconds,quoteType,date
3,AVGO,Broadcom Inc.,2021-12-09T00:00:00.000Z,TNS,7.74,7.81,0.87,EST,0,EQUITY,2021-12-09
4,AVGO,Broadcom Inc.,2021-09-02T00:00:00.000Z,TNS,6.88,6.96,1.16,EST,0,EQUITY,2021-09-02
5,AVGO,Broadcom Inc.,2021-06-03T00:00:00.000Z,TNS,6.43,6.62,3.04,EST,0,EQUITY,2021-06-03
6,AVGO,Broadcom Inc.,2021-03-04T00:00:00.000Z,TNS,6.56,6.61,0.75,EST,0,EQUITY,2021-03-04
7,AVGO,Broadcom Inc.,2020-12-10T00:00:00.000Z,TNS,6.25,6.35,1.62,EST,0,EQUITY,2020-12-10
8,AVGO,Broadcom Inc.,2020-09-03T00:00:00.000Z,TNS,5.24,5.4,3.11,EST,0,EQUITY,2020-09-03
9,AVGO,Broadcom Inc.,2020-06-04T00:00:00.000Z,TNS,5.14,5.14,-0.02,EST,0,EQUITY,2020-06-04
10,AVGO,Broadcom Inc.,2020-03-12T00:00:00.000Z,TNS,5.33,5.25,-1.5,EST,0,EQUITY,2020-03-12
11,AVGO,Broadcom Inc.,2019-12-12T00:00:00.000Z,TNS,5.35,5.39,0.67,EST,0,EQUITY,2019-12-12
12,AVGO,Broadcom Inc.,2019-09-12T00:00:00.000Z,TNS,5.13,5.16,0.64,EST,0,EQUITY,2019-09-12
13,AVGO,Broadcom Inc.,2019-06-13T00:00:00.000Z,TNS,5.16,5.21,0.99,EST,0,EQUITY,2019-06-13
14,AVGO,Broadcom Inc.,2019-03-14T00:00:00.000Z,TNS,5.23,5.55,6.2,EST,0,EQUITY,2019-03-14
15,AVGO,Broadcom Inc.,2018-12-06T00:00:00.000Z,TNS,5.58,5.85,4.9,EST,0,EQUITY,2018-12-06
16,AVGO,Broadcom Inc.,2018-09-06T00:00:00.000Z,TNS,4.83,4.98,3.06,EST,0,EQUITY,2018-09-06
17,AVGO,Broadcom Inc.,2018-06-07T00:00:00.000Z,TNS,4.76,4.88,2.48,EST,0,EQUITY,2018-06-07
18,AVGO,Broadcom Inc.,2018-03-15T00:00:00.000Z,TNS,5.05,5.12,1.39,EST,0,EQUITY,2018-03-15
19,AVGO,Broadcom Inc.,2017-12-06T00:00:00.000Z,TNS,4.52,4.59,1.59,EST,0,EQUITY,2017-12-06
20,AVGO,Broadcom Inc.,2017-08-24T00:00:00.000Z,TNS,4.03,4.1,1.81,EST,0,EQUITY,2017-08-24
21,AVGO,Broadcom Inc.,2017-06-01T00:00:00.000Z,TNS,3.5,3.69,5.4,EST,0,EQUITY,2017-06-01
22,AVGO,Broadcom Inc.,2017-03-01T00:00:00.000Z,TNS,3.48,3.63,4.34,EST,0,EQUITY,2017-03-01
23,AVGO,Broadcom Inc.,2016-12-08T00:00:00.000Z,TNS,3.38,3.47,2.72,EST,0,EQUITY,2016-12-08
24,AVGO,Broadcom Inc.,2016-09-01T00:00:00.000Z,TNS,2.76,2.89,4.86,EST,0,EQUITY,2016-09-01
25,AVGO,Broadcom Inc.,2016-06-02T00:00:00.000Z,TNS,2.38,2.53,6.44,EST,0,EQUITY,2016-06-02
26,AVGO,Broadcom Inc.,2016-03-03T00:00:00.000Z,TNS,2.3,2.41,4.87,EST,0,EQUITY,2016-03-03
27,AVGO,Broadcom Inc.,2015-12-02T00:00:00.000Z,TNS,2.38,2.51,5.51,EST,0,EQUITY,2015-12-02
28,AVGO,Broadcom Inc.,2015-08-26T00:00:00.000Z,TNS,2.14,2.24,4.77,EST,0,EQUITY,2015-08-26
29,AVGO,Broadcom Inc.,2015-05-28T00:00:00.000Z,TNS,2.01,2.13,5.92,EST,0,EQUITY,2015-05-28
30,AVGO,Broadcom Inc.,2015-02-25T00:00:00.000Z,TNS,1.94,2.09,8.01,EST,0,EQUITY,2015-02-25
31,AVGO,Broadcom Inc.,2014-12-03T00:00:00.000Z,TNS,1.69,1.99,17.75,EST,0,EQUITY,2014-12-03
