,ticker,companyshortname,startdatetime,startdatetimetype,epsestimate,epsactual,epssurprisepct,timeZoneShortName,gmtOffsetMilliSeconds,quoteType,date
0,AWK,"American Water Works Company, Inc.",2021-11-02T00:00:00.000Z,TNS,1.53,1.53,0.13,EST,0,EQUITY,2021-11-02
1,AWK,"American Water Works Company, Inc.",2021-08-02T00:00:00.000Z,TNS,1.08,1.14,5.46,EST,0,EQUITY,2021-08-02
2,AWK,"American Water Works Company, Inc.",2021-05-03T00:00:00.000Z,TNS,0.73,0.73,-0.41,EST,0,EQUITY,2021-05-03
3,AWK,"American Water Works Company, Inc.",2021-02-24T00:00:00.000Z,TNS,0.8,0.8,0.0,EST,0,EQUITY,2021-02-24
4,AWK,"American Water Works Company, Inc.",2020-11-04T00:00:00.000Z,TNS,1.38,1.46,5.49,EST,0,EQUITY,2020-11-04
5,AWK,"American Water Works Company, Inc.",2020-08-05T00:00:00.000Z,TNS,0.96,0.97,0.83,EST,0,EQUITY,2020-08-05
6,AWK,"American Water Works Company, Inc.",2020-05-06T00:00:00.000Z,TNS,0.65,0.67,2.76,EST,0,EQUITY,2020-05-06
7,AWK,"American Water Works Company, Inc.",2020-02-18T00:00:00.000Z,TNS,0.73,0.73,-0.41,EST,0,EQUITY,2020-02-18
8,AWK,"American Water Works Company, Inc.",2019-10-30T00:00:00.000Z,TNS,1.3,1.33,2.31,EST,0,EQUITY,2019-10-30
9,AWK,"American Water Works Company, Inc.",2019-07-31T00:00:00.000Z,TNS,0.93,0.94,1.51,EST,0,EQUITY,2019-07-31
10,AWK,"American Water Works Company, Inc.",2019-05-01T00:00:00.000Z,TNS,0.63,0.61,-3.79,EST,0,EQUITY,2019-05-01
11,AWK,"American Water Works Company, Inc.",2019-02-19T00:00:00.000Z,TNS,0.69,0.69,0.58,EST,0,EQUITY,2019-02-19
12,AWK,"American Water Works Company, Inc.",2018-10-31T00:00:00.000Z,TNS,1.17,1.2,3.0,EST,0,EQUITY,2018-10-31
13,AWK,"American Water Works Company, Inc.",2018-08-01T00:00:00.000Z,TNS,0.81,0.83,2.47,EST,0,EQUITY,2018-08-01
14,AWK,"American Water Works Company, Inc.",2018-05-02T00:00:00.000Z,TNS,0.55,0.59,6.5,EST,0,EQUITY,2018-05-02
15,AWK,"American Water Works Company, Inc.",2018-02-20T00:00:00.000Z,TNS,0.66,0.69,4.07,EST,0,EQUITY,2018-02-20
16,AWK,"American Water Works Company, Inc.",2017-11-01T00:00:00.000Z,TNS,1.08,1.08,-0.09,EST,0,EQUITY,2017-11-01
17,AWK,"American Water Works Company, Inc.",2017-08-02T00:00:00.000Z,TNS,0.79,0.73,-7.59,EST,0,EQUITY,2017-08-02
18,AWK,"American Water Works Company, Inc.",2017-05-03T00:00:00.000Z,TNS,0.53,0.52,-0.95,EST,0,EQUITY,2017-05-03
19,AWK,"American Water Works Company, Inc.",2017-02-21T00:00:00.000Z,TNS,0.57,0.57,0.35,EST,0,EQUITY,2017-02-21
20,AWK,"American Water Works Company, Inc.",2016-11-02T00:00:00.000Z,TNS,1.01,1.05,3.55,EST,0,EQUITY,2016-11-02
21,AWK,"American Water Works Company, Inc.",2016-08-03T00:00:00.000Z,TNS,0.73,0.77,5.34,EST,0,EQUITY,2016-08-03
22,AWK,"American Water Works Company, Inc.",2016-05-04T00:00:00.000Z,TNS,0.46,0.46,-0.65,EST,0,EQUITY,2016-05-04
23,AWK,"American Water Works Company, Inc.",2016-02-25T00:00:00.000Z,TNS,0.55,0.55,-0.18,EST,0,EQUITY,2016-02-25
24,AWK,"American Water Works Company, Inc.",2015-11-04T00:00:00.000Z,TNS,0.94,0.96,1.91,EST,0,EQUITY,2015-11-04
25,AWK,"American Water Works Company, Inc.",2015-08-05T00:00:00.000Z,TNS,0.67,0.68,1.04,EST,0,EQUITY,2015-08-05
26,AWK,"American Water Works Company, Inc.",2015-05-06T00:00:00.000Z,TNS,0.41,0.44,7.84,EST,0,EQUITY,2015-05-06
27,AWK,"American Water Works Company, Inc.",2015-02-24T00:00:00.000Z,TNS,0.51,0.52,2.56,EST,0,EQUITY,2015-02-24
28,AWK,"American Water Works Company, Inc.",2014-11-05T00:00:00.000Z,TNS,0.91,0.92,1.21,EST,0,EQUITY,2014-11-05
29,AWK,"American Water Works Company, Inc.",2014-08-06T00:00:00.000Z,TNS,0.64,0.63,-1.66,EST,0,EQUITY,2014-08-06
30,AWK,"American Water Works Company, Inc.",2014-05-07T00:00:00.000Z,TNS,0.34,0.4,16.06,EST,0,EQUITY,2014-05-07
31,AWK,"American Water Works Company, Inc.",2014-02-26T00:00:00.000Z,TNS,0.45,0.47,4.12,EST,0,EQUITY,2014-02-26
32,AWK,"American Water Works Company, Inc.",2013-11-06T00:00:00.000Z,TNS,0.85,0.84,-1.56,EST,0,EQUITY,2013-11-06
33,AWK,"American Water Works Company, Inc.",2013-08-07T00:00:00.000Z,TNS,0.61,0.57,-6.1,EST,0,EQUITY,2013-08-07
34,AWK,"American Water Works Company, Inc.",2013-05-07T00:00:00.000Z,TNS,0.32,0.32,-0.74,EST,0,EQUITY,2013-05-07
35,AWK,"American Water Works Company, Inc.",2013-02-26T00:00:00.000Z,TNS,0.34,0.32,-6.27,EST,0,EQUITY,2013-02-26
36,AWK,"American Water Works Company, Inc.",2012-11-07T00:00:00.000Z,TNS,0.82,0.87,6.01,EST,0,EQUITY,2012-11-07
37,AWK,"American Water Works Company, Inc.",2012-08-02T00:00:00.000Z,TNS,0.49,0.66,35.22,EST,0,EQUITY,2012-08-02
38,AWK,"American Water Works Company, Inc.",2012-05-02T00:00:00.000Z,TNS,0.27,0.25,-8.9,EST,0,EQUITY,2012-05-02
39,AWK,"American Water Works Company, Inc.",2012-02-27T00:00:00.000Z,TNS,0.32,0.49,51.3,EST,0,EQUITY,2012-02-27
40,AWK,"American Water Works Company, Inc.",2011-11-02T00:00:00.000Z,TNS,0.76,0.76,-0.59,EST,0,EQUITY,2011-11-02
41,AWK,"American Water Works Company, Inc.",2011-08-03T00:00:00.000Z,TNS,0.46,0.46,-0.02,EST,0,EQUITY,2011-08-03
42,AWK,"American Water Works Company, Inc.",2011-05-04T00:00:00.000Z,TNS,0.22,0.24,10.0,EST,0,EQUITY,2011-05-04
43,AWK,"American Water Works Company, Inc.",2011-02-25T00:00:00.000Z,TNS,0.24,0.23,-2.19,EST,0,EQUITY,2011-02-25
44,AWK,"American Water Works Company, Inc.",2010-11-03T00:00:00.000Z,TNS,0.61,0.71,16.74,EST,0,EQUITY,2010-11-03
45,AWK,"American Water Works Company, Inc.",2010-08-04T00:00:00.000Z,TNS,0.36,0.42,17.21,EST,0,EQUITY,2010-08-04
46,AWK,"American Water Works Company, Inc.",2010-05-04T00:00:00.000Z,TNS,0.18,0.18,-0.92,EST,0,EQUITY,2010-05-04
47,AWK,"American Water Works Company, Inc.",2010-03-01T00:00:00.000Z,TNS,0.24,0.21,-11.39,EST,0,EQUITY,2010-03-01
48,AWK,"American Water Works Company, Inc.",2009-11-09T00:00:00.000Z,TNS,0.54,0.52,-2.83,EST,0,EQUITY,2009-11-09
