,ticker,companyshortname,startdatetime,startdatetimetype,epsestimate,epsactual,epssurprisepct,timeZoneShortName,gmtOffsetMilliSeconds,quoteType,date
0,AXL,"American Axle & Manufacturing Holdings, Inc.",2021-11-05T00:00:00.000Z,TNS,0.01,0.15,2900.0,EST,0,EQUITY,2021-11-05
1,AXL,"American Axle & Manufacturing Holdings, Inc.",2021-07-30T00:00:00.000Z,TNS,0.03,0.29,806.25,EST,0,EQUITY,2021-07-30
2,AXL,"American Axle & Manufacturing Holdings, Inc.",2021-05-07T00:00:00.000Z,TNS,0.24,0.57,141.53,EST,0,EQUITY,2021-05-07
3,AXL,"American Axle & Manufacturing Holdings, Inc.",2021-02-12T00:00:00.000Z,TNS,0.28,0.51,84.78,EST,0,EQUITY,2021-02-12
4,AXL,"American Axle & Manufacturing Holdings, Inc.",2020-10-30T00:00:00.000Z,TNS,0.25,1.15,367.48,EST,0,EQUITY,2020-10-30
5,AXL,"American Axle & Manufacturing Holdings, Inc.",2020-07-31T00:00:00.000Z,TNS,-1.98,-1.79,9.69,EST,0,EQUITY,2020-07-31
6,AXL,"American Axle & Manufacturing Holdings, Inc.",2020-05-08T00:00:00.000Z,TNS,-0.08,0.2,338.1,EST,0,EQUITY,2020-05-08
7,AXL,"American Axle & Manufacturing Holdings, Inc.",2020-02-14T00:00:00.000Z,TNS,0.0,0.13,6400.0,EST,0,EQUITY,2020-02-14
8,AXL,"American Axle & Manufacturing Holdings, Inc.",2019-11-01T00:00:00.000Z,TNS,0.41,0.58,42.16,EST,0,EQUITY,2019-11-01
9,AXL,"American Axle & Manufacturing Holdings, Inc.",2019-08-02T00:00:00.000Z,TNS,0.58,0.55,-4.68,EST,0,EQUITY,2019-08-02
10,AXL,"American Axle & Manufacturing Holdings, Inc.",2019-05-03T00:00:00.000Z,TNS,0.34,0.36,5.26,EST,0,EQUITY,2019-05-03
11,AXL,"American Axle & Manufacturing Holdings, Inc.",2019-02-15T00:00:00.000Z,TNS,0.42,0.45,8.43,EST,0,EQUITY,2019-02-15
12,AXL,"American Axle & Manufacturing Holdings, Inc.",2018-11-02T00:00:00.000Z,TNS,0.9,0.63,-29.84,EST,0,EQUITY,2018-11-02
