,ticker,companyshortname,startdatetime,startdatetimetype,epsestimate,epsactual,epssurprisepct,timeZoneShortName,gmtOffsetMilliSeconds,quoteType,date
0,AZZ,AZZ Inc,2021-10-12T06:30:04.000Z,TAS,0.62,0.76,22.58,EST,-18000000,EQUITY,2021-10-12
2,AZZ,AZZ Inc.,2021-07-09T00:00:00.000Z,TNS,0.62,0.88,41.94,EST,0,EQUITY,2021-07-09
3,AZZ,AZZ Inc.,2021-04-23T00:00:00.000Z,TNS,0.57,0.62,8.2,EST,0,EQUITY,2021-04-23
4,AZZ,AZZ Inc.,2021-01-11T00:00:00.000Z,TNS,0.66,0.8,21.21,EST,0,EQUITY,2021-01-11
5,AZZ,AZZ Inc.,2020-10-13T00:00:00.000Z,TNS,0.43,0.49,13.16,EST,0,EQUITY,2020-10-13
6,AZZ,AZZ Inc.,2020-07-09T00:00:00.000Z,TNS,0.62,0.21,-65.85,EST,0,EQUITY,2020-07-09
7,AZZ,AZZ Inc.,2020-04-29T00:00:00.000Z,TNS,0.51,0.47,-7.3,EST,0,EQUITY,2020-04-29
8,AZZ,AZZ Inc.,2020-01-09T00:00:00.000Z,TNS,0.81,0.84,3.7,EST,0,EQUITY,2020-01-09
9,AZZ,AZZ Inc.,2019-12-05T00:00:00.000Z,TNS,0.56,0.59,5.36,EST,0,EQUITY,2019-12-05
10,AZZ,AZZ Inc.,2019-07-08T00:00:00.000Z,TNS,0.68,0.81,19.12,EST,0,EQUITY,2019-07-08
11,AZZ,AZZ Inc.,2019-05-17T00:00:00.000Z,TNS,0.47,0.34,-28.12,EST,0,EQUITY,2019-05-17
12,AZZ,AZZ Inc.,2019-01-08T00:00:00.000Z,TNS,0.61,0.59,-3.28,EST,0,EQUITY,2019-01-08
13,AZZ,AZZ Inc.,2018-10-09T00:00:00.000Z,TNS,0.47,0.43,-7.92,EST,0,EQUITY,2018-10-09
14,AZZ,AZZ Inc.,2018-07-03T00:00:00.000Z,TNS,0.49,0.6,21.7,EST,0,EQUITY,2018-07-03
15,AZZ,AZZ Inc.,2018-05-15T00:00:00.000Z,TNS,0.48,0.15,-68.55,EST,0,EQUITY,2018-05-15
16,AZZ,AZZ Inc.,2017-10-03T00:00:00.000Z,TNS,0.48,0.32,-33.33,EST,0,EQUITY,2017-10-03
17,AZZ,AZZ Inc.,2017-07-06T00:00:00.000Z,TNS,0.7,0.51,-26.83,EST,0,EQUITY,2017-07-06
18,AZZ,AZZ Inc.,2017-04-20T00:00:00.000Z,TNS,0.63,0.44,-30.16,EST,0,EQUITY,2017-04-20
19,AZZ,AZZ Inc.,2017-01-06T00:00:00.000Z,TNS,0.92,0.7,-23.91,EST,0,EQUITY,2017-01-06
20,AZZ,AZZ Inc.,2016-10-05T00:00:00.000Z,TNS,0.72,0.55,-23.08,EST,0,EQUITY,2016-10-05
21,AZZ,AZZ Inc.,2016-07-05T00:00:00.000Z,TNS,0.84,0.81,-3.34,EST,0,EQUITY,2016-07-05
22,AZZ,AZZ Inc.,2016-04-21T00:00:00.000Z,TNS,0.67,0.72,7.14,EST,0,EQUITY,2016-04-21
23,AZZ,AZZ Inc.,2016-01-08T00:00:00.000Z,TNS,0.91,0.91,0.55,EST,0,EQUITY,2016-01-08
24,AZZ,AZZ Inc.,2015-09-29T00:00:00.000Z,TNS,0.68,0.68,0.0,EST,0,EQUITY,2015-09-29
25,AZZ,AZZ Inc.,2015-07-01T00:00:00.000Z,TNS,0.7,0.77,10.63,EST,0,EQUITY,2015-07-01
26,AZZ,AZZ Inc.,2015-04-22T00:00:00.000Z,TNS,0.59,0.63,6.78,EST,0,EQUITY,2015-04-22
27,AZZ,AZZ Inc.,2015-01-09T00:00:00.000Z,TNS,0.74,0.75,1.9,EST,0,EQUITY,2015-01-09
28,AZZ,AZZ Inc.,2014-10-01T00:00:00.000Z,TNS,0.63,0.64,1.91,EST,0,EQUITY,2014-10-01
29,AZZ,AZZ Inc.,2014-06-27T00:00:00.000Z,TNS,0.54,0.58,8.41,EST,0,EQUITY,2014-06-27
30,AZZ,AZZ Inc.,2014-04-04T00:00:00.000Z,TNS,0.42,0.4,-5.21,EST,0,EQUITY,2014-04-04
31,AZZ,AZZ Inc.,2014-01-08T00:00:00.000Z,TNS,0.74,0.59,-20.63,EST,0,EQUITY,2014-01-08
32,AZZ,AZZ Inc.,2013-09-27T00:00:00.000Z,TNS,0.66,0.57,-12.98,EST,0,EQUITY,2013-09-27
33,AZZ,AZZ Inc.,2013-06-28T00:00:00.000Z,TNS,0.63,0.56,-11.67,EST,0,EQUITY,2013-06-28
34,AZZ,AZZ Inc.,2013-04-08T00:00:00.000Z,TNS,0.48,0.5,5.04,EST,0,EQUITY,2013-04-08
35,AZZ,AZZ Inc.,2013-01-09T00:00:00.000Z,TNS,0.57,0.6,5.26,EST,0,EQUITY,2013-01-09
36,AZZ,AZZ Inc.,2012-09-27T00:00:00.000Z,TNS,0.52,0.62,18.66,EST,0,EQUITY,2012-09-27
37,AZZ,AZZ Inc.,2012-06-28T00:00:00.000Z,TNS,0.4,0.51,26.55,EST,0,EQUITY,2012-06-28
38,AZZ,AZZ Inc.,2012-04-05T00:00:00.000Z,TNS,0.41,0.41,0.61,EST,0,EQUITY,2012-04-05
39,AZZ,AZZ Inc.,2012-01-06T00:00:00.000Z,TNS,0.39,0.4,0.32,EST,0,EQUITY,2012-01-06
40,AZZ,AZZ Inc.,2011-09-29T00:00:00.000Z,TNS,0.38,0.38,0.66,EST,0,EQUITY,2011-09-29
