,ticker,companyshortname,startdatetime,startdatetimetype,epsestimate,epsactual,epssurprisepct,timeZoneShortName,gmtOffsetMilliSeconds,quoteType,date
2,BAH,Booz Allen Hamilton Holding Corp,2021-10-29T06:45:00.000Z,TAS,1.08,1.26,16.67,EST,-18000000,EQUITY,2021-10-29
4,BAH,Booz Allen Hamilton Holding Corporation,2021-07-30T00:00:00.000Z,TNS,0.97,1.07,9.86,EST,0,EQUITY,2021-07-30
5,BAH,Booz Allen Hamilton Holding Corporation,2021-05-21T00:00:00.000Z,TNS,0.83,0.89,7.88,EST,0,EQUITY,2021-05-21
6,BAH,Booz Allen Hamilton Holding Corporation,2021-01-29T00:00:00.000Z,TNS,0.93,1.04,11.59,EST,0,EQUITY,2021-01-29
7,BAH,Booz Allen Hamilton Holding Corporation,2020-10-30T00:00:00.000Z,TNS,0.92,1.03,12.32,EST,0,EQUITY,2020-10-30
8,BAH,Booz Allen Hamilton Holding Corporation,2020-07-31T00:00:00.000Z,TNS,0.86,0.93,8.27,EST,0,EQUITY,2020-07-31
9,BAH,Booz Allen Hamilton Holding Corporation,2020-05-26T00:00:00.000Z,TNS,0.71,0.73,3.4,EST,0,EQUITY,2020-05-26
10,BAH,Booz Allen Hamilton Holding Corporation,2020-01-31T00:00:00.000Z,TNS,0.76,0.8,5.68,EST,0,EQUITY,2020-01-31
11,BAH,Booz Allen Hamilton Holding Corporation,2019-11-01T00:00:00.000Z,TNS,0.72,0.81,12.97,EST,0,EQUITY,2019-11-01
12,BAH,Booz Allen Hamilton Holding Corporation,2019-07-29T00:00:00.000Z,TNS,0.73,0.83,13.54,EST,0,EQUITY,2019-07-29
13,BAH,Booz Allen Hamilton Holding Corporation,2019-05-28T00:00:00.000Z,TNS,0.63,0.64,2.4,EST,0,EQUITY,2019-05-28
14,BAH,Booz Allen Hamilton Holding Corporation,2019-02-01T00:00:00.000Z,TNS,0.59,0.72,22.24,EST,0,EQUITY,2019-02-01
15,BAH,Booz Allen Hamilton Holding Corporation,2018-10-29T00:00:00.000Z,TNS,0.6,0.68,14.29,EST,0,EQUITY,2018-10-29
16,BAH,Booz Allen Hamilton Holding Corporation,2018-07-30T00:00:00.000Z,TNS,0.58,0.72,24.35,EST,0,EQUITY,2018-07-30
17,BAH,Booz Allen Hamilton Holding Corporation,2018-05-29T00:00:00.000Z,TNS,0.46,0.52,13.29,EST,0,EQUITY,2018-05-29
18,BAH,Booz Allen Hamilton Holding Corporation,2018-02-05T00:00:00.000Z,TNS,0.43,0.48,12.94,EST,0,EQUITY,2018-02-05
19,BAH,Booz Allen Hamilton Holding Corporation,2017-11-06T00:00:00.000Z,TNS,0.46,0.48,4.58,EST,0,EQUITY,2017-11-06
20,BAH,Booz Allen Hamilton Holding Corporation,2017-08-07T00:00:00.000Z,TNS,0.47,0.53,12.77,EST,0,EQUITY,2017-08-07
21,BAH,Booz Allen Hamilton Holding Corporation,2017-05-22T00:00:00.000Z,TNS,0.43,0.45,5.39,EST,0,EQUITY,2017-05-22
22,BAH,Booz Allen Hamilton Holding Corporation,2017-01-30T00:00:00.000Z,TNS,0.4,0.38,-5.94,EST,0,EQUITY,2017-01-30
23,BAH,Booz Allen Hamilton Holding Corporation,2016-11-02T00:00:00.000Z,TNS,0.43,0.46,7.73,EST,0,EQUITY,2016-11-02
24,BAH,Booz Allen Hamilton Holding Corporation,2016-07-27T00:00:00.000Z,TNS,0.44,0.46,4.55,EST,0,EQUITY,2016-07-27
25,BAH,Booz Allen Hamilton Holding Corporation,2016-05-18T00:00:00.000Z,TNS,0.41,0.41,0.0,EST,0,EQUITY,2016-05-18
26,BAH,Booz Allen Hamilton Holding Corporation,2016-01-27T00:00:00.000Z,TNS,0.4,0.41,2.5,EST,0,EQUITY,2016-01-27
27,BAH,Booz Allen Hamilton Holding Corporation,2015-10-28T00:00:00.000Z,TNS,0.35,0.39,11.75,EST,0,EQUITY,2015-10-28
28,BAH,Booz Allen Hamilton Holding Corporation,2015-07-29T00:00:00.000Z,TNS,0.43,0.44,1.85,EST,0,EQUITY,2015-07-29
29,BAH,Booz Allen Hamilton Holding Corporation,2015-05-21T00:00:00.000Z,TNS,0.33,0.3,-9.09,EST,0,EQUITY,2015-05-21
30,BAH,Booz Allen Hamilton Holding Corporation,2015-01-28T00:00:00.000Z,TNS,0.34,0.36,4.65,EST,0,EQUITY,2015-01-28
31,BAH,Booz Allen Hamilton Holding Corporation,2014-10-29T00:00:00.000Z,TNS,0.41,0.44,6.54,EST,0,EQUITY,2014-10-29
32,BAH,Booz Allen Hamilton Holding Corporation,2014-07-30T00:00:00.000Z,TNS,0.42,0.5,20.17,EST,0,EQUITY,2014-07-30
33,BAH,Booz Allen Hamilton Holding Corporation,2014-05-21T00:00:00.000Z,TNS,0.31,0.33,6.11,EST,0,EQUITY,2014-05-21
34,BAH,Booz Allen Hamilton Holding Corporation,2014-01-31T00:00:00.000Z,TNS,0.33,0.33,0.52,EST,0,EQUITY,2014-01-31
35,BAH,Booz Allen Hamilton Holding Corporation,2013-10-30T00:00:00.000Z,TNS,0.37,0.47,25.63,EST,0,EQUITY,2013-10-30
36,BAH,Booz Allen Hamilton Holding Corporation,2013-07-31T00:00:00.000Z,TNS,0.4,0.5,26.05,EST,0,EQUITY,2013-07-31
37,BAH,Booz Allen Hamilton Holding Corporation,2013-05-22T00:00:00.000Z,TNS,0.37,0.4,8.53,EST,0,EQUITY,2013-05-22
38,BAH,Booz Allen Hamilton Holding Corporation,2013-01-30T00:00:00.000Z,TNS,0.38,0.41,8.3,EST,0,EQUITY,2013-01-30
39,BAH,Booz Allen Hamilton Holding Corporation,2012-10-31T00:00:00.000Z,TNS,0.38,0.39,4.0,EST,0,EQUITY,2012-10-31
