,ticker,companyshortname,startdatetime,startdatetimetype,epsestimate,epsactual,epssurprisepct,timeZoneShortName,gmtOffsetMilliSeconds,quoteType,date
6,BB,BlackBerry Limited,2021-06-24T00:00:00.000Z,TNS,-0.05,-0.05,5.66,EST,0,EQUITY,2021-06-24
7,BB,BlackBerry Limited,2021-03-30T00:00:00.000Z,TNS,0.03,0.03,0.0,EST,0,EQUITY,2021-03-30
8,BB,BlackBerry Limited,2020-12-17T00:00:00.000Z,TNS,-0.01,0.02,281.82,EST,0,EQUITY,2020-12-17
9,BB,BlackBerry Limited,2020-09-24T00:00:00.000Z,TNS,0.02,0.11,423.81,EST,0,EQUITY,2020-09-24
10,BB,BlackBerry Limited,2020-06-24T00:00:00.000Z,TNS,-0.02,0.02,217.65,EST,0,EQUITY,2020-06-24
11,BB,BlackBerry Limited,2020-03-31T00:00:00.000Z,TNS,0.04,0.09,119.51,EST,0,EQUITY,2020-03-31
12,BB,BlackBerry Limited,2019-12-20T00:00:00.000Z,TNS,0.02,0.03,87.5,EST,0,EQUITY,2019-12-20
13,BB,BlackBerry Limited,2019-09-24T00:00:00.000Z,TNS,-0.01,0.0,100.0,EST,0,EQUITY,2019-09-24
14,BB,BlackBerry Limited,2019-06-26T00:00:00.000Z,TNS,0.0,0.01,150.0,EST,0,EQUITY,2019-06-26
15,BB,BlackBerry Limited,2019-03-29T00:00:00.000Z,TNS,0.06,0.11,92.98,EST,0,EQUITY,2019-03-29
16,BB,BlackBerry Limited,2018-12-20T00:00:00.000Z,TNS,0.02,0.05,108.33,EST,0,EQUITY,2018-12-20
17,BB,BlackBerry Limited,2018-09-28T00:00:00.000Z,TNS,0.01,0.04,263.64,EST,0,EQUITY,2018-09-28
18,BB,BlackBerry Limited,2018-06-22T00:00:00.000Z,TNS,0.0,0.03,3100.0,EST,0,EQUITY,2018-06-22
19,BB,BlackBerry Limited,2018-03-28T00:00:00.000Z,TNS,0.01,0.05,900.0,EST,0,EQUITY,2018-03-28
20,BB,BlackBerry Limited,2017-12-20T00:00:00.000Z,TNS,0.0,0.03,850.0,EST,0,EQUITY,2017-12-20
21,BB,BlackBerry Limited,2017-09-28T00:00:00.000Z,TNS,0.0,0.05,,EST,0,EQUITY,2017-09-28
22,BB,BlackBerry Limited,2017-06-23T00:00:00.000Z,TNS,0.0,0.02,1900.0,EST,0,EQUITY,2017-06-23
23,BB,BlackBerry Limited,2017-03-31T00:00:00.000Z,TNS,0.0,0.04,3900.0,EST,0,EQUITY,2017-03-31
24,BB,BlackBerry Limited,2016-12-20T00:00:00.000Z,TNS,-0.01,0.02,385.71,EST,0,EQUITY,2016-12-20
25,BB,BlackBerry Limited,2016-09-28T00:00:00.000Z,TNS,-0.05,0.0,100.0,EST,0,EQUITY,2016-09-28
26,BB,BlackBerry Limited,2016-06-23T00:00:00.000Z,TNS,-0.08,0.0,100.0,EST,0,EQUITY,2016-06-23
27,BB,BlackBerry Limited,2016-04-01T00:00:00.000Z,TNS,-0.1,-0.03,68.75,EST,0,EQUITY,2016-04-01
28,BB,BlackBerry Limited,2015-12-18T00:00:00.000Z,TNS,-0.14,-0.03,79.17,EST,0,EQUITY,2015-12-18
29,BB,BlackBerry Limited,2015-09-25T00:00:00.000Z,TNS,-0.09,-0.13,-51.16,EST,0,EQUITY,2015-09-25
30,BB,BlackBerry Limited,2015-06-23T00:00:00.000Z,TNS,-0.03,-0.05,-51.52,EST,0,EQUITY,2015-06-23
31,BB,BlackBerry Limited,2015-03-27T00:00:00.000Z,TNS,-0.04,0.04,188.89,EST,0,EQUITY,2015-03-27
32,BB,BlackBerry Limited,2014-12-19T00:00:00.000Z,TNS,-0.05,0.01,121.28,EST,0,EQUITY,2014-12-19
33,BB,BlackBerry Limited,2014-09-26T00:00:00.000Z,TNS,-0.16,-0.02,87.8,EST,0,EQUITY,2014-09-26
34,BB,BlackBerry Limited,2014-06-19T00:00:00.000Z,TNS,-0.26,-0.11,57.62,EST,0,EQUITY,2014-06-19
35,BB,BlackBerry Limited,2014-03-28T00:00:00.000Z,TNS,-0.55,-0.08,85.51,EST,0,EQUITY,2014-03-28
36,BB,BlackBerry Limited,2013-12-20T00:00:00.000Z,TNS,-0.44,-0.67,-50.72,EST,0,EQUITY,2013-12-20
37,BB,BlackBerry Limited,2013-09-27T00:00:00.000Z,TNS,-0.49,-0.47,3.97,EST,0,EQUITY,2013-09-27
38,BB,BlackBerry Limited,2013-06-28T00:00:00.000Z,TNS,0.06,-0.13,-322.72,EST,0,EQUITY,2013-06-28
39,BB,BlackBerry Limited,2013-03-28T00:00:00.000Z,TNS,-0.29,0.22,174.97,EST,0,EQUITY,2013-03-28
40,BB,BlackBerry Limited,2012-12-20T00:00:00.000Z,TNS,-0.35,-0.22,36.85,EST,0,EQUITY,2012-12-20
41,BB,BlackBerry Limited,2012-09-27T00:00:00.000Z,TNS,-0.46,-0.27,41.84,EST,0,EQUITY,2012-09-27
42,BB,BlackBerry Limited,2012-06-28T00:00:00.000Z,TNS,-0.04,-0.37,-863.54,EST,0,EQUITY,2012-06-28
43,BB,BlackBerry Limited,2012-03-29T00:00:00.000Z,TNS,0.81,0.8,-0.91,EST,0,EQUITY,2012-03-29
44,BB,BlackBerry Limited,2011-12-15T00:00:00.000Z,TNS,1.19,1.27,6.72,EST,0,EQUITY,2011-12-15
45,BB,BlackBerry Limited,2011-09-15T00:00:00.000Z,TNS,0.88,0.8,-8.88,EST,0,EQUITY,2011-09-15
46,BB,BlackBerry Limited,2011-06-16T00:00:00.000Z,TNS,1.32,1.33,0.59,EST,0,EQUITY,2011-06-16
47,BB,BlackBerry Limited,2011-03-24T00:00:00.000Z,TNS,1.76,1.78,1.27,EST,0,EQUITY,2011-03-24
