,ticker,companyshortname,startdatetime,startdatetimetype,epsestimate,epsactual,epssurprisepct,timeZoneShortName,gmtOffsetMilliSeconds,quoteType,date
0,BG,Bunge Limited,2021-10-27T00:00:00.000Z,TNS,1.42,3.72,161.6,EST,0,EQUITY,2021-10-27
1,BG,Bunge Limited,2021-07-28T00:00:00.000Z,TNS,1.6,2.61,63.33,EST,0,EQUITY,2021-07-28
2,BG,Bunge Limited,2021-05-04T00:00:00.000Z,TNS,1.55,3.13,102.59,EST,0,EQUITY,2021-05-04
3,BG,Bunge Limited,2021-02-10T00:00:00.000Z,TNS,1.82,3.05,67.49,EST,0,EQUITY,2021-02-10
4,BG,Bunge Limited,2020-10-28T00:00:00.000Z,TNS,0.2,2.47,1147.47,EST,0,EQUITY,2020-10-28
5,BG,Bunge Limited,2020-07-29T00:00:00.000Z,TNS,1.32,3.88,194.16,EST,0,EQUITY,2020-07-29
6,BG,Bunge Limited,2020-05-06T00:00:00.000Z,TNS,0.67,-1.34,-300.0,EST,0,EQUITY,2020-05-06
7,BG,Bunge Limited,2020-02-12T00:00:00.000Z,TNS,0.32,1.27,299.37,EST,0,EQUITY,2020-02-12
8,BG,Bunge Limited,2019-10-30T00:00:00.000Z,TNS,0.48,1.41,195.6,EST,0,EQUITY,2019-10-30
9,BG,Bunge Limited,2019-07-31T00:00:00.000Z,TNS,0.34,1.52,347.06,EST,0,EQUITY,2019-07-31
10,BG,Bunge Limited,2019-05-08T00:00:00.000Z,TNS,-0.03,0.36,1261.29,EST,0,EQUITY,2019-05-08
11,BG,Bunge Limited,2019-02-21T00:00:00.000Z,TNS,0.2,0.08,-60.78,EST,0,EQUITY,2019-02-21
12,BG,Bunge Limited,2018-10-31T00:00:00.000Z,TNS,2.39,2.52,5.48,EST,0,EQUITY,2018-10-31
13,BG,Bunge Limited,2018-08-01T00:00:00.000Z,TNS,1.04,0.1,-90.37,EST,0,EQUITY,2018-08-01
14,BG,Bunge Limited,2018-05-02T00:00:00.000Z,TNS,-0.18,-0.06,67.39,EST,0,EQUITY,2018-05-02
15,BG,Bunge Limited,2018-02-14T00:00:00.000Z,TNS,1.37,0.67,-50.95,EST,0,EQUITY,2018-02-14
16,BG,Bunge Limited,2017-11-01T00:00:00.000Z,TNS,0.73,0.75,2.46,EST,0,EQUITY,2017-11-01
17,BG,Bunge Limited,2017-08-02T00:00:00.000Z,TNS,0.17,0.17,-1.73,EST,0,EQUITY,2017-08-02
18,BG,Bunge Limited,2017-05-03T00:00:00.000Z,TNS,0.7,0.35,-50.0,EST,0,EQUITY,2017-05-03
19,BG,Bunge Limited,2017-02-15T00:00:00.000Z,TNS,1.57,1.7,8.07,EST,0,EQUITY,2017-02-15
20,BG,Bunge Limited,2016-11-02T00:00:00.000Z,TNS,0.81,0.73,-10.21,EST,0,EQUITY,2016-11-02
21,BG,Bunge Limited,2016-07-28T00:00:00.000Z,TNS,0.38,0.79,106.27,EST,0,EQUITY,2016-07-28
22,BG,Bunge Limited,2016-04-28T00:00:00.000Z,TNS,0.73,1.41,92.36,EST,0,EQUITY,2016-04-28
23,BG,Bunge Limited,2016-02-11T00:00:00.000Z,TNS,1.56,1.49,-4.49,EST,0,EQUITY,2016-02-11
24,BG,Bunge Limited,2015-10-29T00:00:00.000Z,TNS,1.56,1.24,-20.46,EST,0,EQUITY,2015-10-29
25,BG,Bunge Limited,2015-07-30T00:00:00.000Z,TNS,1.36,0.51,-62.47,EST,0,EQUITY,2015-07-30
26,BG,Bunge Limited,2015-04-30T00:00:00.000Z,TNS,1.14,1.58,38.84,EST,0,EQUITY,2015-04-30
27,BG,Bunge Limited,2015-02-12T00:00:00.000Z,TNS,2.51,1.2,-52.27,EST,0,EQUITY,2015-02-12
28,BG,Bunge Limited,2014-10-30T00:00:00.000Z,TNS,1.9,1.31,-31.2,EST,0,EQUITY,2014-10-30
29,BG,Bunge Limited,2014-07-31T00:00:00.000Z,TNS,1.36,1.76,29.71,EST,0,EQUITY,2014-07-31
30,BG,Bunge Limited,2014-05-01T00:00:00.000Z,TNS,1.4,-0.12,-108.56,EST,0,EQUITY,2014-05-01
31,BG,Bunge Limited,2014-02-13T00:00:00.000Z,TNS,2.15,1.35,-37.22,EST,0,EQUITY,2014-02-13
32,BG,Bunge Limited,2013-10-24T00:00:00.000Z,TNS,2.21,2.05,-7.29,EST,0,EQUITY,2013-10-24
33,BG,Bunge Limited,2013-07-25T00:00:00.000Z,TNS,1.3,0.74,-43.22,EST,0,EQUITY,2013-07-25
34,BG,Bunge Limited,2013-04-25T00:00:00.000Z,TNS,0.92,1.15,25.27,EST,0,EQUITY,2013-04-25
35,BG,Bunge Limited,2013-02-07T00:00:00.000Z,TNS,2.36,0.57,-75.86,EST,0,EQUITY,2013-02-07
36,BG,Bunge Limited,2012-10-25T00:00:00.000Z,TNS,2.17,2.08,-3.96,EST,0,EQUITY,2012-10-25
37,BG,Bunge Limited,2012-07-26T00:00:00.000Z,TNS,1.34,1.2,-10.11,EST,0,EQUITY,2012-07-26
38,BG,Bunge Limited,2012-04-26T00:00:00.000Z,TNS,1.18,0.69,-41.35,EST,0,EQUITY,2012-04-26
39,BG,Bunge Limited,2012-02-09T00:00:00.000Z,TNS,1.57,1.65,5.04,EST,0,EQUITY,2012-02-09
40,BG,Bunge Limited,2011-10-27T00:00:00.000Z,TNS,1.58,0.86,-45.69,EST,0,EQUITY,2011-10-27
41,BG,Bunge Limited,2011-07-28T00:00:00.000Z,TNS,1.41,1.78,26.57,EST,0,EQUITY,2011-07-28
42,BG,Bunge Limited,2011-04-28T00:00:00.000Z,TNS,1.31,1.49,13.96,EST,0,EQUITY,2011-04-28
43,BG,Bunge Limited,2011-02-10T00:00:00.000Z,TNS,1.59,1.99,25.31,EST,0,EQUITY,2011-02-10
44,BG,Bunge Limited,2010-10-28T00:00:00.000Z,TNS,1.59,2.26,42.23,EST,0,EQUITY,2010-10-28
45,BG,Bunge Limited,2010-07-29T00:00:00.000Z,TNS,1.31,-0.57,-143.51,EST,0,EQUITY,2010-07-29
46,BG,Bunge Limited,2010-04-29T00:00:00.000Z,TNS,0.75,0.45,-40.13,EST,0,EQUITY,2010-04-29
47,BG,Bunge Limited,2010-02-04T00:00:00.000Z,TNS,0.83,-0.55,-166.44,EST,0,EQUITY,2010-02-04
48,BG,Bunge Limited,2009-10-22T00:00:00.000Z,TNS,1.47,1.62,10.08,EST,0,EQUITY,2009-10-22
49,BG,Bunge Limited,2009-07-23T00:00:00.000Z,TNS,0.68,2.13,214.78,EST,0,EQUITY,2009-07-23
50,BG,Bunge Limited,2009-04-23T00:00:00.000Z,TNS,0.49,-1.76,-457.96,EST,0,EQUITY,2009-04-23
51,BG,Bunge Limited,2009-02-05T00:00:00.000Z,TNS,-0.29,-1.83,-541.36,EST,0,EQUITY,2009-02-05
52,BG,Bunge Limited,2008-10-23T00:00:00.000Z,TNS,2.81,1.4,-50.19,EST,0,EQUITY,2008-10-23
53,BG,Bunge Limited,2008-07-24T00:00:00.000Z,TNS,2.27,4.73,108.37,EST,0,EQUITY,2008-07-24
54,BG,Bunge Limited,2008-04-24T00:00:00.000Z,TNS,1.14,2.1,83.75,EST,0,EQUITY,2008-04-24
55,BG,Bunge Limited,2008-02-07T00:00:00.000Z,TNS,1.54,2.25,45.84,EST,0,EQUITY,2008-02-07
56,BG,Bunge Limited,2007-10-25T00:00:00.000Z,TNS,1.78,2.72,53.24,EST,0,EQUITY,2007-10-25
57,BG,Bunge Limited,2007-07-26T00:00:00.000Z,TNS,0.9,1.35,50.0,EST,0,EQUITY,2007-07-26
58,BG,Bunge Limited,2007-04-26T00:00:00.000Z,TNS,0.04,0.05,40.02,EST,0,EQUITY,2007-04-26
59,BG,Bunge Limited,2007-02-08T00:00:00.000Z,TNS,1.44,1.5,4.17,EST,0,EQUITY,2007-02-08
60,BG,Bunge Limited,2006-10-26T00:00:00.000Z,TNS,1.42,1.55,9.54,EST,0,EQUITY,2006-10-26
61,BG,Bunge Limited,2006-07-27T00:00:00.000Z,TNS,0.03,0.2,614.29,EST,0,EQUITY,2006-07-27
62,BG,Bunge Limited,2006-04-27T00:00:00.000Z,TNS,0.69,0.61,-11.41,EST,0,EQUITY,2006-04-27
63,BG,Bunge Limited,2006-02-09T00:00:00.000Z,TNS,0.86,0.81,-6.22,EST,0,EQUITY,2006-02-09
64,BG,Bunge Limited,2005-10-27T00:00:00.000Z,TNS,1.05,1.06,1.31,EST,0,EQUITY,2005-10-27
65,BG,Bunge Limited,2005-07-28T00:00:00.000Z,TNS,0.83,0.69,-17.15,EST,0,EQUITY,2005-07-28
66,BG,Bunge Limited,2005-04-28T00:00:00.000Z,TNS,0.49,0.66,35.09,EST,0,EQUITY,2005-04-28
67,BG,Bunge Limited,2005-02-08T00:00:00.000Z,TNS,0.82,1.0,21.32,EST,0,EQUITY,2005-02-08
68,BG,Bunge Limited,2004-10-28T00:00:00.000Z,TNS,0.82,1.55,89.35,EST,0,EQUITY,2004-10-28
69,BG,Bunge Limited,2004-07-29T00:00:00.000Z,TNS,0.77,1.0,29.87,EST,0,EQUITY,2004-07-29
70,BG,Bunge Limited,2004-04-29T00:00:00.000Z,TNS,0.44,0.62,40.0,EST,0,EQUITY,2004-04-29
71,BG,Bunge Limited,2004-02-03T00:00:00.000Z,TNS,0.67,1.65,145.74,EST,0,EQUITY,2004-02-03
72,BG,Bunge Limited,2003-10-30T00:00:00.000Z,TNS,0.76,0.77,0.94,EST,0,EQUITY,2003-10-30
73,BG,Bunge Limited,2003-07-29T00:00:00.000Z,TNS,0.71,0.71,0.2,EST,0,EQUITY,2003-07-29
74,BG,Bunge Limited,2003-04-29T00:00:00.000Z,TNS,0.33,0.4,20.6,EST,0,EQUITY,2003-04-29
75,BG,Bunge Limited,2003-02-25T00:00:00.000Z,TNS,0.87,0.98,12.86,EST,0,EQUITY,2003-02-25
76,BG,Bunge Limited,2002-10-21T00:00:00.000Z,TNS,0.84,0.86,2.08,EST,0,EQUITY,2002-10-21
77,BG,Bunge Limited,2002-07-22T00:00:00.000Z,TNS,0.38,0.5,30.89,EST,0,EQUITY,2002-07-22
78,BG,Bunge Limited,2002-04-22T00:00:00.000Z,TNS,0.2,0.26,27.87,EST,0,EQUITY,2002-04-22
79,BG,Bunge Limited,2002-01-22T00:00:00.000Z,TNS,0.46,0.58,26.55,EST,0,EQUITY,2002-01-22
80,BG,Bunge Limited,2001-10-22T00:00:00.000Z,TNS,0.45,0.76,68.89,EST,0,EQUITY,2001-10-22
