,ticker,companyshortname,startdatetime,startdatetimetype,epsestimate,epsactual,epssurprisepct,timeZoneShortName,gmtOffsetMilliSeconds,quoteType,date
0,BGCP,BGC Partners Inc,2021-11-03T08:01:02.000Z,TAS,0.15,0.14,-6.67,EST,-18000000,EQUITY,2021-11-03
2,BGCP,"BGC Partners, Inc.",2021-08-04T00:00:00.000Z,TNS,0.16,0.16,3.23,EST,0,EQUITY,2021-08-04
3,BGCP,"BGC Partners, Inc.",2021-04-29T00:00:00.000Z,TNS,0.19,0.18,-2.7,EST,0,EQUITY,2021-04-29
4,BGCP,"BGC Partners, Inc.",2021-02-24T00:00:00.000Z,TNS,0.12,0.13,8.33,EST,0,EQUITY,2021-02-24
5,BGCP,"BGC Partners, Inc.",2020-10-28T00:00:00.000Z,TNS,0.11,0.11,0.0,EST,0,EQUITY,2020-10-28
6,BGCP,"BGC Partners, Inc.",2020-07-30T00:00:00.000Z,TNS,0.15,0.15,0.0,EST,0,EQUITY,2020-07-30
7,BGCP,"BGC Partners, Inc.",2020-05-05T00:00:00.000Z,TNS,0.19,0.19,2.7,EST,0,EQUITY,2020-05-05
8,BGCP,"BGC Partners, Inc.",2020-02-06T00:00:00.000Z,TNS,0.11,0.12,9.09,EST,0,EQUITY,2020-02-06
9,BGCP,"BGC Partners, Inc.",2019-10-24T00:00:00.000Z,TNS,0.15,0.15,0.0,EST,0,EQUITY,2019-10-24
10,BGCP,"BGC Partners, Inc.",2019-07-25T00:00:00.000Z,TNS,0.18,0.17,-2.86,EST,0,EQUITY,2019-07-25
11,BGCP,"BGC Partners, Inc.",2019-05-07T00:00:00.000Z,TNS,0.18,0.18,0.0,EST,0,EQUITY,2019-05-07
12,BGCP,"BGC Partners, Inc.",2019-02-14T00:00:00.000Z,TNS,0.16,0.14,-9.68,EST,0,EQUITY,2019-02-14
13,BGCP,"BGC Partners, Inc.",2018-10-25T00:00:00.000Z,TNS,0.45,0.42,-6.67,EST,0,EQUITY,2018-10-25
14,BGCP,"BGC Partners, Inc.",2018-08-02T00:00:00.000Z,TNS,0.28,0.3,7.14,EST,0,EQUITY,2018-08-02
15,BGCP,"BGC Partners, Inc.",2018-05-03T00:00:00.000Z,TNS,0.31,0.32,4.92,EST,0,EQUITY,2018-05-03
16,BGCP,"BGC Partners, Inc.",2018-02-09T00:00:00.000Z,TNS,0.28,0.35,22.81,EST,0,EQUITY,2018-02-09
17,BGCP,"BGC Partners, Inc.",2017-10-26T00:00:00.000Z,TNS,0.29,0.29,0.0,EST,0,EQUITY,2017-10-26
18,BGCP,"BGC Partners, Inc.",2017-07-26T00:00:00.000Z,TNS,0.24,0.24,0.0,EST,0,EQUITY,2017-07-26
19,BGCP,"BGC Partners, Inc.",2017-05-04T00:00:00.000Z,TNS,0.23,0.23,2.22,EST,0,EQUITY,2017-05-04
20,BGCP,"BGC Partners, Inc.",2017-02-09T00:00:00.000Z,TNS,0.24,0.25,4.17,EST,0,EQUITY,2017-02-09
21,BGCP,"BGC Partners, Inc.",2016-10-27T00:00:00.000Z,TNS,0.21,0.21,0.0,EST,0,EQUITY,2016-10-27
22,BGCP,"BGC Partners, Inc.",2016-07-28T00:00:00.000Z,TNS,0.19,0.19,0.0,EST,0,EQUITY,2016-07-28
23,BGCP,"BGC Partners, Inc.",2016-04-27T00:00:00.000Z,TNS,0.18,0.18,0.0,EST,0,EQUITY,2016-04-27
24,BGCP,"BGC Partners, Inc.",2016-02-10T00:00:00.000Z,TNS,0.19,0.2,5.26,EST,0,EQUITY,2016-02-10
25,BGCP,"BGC Partners, Inc.",2015-10-28T00:00:00.000Z,TNS,0.19,0.19,0.0,EST,0,EQUITY,2015-10-28
26,BGCP,"BGC Partners, Inc.",2015-07-29T00:00:00.000Z,TNS,0.17,0.18,5.88,EST,0,EQUITY,2015-07-29
27,BGCP,"BGC Partners, Inc.",2015-04-29T00:00:00.000Z,TNS,0.18,0.18,0.0,EST,0,EQUITY,2015-04-29
28,BGCP,"BGC Partners, Inc.",2015-02-11T00:00:00.000Z,TNS,0.18,0.18,-1.64,EST,0,EQUITY,2015-02-11
29,BGCP,"BGC Partners, Inc.",2014-10-30T00:00:00.000Z,TNS,0.16,0.17,8.28,EST,0,EQUITY,2014-10-30
30,BGCP,"BGC Partners, Inc.",2014-07-31T00:00:00.000Z,TNS,0.13,0.13,-1.89,EST,0,EQUITY,2014-07-31
31,BGCP,"BGC Partners, Inc.",2014-05-01T00:00:00.000Z,TNS,0.13,0.15,13.21,EST,0,EQUITY,2014-05-01
32,BGCP,"BGC Partners, Inc.",2014-02-12T00:00:00.000Z,TNS,0.11,0.13,15.56,EST,0,EQUITY,2014-02-12
33,BGCP,"BGC Partners, Inc.",2013-10-31T00:00:00.000Z,TNS,0.1,0.1,-2.44,EST,0,EQUITY,2013-10-31
34,BGCP,"BGC Partners, Inc.",2013-08-01T00:00:00.000Z,TNS,0.13,0.13,0.0,EST,0,EQUITY,2013-08-01
35,BGCP,"BGC Partners, Inc.",2013-05-02T00:00:00.000Z,TNS,0.12,0.12,0.0,EST,0,EQUITY,2013-05-02
36,BGCP,"BGC Partners, Inc.",2013-02-14T00:00:00.000Z,TNS,0.12,0.1,-14.89,EST,0,EQUITY,2013-02-14
37,BGCP,"BGC Partners, Inc.",2012-11-02T00:00:00.000Z,TNS,0.13,0.13,-2.99,EST,0,EQUITY,2012-11-02
38,BGCP,"BGC Partners, Inc.",2012-07-26T00:00:00.000Z,TNS,0.17,0.17,2.41,EST,0,EQUITY,2012-07-26
39,BGCP,"BGC Partners, Inc.",2012-05-03T00:00:00.000Z,TNS,0.18,0.19,3.26,EST,0,EQUITY,2012-05-03
