,ticker,companyshortname,startdatetime,startdatetimetype,epsestimate,epsactual,epssurprisepct,timeZoneShortName,gmtOffsetMilliSeconds,quoteType,date
2,BLKB,Blackbaud Inc,2021-11-03T16:10:03.000Z,TAS,0.61,0.78,27.87,EST,-18000000,EQUITY,2021-11-03
4,BLKB,"Blackbaud, Inc.",2021-08-03T00:00:00.000Z,TNS,0.72,0.82,13.73,EST,0,EQUITY,2021-08-03
5,BLKB,"Blackbaud, Inc.",2021-04-28T00:00:00.000Z,TNS,0.62,0.68,9.15,EST,0,EQUITY,2021-04-28
6,BLKB,"Blackbaud, Inc.",2021-02-08T00:00:00.000Z,TNS,0.71,0.85,19.89,EST,0,EQUITY,2021-02-08
7,BLKB,"Blackbaud, Inc.",2020-10-28T00:00:00.000Z,TNS,0.7,0.73,3.69,EST,0,EQUITY,2020-10-28
8,BLKB,"Blackbaud, Inc.",2020-07-29T00:00:00.000Z,TNS,0.5,0.85,69.32,EST,0,EQUITY,2020-07-29
9,BLKB,"Blackbaud, Inc.",2020-05-05T00:00:00.000Z,TNS,0.46,0.51,9.91,EST,0,EQUITY,2020-05-05
10,BLKB,"Blackbaud, Inc.",2020-02-10T00:00:00.000Z,TNS,0.5,0.51,2.2,EST,0,EQUITY,2020-02-10
11,BLKB,"Blackbaud, Inc.",2019-10-28T00:00:00.000Z,TNS,0.5,0.56,11.33,EST,0,EQUITY,2019-10-28
12,BLKB,"Blackbaud, Inc.",2019-07-30T00:00:00.000Z,TNS,0.56,0.66,17.65,EST,0,EQUITY,2019-07-30
13,BLKB,"Blackbaud, Inc.",2019-04-30T00:00:00.000Z,TNS,0.51,0.51,-0.78,EST,0,EQUITY,2019-04-30
14,BLKB,"Blackbaud, Inc.",2019-02-06T00:00:00.000Z,TNS,0.55,0.65,19.05,EST,0,EQUITY,2019-02-06
15,BLKB,"Blackbaud, Inc.",2018-10-29T00:00:00.000Z,TNS,0.55,0.59,6.5,EST,0,EQUITY,2018-10-29
16,BLKB,"Blackbaud, Inc.",2018-07-30T00:00:00.000Z,TNS,0.67,0.69,3.14,EST,0,EQUITY,2018-07-30
17,BLKB,"Blackbaud, Inc.",2018-04-30T00:00:00.000Z,TNS,0.6,0.66,10.92,EST,0,EQUITY,2018-04-30
18,BLKB,"Blackbaud, Inc.",2018-02-06T00:00:00.000Z,TNS,0.6,0.61,1.84,EST,0,EQUITY,2018-02-06
19,BLKB,"Blackbaud, Inc.",2017-10-25T00:00:00.000Z,TNS,0.51,0.56,9.16,EST,0,EQUITY,2017-10-25
20,BLKB,"Blackbaud, Inc.",2017-07-31T00:00:00.000Z,TNS,0.51,0.54,5.47,EST,0,EQUITY,2017-07-31
21,BLKB,"Blackbaud, Inc.",2017-05-01T00:00:00.000Z,TNS,0.47,0.46,-1.08,EST,0,EQUITY,2017-05-01
22,BLKB,"Blackbaud, Inc.",2017-02-08T00:00:00.000Z,TNS,0.56,0.59,5.17,EST,0,EQUITY,2017-02-08
23,BLKB,"Blackbaud, Inc.",2016-11-01T00:00:00.000Z,TNS,0.51,0.45,-10.89,EST,0,EQUITY,2016-11-01
24,BLKB,"Blackbaud, Inc.",2016-08-01T00:00:00.000Z,TNS,0.5,0.46,-8.37,EST,0,EQUITY,2016-08-01
25,BLKB,"Blackbaud, Inc.",2016-04-27T00:00:00.000Z,TNS,0.42,0.42,-0.71,EST,0,EQUITY,2016-04-27
26,BLKB,"Blackbaud, Inc.",2016-02-09T00:00:00.000Z,TNS,0.39,0.38,-2.06,EST,0,EQUITY,2016-02-09
27,BLKB,"Blackbaud, Inc.",2015-10-28T00:00:00.000Z,TNS,0.39,0.38,-2.56,EST,0,EQUITY,2015-10-28
28,BLKB,"Blackbaud, Inc.",2015-07-29T00:00:00.000Z,TNS,0.38,0.41,9.33,EST,0,EQUITY,2015-07-29
29,BLKB,"Blackbaud, Inc.",2015-04-29T00:00:00.000Z,TNS,0.32,0.32,1.59,EST,0,EQUITY,2015-04-29
30,BLKB,"Blackbaud, Inc.",2015-02-10T00:00:00.000Z,TNS,0.35,0.34,-2.86,EST,0,EQUITY,2015-02-10
31,BLKB,"Blackbaud, Inc.",2014-10-29T00:00:00.000Z,TNS,0.31,0.35,12.9,EST,0,EQUITY,2014-10-29
32,BLKB,"Blackbaud, Inc.",2014-07-30T00:00:00.000Z,TNS,0.28,0.35,25.0,EST,0,EQUITY,2014-07-30
33,BLKB,"Blackbaud, Inc.",2014-04-30T00:00:00.000Z,TNS,0.2,0.24,20.0,EST,0,EQUITY,2014-04-30
34,BLKB,"Blackbaud, Inc.",2014-02-12T00:00:00.000Z,TNS,0.32,0.32,1.05,EST,0,EQUITY,2014-02-12
35,BLKB,"Blackbaud, Inc.",2013-10-30T00:00:00.000Z,TNS,0.35,0.37,6.73,EST,0,EQUITY,2013-10-30
36,BLKB,"Blackbaud, Inc.",2013-07-31T00:00:00.000Z,TNS,0.28,0.33,19.28,EST,0,EQUITY,2013-07-31
37,BLKB,"Blackbaud, Inc.",2013-05-01T00:00:00.000Z,TNS,0.2,0.26,32.2,EST,0,EQUITY,2013-05-01
38,BLKB,"Blackbaud, Inc.",2013-02-13T00:00:00.000Z,TNS,0.24,0.27,12.5,EST,0,EQUITY,2013-02-13
39,BLKB,"Blackbaud, Inc.",2012-11-01T00:00:00.000Z,TNS,0.24,0.26,9.86,EST,0,EQUITY,2012-11-01
40,BLKB,"Blackbaud, Inc.",2012-08-07T00:00:00.000Z,TNS,0.22,0.24,9.09,EST,0,EQUITY,2012-08-07
41,BLKB,"Blackbaud, Inc.",2012-05-03T00:00:00.000Z,TNS,0.2,0.17,-15.0,EST,0,EQUITY,2012-05-03
42,BLKB,"Blackbaud, Inc.",2012-02-22T00:00:00.000Z,TNS,0.29,0.27,-8.16,EST,0,EQUITY,2012-02-22
43,BLKB,"Blackbaud, Inc.",2011-11-01T00:00:00.000Z,TNS,0.29,0.29,0.0,EST,0,EQUITY,2011-11-01
44,BLKB,"Blackbaud, Inc.",2011-08-04T00:00:00.000Z,TNS,0.25,0.27,9.46,EST,0,EQUITY,2011-08-04
45,BLKB,"Blackbaud, Inc.",2011-05-09T00:00:00.000Z,TNS,0.21,0.23,10.4,EST,0,EQUITY,2011-05-09
46,BLKB,"Blackbaud, Inc.",2011-02-07T00:00:00.000Z,TNS,0.27,0.27,0.0,EST,0,EQUITY,2011-02-07
47,BLKB,"Blackbaud, Inc.",2010-11-02T00:00:00.000Z,TNS,0.25,0.25,0.0,EST,0,EQUITY,2010-11-02
48,BLKB,"Blackbaud, Inc.",2010-07-27T00:00:00.000Z,TNS,0.22,0.22,0.0,EST,0,EQUITY,2010-07-27
49,BLKB,"Blackbaud, Inc.",2010-04-27T00:00:00.000Z,TNS,0.2,0.2,-0.83,EST,0,EQUITY,2010-04-27
50,BLKB,"Blackbaud, Inc.",2010-02-04T00:00:00.000Z,TNS,0.24,0.27,14.08,EST,0,EQUITY,2010-02-04
51,BLKB,"Blackbaud, Inc.",2009-10-28T00:00:00.000Z,TNS,0.22,0.26,16.67,EST,0,EQUITY,2009-10-28
52,BLKB,"Blackbaud, Inc.",2009-07-30T00:00:00.000Z,TNS,0.21,0.23,7.81,EST,0,EQUITY,2009-07-30
