,ticker,companyshortname,startdatetime,startdatetimetype,epsestimate,epsactual,epssurprisepct,timeZoneShortName,gmtOffsetMilliSeconds,quoteType,date
2,BV,Brightview Holdings Inc,2021-11-17T06:15:00.000Z,TAS,0.41,0.38,-7.32,EST,-18000000,EQUITY,2021-11-17
4,BV,"BrightView Holdings, Inc.",2021-08-05T00:00:00.000Z,TNS,0.43,0.44,2.33,EST,0,EQUITY,2021-08-05
5,BV,"BrightView Holdings, Inc.",2021-05-06T00:00:00.000Z,TNS,0.11,0.26,134.23,EST,0,EQUITY,2021-05-06
6,BV,"BrightView Holdings, Inc.",2021-02-04T00:00:00.000Z,TNS,0.08,0.12,44.58,EST,0,EQUITY,2021-02-04
7,BV,"BrightView Holdings, Inc.",2020-11-18T00:00:00.000Z,TNS,0.37,0.37,1.09,EST,0,EQUITY,2020-11-18
8,BV,"BrightView Holdings, Inc.",2020-08-05T00:00:00.000Z,TNS,0.33,0.42,28.83,EST,0,EQUITY,2020-08-05
9,BV,"BrightView Holdings, Inc.",2020-04-23T00:00:00.000Z,TNS,0.14,0.02,-85.19,EST,0,EQUITY,2020-04-23
10,BV,"BrightView Holdings, Inc.",2020-02-06T00:00:00.000Z,TNS,0.09,0.1,9.89,EST,0,EQUITY,2020-02-06
11,BV,"BrightView Holdings, Inc.",2019-11-21T00:00:00.000Z,TNS,0.42,0.44,5.77,EST,0,EQUITY,2019-11-21
12,BV,"BrightView Holdings, Inc.",2019-08-07T00:00:00.000Z,TNS,0.47,0.46,-2.13,EST,0,EQUITY,2019-08-07
13,BV,"BrightView Holdings, Inc.",2019-05-08T00:00:00.000Z,TNS,0.14,0.15,11.11,EST,0,EQUITY,2019-05-08
14,BV,"BrightView Holdings, Inc.",2019-02-07T00:00:00.000Z,TNS,0.13,0.1,-20.63,EST,0,EQUITY,2019-02-07
15,BV,"BrightView Holdings, Inc.",2018-11-27T00:00:00.000Z,TNS,0.28,0.35,22.81,EST,0,EQUITY,2018-11-27
16,BV,"BrightView Holdings, Inc.",2018-08-08T00:00:00.000Z,TNS,0.39,0.43,11.69,EST,0,EQUITY,2018-08-08
