,ticker,companyshortname,startdatetime,startdatetimetype,epsestimate,epsactual,epssurprisepct,timeZoneShortName,gmtOffsetMilliSeconds,quoteType,date
4,CARG,"CarGurus, Inc.",2021-11-09T00:00:00.000Z,TNS,0.32,0.38,17.28,EST,0,EQUITY,2021-11-09
5,CARG,"CarGurus, Inc.",2021-08-05T00:00:00.000Z,TNS,0.25,0.41,65.32,EST,0,EQUITY,2021-08-05
6,CARG,"CarGurus, Inc.",2021-05-06T00:00:00.000Z,TNS,0.22,0.33,50.0,EST,0,EQUITY,2021-05-06
7,CARG,"CarGurus, Inc.",2021-02-11T00:00:00.000Z,TNS,0.28,0.32,16.36,EST,0,EQUITY,2021-02-11
8,CARG,"CarGurus, Inc.",2020-11-05T00:00:00.000Z,TNS,0.22,0.37,71.3,EST,0,EQUITY,2020-11-05
9,CARG,"CarGurus, Inc.",2020-08-06T00:00:00.000Z,TNS,0.0,0.19,9400.0,EST,0,EQUITY,2020-08-06
10,CARG,"CarGurus, Inc.",2020-05-07T00:00:00.000Z,TNS,0.08,0.19,126.19,EST,0,EQUITY,2020-05-07
11,CARG,"CarGurus, Inc.",2020-02-13T00:00:00.000Z,TNS,0.14,0.17,25.93,EST,0,EQUITY,2020-02-13
12,CARG,"CarGurus, Inc.",2019-11-05T00:00:00.000Z,TNS,0.09,0.14,50.54,EST,0,EQUITY,2019-11-05
13,CARG,"CarGurus, Inc.",2019-08-06T00:00:00.000Z,TNS,0.07,0.1,36.99,EST,0,EQUITY,2019-08-06
14,CARG,"CarGurus, Inc.",2019-05-09T00:00:00.000Z,TNS,0.07,0.12,84.62,EST,0,EQUITY,2019-05-09
15,CARG,"CarGurus, Inc.",2019-02-28T00:00:00.000Z,TNS,0.08,0.11,42.86,EST,0,EQUITY,2019-02-28
16,CARG,"CarGurus, Inc.",2018-11-07T00:00:00.000Z,TNS,0.05,0.08,60.0,EST,0,EQUITY,2018-11-07
17,CARG,"CarGurus, Inc.",2018-08-07T00:00:00.000Z,TNS,0.04,0.06,62.16,EST,0,EQUITY,2018-08-07
18,CARG,"CarGurus, Inc.",2018-05-03T00:00:00.000Z,TNS,0.02,0.06,200.0,EST,0,EQUITY,2018-05-03
19,CARG,"CarGurus, Inc.",2018-03-01T00:00:00.000Z,TNS,0.01,0.05,316.67,EST,0,EQUITY,2018-03-01
20,CARG,"CarGurus, Inc.",2017-11-14T00:00:00.000Z,TNS,0.0,0.02,,EST,0,EQUITY,2017-11-14
