,ticker,companyshortname,startdatetime,startdatetimetype,epsestimate,epsactual,epssurprisepct,timeZoneShortName,gmtOffsetMilliSeconds,quoteType,date
0,CCJ,Cameco Corporation,2021-10-29T00:00:00.000Z,TNS,-0.04,-0.14,-288.89,EST,0,EQUITY,2021-10-29
1,CCJ,Cameco Corporation,2021-07-28T00:00:00.000Z,TNS,-0.06,-0.1,-78.57,EST,0,EQUITY,2021-07-28
2,CCJ,Cameco Corporation,2021-05-07T00:00:00.000Z,TNS,-0.09,-0.07,23.91,EST,0,EQUITY,2021-05-07
3,CCJ,Cameco Corporation,2021-02-10T00:00:00.000Z,TNS,-0.05,0.12,318.18,EST,0,EQUITY,2021-02-10
4,CCJ,Cameco Corporation,2020-11-04T00:00:00.000Z,TNS,-0.05,-0.2,-277.36,EST,0,EQUITY,2020-11-04
5,CCJ,Cameco Corporation,2020-07-29T00:00:00.000Z,TNS,-0.05,-0.16,-220.0,EST,0,EQUITY,2020-07-29
6,CCJ,Cameco Corporation,2020-05-01T00:00:00.000Z,TNS,-0.04,0.07,289.19,EST,0,EQUITY,2020-05-01
7,CCJ,Cameco Corporation,2020-02-07T00:00:00.000Z,TNS,0.16,0.24,53.85,EST,0,EQUITY,2020-02-07
8,CCJ,Cameco Corporation,2019-11-01T00:00:00.000Z,TNS,0.01,-0.01,-176.92,EST,0,EQUITY,2019-11-01
9,CCJ,Cameco Corporation,2019-07-25T00:00:00.000Z,TNS,-0.04,-0.04,-5.26,EST,0,EQUITY,2019-07-25
10,CCJ,Cameco Corporation,2019-05-01T00:00:00.000Z,TNS,-0.04,-0.08,-95.12,EST,0,EQUITY,2019-05-01
11,CCJ,Cameco Corporation,2019-02-08T00:00:00.000Z,TNS,0.23,0.51,125.66,EST,0,EQUITY,2019-02-08
12,CCJ,Cameco Corporation,2018-11-02T00:00:00.000Z,TNS,0.03,0.04,37.93,EST,0,EQUITY,2018-11-02
13,CCJ,Cameco Corporation,2018-07-25T00:00:00.000Z,TNS,-0.01,-0.07,-536.36,EST,0,EQUITY,2018-07-25
14,CCJ,Cameco Corporation,2018-04-27T00:00:00.000Z,TNS,-0.01,0.06,766.67,EST,0,EQUITY,2018-04-27
15,CCJ,Cameco Corporation,2018-02-09T00:00:00.000Z,TNS,0.36,0.46,29.58,EST,0,EQUITY,2018-02-09
16,CCJ,Cameco Corporation,2017-10-27T00:00:00.000Z,TNS,0.05,-0.13,-340.74,EST,0,EQUITY,2017-10-27
17,CCJ,Cameco Corporation,2017-07-27T00:00:00.000Z,TNS,-0.02,-0.11,-358.33,EST,0,EQUITY,2017-07-27
