,ticker,companyshortname,startdatetime,startdatetimetype,epsestimate,epsactual,epssurprisepct,timeZoneShortName,gmtOffsetMilliSeconds,quoteType,date
3,CCO,"Clear Channel Outdoor Holdings, Inc.",2021-11-09T00:00:00.000Z,TNS,-0.09,-0.09,-2.27,EST,0,EQUITY,2021-11-09
4,CCO,"Clear Channel Outdoor Holdings, Inc.",2021-07-29T00:00:00.000Z,TNS,-0.22,-0.27,-23.29,EST,0,EQUITY,2021-07-29
5,CCO,"Clear Channel Outdoor Holdings, Inc.",2021-05-10T00:00:00.000Z,TNS,-0.35,-0.71,-102.28,EST,0,EQUITY,2021-05-10
6,CCO,"Clear Channel Outdoor Holdings, Inc.",2021-02-25T00:00:00.000Z,TNS,-0.18,-0.07,61.11,EST,0,EQUITY,2021-02-25
7,CCO,"Clear Channel Outdoor Holdings, Inc.",2020-11-09T00:00:00.000Z,TNS,-0.29,-0.29,1.69,EST,0,EQUITY,2020-11-09
8,CCO,"Clear Channel Outdoor Holdings, Inc.",2020-08-07T00:00:00.000Z,TNS,-0.38,-0.3,21.26,EST,0,EQUITY,2020-08-07
9,CCO,"Clear Channel Outdoor Holdings, Inc.",2020-05-06T00:00:00.000Z,TNS,-0.21,-0.6,-185.71,EST,0,EQUITY,2020-05-06
10,CCO,"Clear Channel Outdoor Holdings, Inc.",2020-02-27T00:00:00.000Z,TNS,0.03,0.06,81.82,EST,0,EQUITY,2020-02-27
11,CCO,"Clear Channel Outdoor Holdings, Inc.",2019-11-06T00:00:00.000Z,TNS,-0.09,-0.46,-416.85,EST,0,EQUITY,2019-11-06
12,CCO,"Clear Channel Outdoor Holdings, Inc.",2019-08-01T00:00:00.000Z,TNS,-0.03,-0.03,0.0,EST,0,EQUITY,2019-08-01
13,CCO,"Clear Channel Outdoor Holdings, Inc.",2019-04-24T00:00:00.000Z,TNS,-0.2,-0.45,-124.5,EST,0,EQUITY,2019-04-24
14,CCO,"Clear Channel Outdoor Holdings, Inc.",2019-03-05T00:00:00.000Z,TNS,-0.01,0.07,800.0,EST,0,EQUITY,2019-03-05
15,CCO,"Clear Channel Outdoor Holdings, Inc.",2018-11-08T00:00:00.000Z,TNS,-0.1,-0.18,-80.0,EST,0,EQUITY,2018-11-08
16,CCO,"Clear Channel Outdoor Holdings, Inc.",2018-07-31T00:00:00.000Z,TNS,-0.04,-0.14,-300.0,EST,0,EQUITY,2018-07-31
17,CCO,"Clear Channel Outdoor Holdings, Inc.",2018-05-22T00:00:00.000Z,TNS,-0.21,-0.35,-62.79,EST,0,EQUITY,2018-05-22
18,CCO,"Clear Channel Outdoor Holdings, Inc.",2018-04-30T00:00:00.000Z,TNS,0.04,0.86,2288.89,EST,0,EQUITY,2018-04-30
19,CCO,"Clear Channel Outdoor Holdings, Inc.",2017-11-08T00:00:00.000Z,TNS,-0.06,-0.17,-198.25,EST,0,EQUITY,2017-11-08
