,ticker,companyshortname,startdatetime,startdatetimetype,epsestimate,epsactual,epssurprisepct,timeZoneShortName,gmtOffsetMilliSeconds,quoteType,date
0,CERN,Cerner Corporation,2021-10-29T00:00:00.000Z,TNS,0.82,0.86,5.39,EST,0,EQUITY,2021-10-29
1,CERN,Cerner Corporation,2021-07-30T00:00:00.000Z,TNS,0.76,0.8,5.68,EST,0,EQUITY,2021-07-30
2,CERN,Cerner Corporation,2021-05-05T00:00:00.000Z,TNS,0.74,0.76,2.7,EST,0,EQUITY,2021-05-05
3,CERN,Cerner Corporation,2021-02-10T00:00:00.000Z,TNS,0.78,0.78,-0.13,EST,0,EQUITY,2021-02-10
4,CERN,Cerner Corporation,2020-10-28T00:00:00.000Z,TNS,0.72,0.72,0.7,EST,0,EQUITY,2020-10-28
5,CERN,Cerner Corporation,2020-07-29T00:00:00.000Z,TNS,0.61,0.63,2.77,EST,0,EQUITY,2020-07-29
6,CERN,Cerner Corporation,2020-04-28T00:00:00.000Z,TNS,0.7,0.71,2.01,EST,0,EQUITY,2020-04-28
7,CERN,Cerner Corporation,2020-02-04T00:00:00.000Z,TNS,0.74,0.75,1.63,EST,0,EQUITY,2020-02-04
8,CERN,Cerner Corporation,2019-10-24T00:00:00.000Z,TNS,0.66,0.66,0.3,EST,0,EQUITY,2019-10-24
9,CERN,Cerner Corporation,2019-07-24T00:00:00.000Z,TNS,0.64,0.66,2.64,EST,0,EQUITY,2019-07-24
10,CERN,Cerner Corporation,2019-04-25T00:00:00.000Z,TNS,0.61,0.61,-0.65,EST,0,EQUITY,2019-04-25
11,CERN,Cerner Corporation,2019-02-05T00:00:00.000Z,TNS,0.63,0.63,-0.32,EST,0,EQUITY,2019-02-05
12,CERN,Cerner Corporation,2018-10-25T00:00:00.000Z,TNS,0.63,0.63,0.16,EST,0,EQUITY,2018-10-25
13,CERN,Cerner Corporation,2018-08-02T00:00:00.000Z,TNS,0.6,0.62,3.51,EST,0,EQUITY,2018-08-02
14,CERN,Cerner Corporation,2018-05-02T00:00:00.000Z,TNS,0.58,0.58,-0.51,EST,0,EQUITY,2018-05-02
15,CERN,Cerner Corporation,2018-02-06T00:00:00.000Z,TNS,0.61,0.58,-5.07,EST,0,EQUITY,2018-02-06
16,CERN,Cerner Corporation,2017-10-26T00:00:00.000Z,TNS,0.62,0.61,-1.93,EST,0,EQUITY,2017-10-26
17,CERN,Cerner Corporation,2017-07-27T00:00:00.000Z,TNS,0.61,0.61,-0.49,EST,0,EQUITY,2017-07-27
18,CERN,Cerner Corporation,2017-04-27T00:00:00.000Z,TNS,0.57,0.59,2.79,EST,0,EQUITY,2017-04-27
19,CERN,Cerner Corporation,2017-02-09T00:00:00.000Z,TNS,0.61,0.61,0.49,EST,0,EQUITY,2017-02-09
20,CERN,Cerner Corporation,2016-11-01T00:00:00.000Z,TNS,0.6,0.59,-1.99,EST,0,EQUITY,2016-11-01
21,CERN,Cerner Corporation,2016-08-02T00:00:00.000Z,TNS,0.57,0.58,1.75,EST,0,EQUITY,2016-08-02
22,CERN,Cerner Corporation,2016-05-05T00:00:00.000Z,TNS,0.53,0.53,-0.38,EST,0,EQUITY,2016-05-05
23,CERN,Cerner Corporation,2016-02-16T00:00:00.000Z,TNS,0.57,0.61,7.39,EST,0,EQUITY,2016-02-16
24,CERN,Cerner Corporation,2015-11-03T00:00:00.000Z,TNS,0.54,0.54,-0.74,EST,0,EQUITY,2015-11-03
25,CERN,Cerner Corporation,2015-08-04T00:00:00.000Z,TNS,0.52,0.52,0.78,EST,0,EQUITY,2015-08-04
26,CERN,Cerner Corporation,2015-05-07T00:00:00.000Z,TNS,0.45,0.45,0.45,EST,0,EQUITY,2015-05-07
27,CERN,Cerner Corporation,2015-02-10T00:00:00.000Z,TNS,0.47,0.47,0.64,EST,0,EQUITY,2015-02-10
28,CERN,Cerner Corporation,2014-10-23T00:00:00.000Z,TNS,0.42,0.42,-0.24,EST,0,EQUITY,2014-10-23
29,CERN,Cerner Corporation,2014-07-24T00:00:00.000Z,TNS,0.4,0.4,1.09,EST,0,EQUITY,2014-07-24
30,CERN,Cerner Corporation,2014-04-24T00:00:00.000Z,TNS,0.37,0.37,-0.37,EST,0,EQUITY,2014-04-24
31,CERN,Cerner Corporation,2014-02-04T00:00:00.000Z,TNS,0.39,0.39,0.18,EST,0,EQUITY,2014-02-04
32,CERN,Cerner Corporation,2013-10-24T00:00:00.000Z,TNS,0.35,0.35,-0.98,EST,0,EQUITY,2013-10-24
33,CERN,Cerner Corporation,2013-07-25T00:00:00.000Z,TNS,0.34,0.34,0.34,EST,0,EQUITY,2013-07-25
34,CERN,Cerner Corporation,2013-04-25T00:00:00.000Z,TNS,0.32,0.33,4.43,EST,0,EQUITY,2013-04-25
35,CERN,Cerner Corporation,2013-02-05T00:00:00.000Z,TNS,0.32,0.34,5.18,EST,0,EQUITY,2013-02-05
36,CERN,Cerner Corporation,2012-10-25T00:00:00.000Z,TNS,0.29,0.3,1.94,EST,0,EQUITY,2012-10-25
37,CERN,Cerner Corporation,2012-07-26T00:00:00.000Z,TNS,0.27,0.3,8.26,EST,0,EQUITY,2012-07-26
38,CERN,Cerner Corporation,2012-04-26T00:00:00.000Z,TNS,0.25,0.27,8.32,EST,0,EQUITY,2012-04-26
39,CERN,Cerner Corporation,2012-02-07T00:00:00.000Z,TNS,0.26,0.28,4.36,EST,0,EQUITY,2012-02-07
40,CERN,Cerner Corporation,2011-10-27T00:00:00.000Z,TNS,0.24,0.24,1.61,EST,0,EQUITY,2011-10-27
41,CERN,Cerner Corporation,2011-07-28T00:00:00.000Z,TNS,0.22,0.22,2.33,EST,0,EQUITY,2011-07-28
42,CERN,Cerner Corporation,2011-04-28T00:00:00.000Z,TNS,0.19,0.2,5.19,EST,0,EQUITY,2011-04-28
43,CERN,Cerner Corporation,2011-02-08T00:00:00.000Z,TNS,0.21,0.22,3.34,EST,0,EQUITY,2011-02-08
44,CERN,Cerner Corporation,2010-10-28T00:00:00.000Z,TNS,0.19,0.19,2.58,EST,0,EQUITY,2010-10-28
45,CERN,Cerner Corporation,2010-07-28T00:00:00.000Z,TNS,0.17,0.17,2.02,EST,0,EQUITY,2010-07-28
46,CERN,Cerner Corporation,2010-04-28T00:00:00.000Z,TNS,0.15,0.16,3.74,EST,0,EQUITY,2010-04-28
47,CERN,Cerner Corporation,2010-02-09T00:00:00.000Z,TNS,0.18,0.19,4.83,EST,0,EQUITY,2010-02-09
48,CERN,Cerner Corporation,2009-10-28T00:00:00.000Z,TNS,0.15,0.15,0.33,EST,0,EQUITY,2009-10-28
49,CERN,Cerner Corporation,2009-07-29T00:00:00.000Z,TNS,0.14,0.14,-0.57,EST,0,EQUITY,2009-07-29
50,CERN,Cerner Corporation,2009-04-28T00:00:00.000Z,TNS,0.13,0.13,1.49,EST,0,EQUITY,2009-04-28
51,CERN,Cerner Corporation,2009-02-10T00:00:00.000Z,TNS,0.15,0.16,5.84,EST,0,EQUITY,2009-02-10
52,CERN,Cerner Corporation,2008-10-21T00:00:00.000Z,TNS,0.14,0.14,2.43,EST,0,EQUITY,2008-10-21
53,CERN,Cerner Corporation,2008-07-22T00:00:00.000Z,TNS,0.13,0.13,1.46,EST,0,EQUITY,2008-07-22
54,CERN,Cerner Corporation,2008-04-22T00:00:00.000Z,TNS,0.11,0.12,7.95,EST,0,EQUITY,2008-04-22
55,CERN,Cerner Corporation,2008-01-31T00:00:00.000Z,TNS,0.13,0.13,2.47,EST,0,EQUITY,2008-01-31
56,CERN,Cerner Corporation,2007-10-18T00:00:00.000Z,TNS,0.11,0.12,3.03,EST,0,EQUITY,2007-10-18
57,CERN,Cerner Corporation,2007-07-24T00:00:00.000Z,TNS,0.1,0.1,1.02,EST,0,EQUITY,2007-07-24
58,CERN,Cerner Corporation,2007-04-19T00:00:00.000Z,TNS,0.09,0.09,3.65,EST,0,EQUITY,2007-04-19
59,CERN,Cerner Corporation,2007-02-01T00:00:00.000Z,TNS,0.1,0.1,0.46,EST,0,EQUITY,2007-02-01
60,CERN,Cerner Corporation,2006-10-19T00:00:00.000Z,TNS,0.09,0.09,0.8,EST,0,EQUITY,2006-10-19
61,CERN,Cerner Corporation,2006-07-20T00:00:00.000Z,TNS,0.08,0.08,4.46,EST,0,EQUITY,2006-07-20
62,CERN,Cerner Corporation,2006-04-20T00:00:00.000Z,TNS,0.07,0.07,4.4,EST,0,EQUITY,2006-04-20
63,CERN,Cerner Corporation,2006-02-02T00:00:00.000Z,TNS,0.08,0.09,0.12,EST,0,EQUITY,2006-02-02
64,CERN,Cerner Corporation,2005-10-20T00:00:00.000Z,TNS,0.07,0.07,0.5,EST,0,EQUITY,2005-10-20
65,CERN,Cerner Corporation,2005-07-21T00:00:00.000Z,TNS,0.06,0.06,3.69,EST,0,EQUITY,2005-07-21
66,CERN,Cerner Corporation,2005-04-21T00:00:00.000Z,TNS,0.05,0.05,3.6,EST,0,EQUITY,2005-04-21
67,CERN,Cerner Corporation,2005-02-03T00:00:00.000Z,TNS,0.07,0.07,2.82,EST,0,EQUITY,2005-02-03
68,CERN,Cerner Corporation,2004-10-20T00:00:00.000Z,TNS,0.05,0.06,2.46,EST,0,EQUITY,2004-10-20
69,CERN,Cerner Corporation,2004-07-21T00:00:00.000Z,TNS,0.05,0.05,3.64,EST,0,EQUITY,2004-07-21
70,CERN,Cerner Corporation,2004-04-21T00:00:00.000Z,TNS,0.04,0.04,4.48,EST,0,EQUITY,2004-04-21
