,ticker,companyshortname,startdatetime,startdatetimetype,epsestimate,epsactual,epssurprisepct,timeZoneShortName,gmtOffsetMilliSeconds,quoteType,date
3,CHCO,City Holding Co,2021-10-21T07:30:00.000Z,TAS,1.24,1.47,18.55,EST,-18000000,EQUITY,2021-10-21
5,CHCO,City Holding Company,2021-07-22T00:00:00.000Z,TNS,1.16,1.41,21.34,EST,0,EQUITY,2021-07-22
6,CHCO,City Holding Company,2021-04-21T00:00:00.000Z,TNS,1.11,1.25,12.21,EST,0,EQUITY,2021-04-21
7,CHCO,City Holding Company,2021-01-25T00:00:00.000Z,TNS,1.08,1.4,29.87,EST,0,EQUITY,2021-01-25
8,CHCO,City Holding Company,2020-10-22T00:00:00.000Z,TNS,0.88,1.25,42.69,EST,0,EQUITY,2020-10-22
9,CHCO,City Holding Company,2020-07-23T00:00:00.000Z,TNS,0.65,1.12,71.78,EST,0,EQUITY,2020-07-23
10,CHCO,City Holding Company,2020-04-28T00:00:00.000Z,TNS,1.11,1.78,60.36,EST,0,EQUITY,2020-04-28
11,CHCO,City Holding Company,2020-01-29T00:00:00.000Z,TNS,1.33,1.38,3.92,EST,0,EQUITY,2020-01-29
12,CHCO,City Holding Company,2019-10-22T00:00:00.000Z,TNS,1.32,1.36,3.11,EST,0,EQUITY,2019-10-22
13,CHCO,City Holding Company,2019-07-22T00:00:00.000Z,TNS,1.3,1.38,6.32,EST,0,EQUITY,2019-07-22
14,CHCO,City Holding Company,2019-04-17T00:00:00.000Z,TNS,1.22,1.3,6.73,EST,0,EQUITY,2019-04-17
15,CHCO,City Holding Company,2019-01-24T00:00:00.000Z,TNS,1.24,0.68,-45.07,EST,0,EQUITY,2019-01-24
16,CHCO,City Holding Company,2018-10-22T00:00:00.000Z,TNS,1.19,1.33,11.76,EST,0,EQUITY,2018-10-22
17,CHCO,City Holding Company,2018-07-19T00:00:00.000Z,TNS,1.13,1.35,19.89,EST,0,EQUITY,2018-07-19
18,CHCO,City Holding Company,2018-04-19T00:00:00.000Z,TNS,1.06,1.13,7.11,EST,0,EQUITY,2018-04-19
19,CHCO,City Holding Company,2018-01-23T00:00:00.000Z,TNS,0.97,0.62,-35.95,EST,0,EQUITY,2018-01-23
20,CHCO,City Holding Company,2017-10-18T00:00:00.000Z,TNS,0.9,0.89,-1.55,EST,0,EQUITY,2017-10-18
21,CHCO,City Holding Company,2017-07-24T00:00:00.000Z,TNS,0.83,0.94,12.71,EST,0,EQUITY,2017-07-24
22,CHCO,City Holding Company,2017-04-24T00:00:00.000Z,TNS,0.8,1.04,30.33,EST,0,EQUITY,2017-04-24
23,CHCO,City Holding Company,2017-01-19T00:00:00.000Z,TNS,0.87,0.97,11.11,EST,0,EQUITY,2017-01-19
24,CHCO,City Holding Company,2016-10-24T00:00:00.000Z,TNS,0.79,0.88,11.39,EST,0,EQUITY,2016-10-24
25,CHCO,City Holding Company,2016-07-26T00:00:00.000Z,TNS,0.79,0.83,5.6,EST,0,EQUITY,2016-07-26
26,CHCO,City Holding Company,2016-04-25T00:00:00.000Z,TNS,0.74,0.78,5.12,EST,0,EQUITY,2016-04-25
27,CHCO,City Holding Company,2016-01-25T00:00:00.000Z,TNS,0.74,0.88,19.24,EST,0,EQUITY,2016-01-25
28,CHCO,City Holding Company,2015-10-22T00:00:00.000Z,TNS,0.75,0.69,-8.0,EST,0,EQUITY,2015-10-22
29,CHCO,City Holding Company,2015-07-23T00:00:00.000Z,TNS,0.77,0.78,1.3,EST,0,EQUITY,2015-07-23
30,CHCO,City Holding Company,2015-04-23T00:00:00.000Z,TNS,1.12,1.17,4.46,EST,0,EQUITY,2015-04-23
31,CHCO,City Holding Company,2015-01-26T00:00:00.000Z,TNS,0.78,0.95,21.48,EST,0,EQUITY,2015-01-26
32,CHCO,City Holding Company,2014-10-23T00:00:00.000Z,TNS,0.79,0.76,-3.31,EST,0,EQUITY,2014-10-23
33,CHCO,City Holding Company,2014-07-22T00:00:00.000Z,TNS,0.81,0.8,-0.74,EST,0,EQUITY,2014-07-22
34,CHCO,City Holding Company,2014-04-29T00:00:00.000Z,TNS,0.78,0.86,10.26,EST,0,EQUITY,2014-04-29
35,CHCO,City Holding Company,2014-01-28T00:00:00.000Z,TNS,0.8,0.86,7.95,EST,0,EQUITY,2014-01-28
36,CHCO,City Holding Company,2013-10-23T00:00:00.000Z,TNS,0.78,0.88,13.3,EST,0,EQUITY,2013-10-23
