,ticker,companyshortname,startdatetime,startdatetimetype,epsestimate,epsactual,epssurprisepct,timeZoneShortName,gmtOffsetMilliSeconds,quoteType,date
0,CHD,Church & Dwight Co Inc,2021-10-29T06:55:00.000Z,TAS,0.71,0.8,12.68,EST,-18000000,EQUITY,2021-10-29
2,CHD,"Church & Dwight Co., Inc.",2021-07-30T00:00:00.000Z,TNS,0.7,0.76,8.88,EST,0,EQUITY,2021-07-30
3,CHD,"Church & Dwight Co., Inc.",2021-04-29T00:00:00.000Z,TNS,0.81,0.83,2.22,EST,0,EQUITY,2021-04-29
4,CHD,"Church & Dwight Co., Inc.",2021-01-29T00:00:00.000Z,TNS,0.52,0.53,1.15,EST,0,EQUITY,2021-01-29
5,CHD,"Church & Dwight Co., Inc.",2020-10-29T00:00:00.000Z,TNS,0.67,0.7,3.86,EST,0,EQUITY,2020-10-29
6,CHD,"Church & Dwight Co., Inc.",2020-07-31T00:00:00.000Z,TNS,0.63,0.77,21.84,EST,0,EQUITY,2020-07-31
7,CHD,"Church & Dwight Co., Inc.",2020-04-30T00:00:00.000Z,TNS,0.77,0.83,7.24,EST,0,EQUITY,2020-04-30
8,CHD,"Church & Dwight Co., Inc.",2020-01-31T00:00:00.000Z,TNS,0.55,0.55,-0.54,EST,0,EQUITY,2020-01-31
9,CHD,"Church & Dwight Co., Inc.",2019-10-31T00:00:00.000Z,TNS,0.61,0.66,7.84,EST,0,EQUITY,2019-10-31
10,CHD,"Church & Dwight Co., Inc.",2019-07-31T00:00:00.000Z,TNS,0.52,0.57,9.2,EST,0,EQUITY,2019-07-31
11,CHD,"Church & Dwight Co., Inc.",2019-05-02T00:00:00.000Z,TNS,0.66,0.7,5.9,EST,0,EQUITY,2019-05-02
12,CHD,"Church & Dwight Co., Inc.",2019-02-05T00:00:00.000Z,TNS,0.58,0.57,-2.4,EST,0,EQUITY,2019-02-05
13,CHD,"Church & Dwight Co., Inc.",2018-11-01T00:00:00.000Z,TNS,0.54,0.58,7.21,EST,0,EQUITY,2018-11-01
14,CHD,"Church & Dwight Co., Inc.",2018-08-02T00:00:00.000Z,TNS,0.47,0.49,5.15,EST,0,EQUITY,2018-08-02
15,CHD,"Church & Dwight Co., Inc.",2018-05-03T00:00:00.000Z,TNS,0.61,0.63,3.11,EST,0,EQUITY,2018-05-03
16,CHD,"Church & Dwight Co., Inc.",2018-02-05T00:00:00.000Z,TNS,0.5,0.52,3.79,EST,0,EQUITY,2018-02-05
17,CHD,"Church & Dwight Co., Inc.",2017-11-02T00:00:00.000Z,TNS,0.47,0.49,4.7,EST,0,EQUITY,2017-11-02
18,CHD,"Church & Dwight Co., Inc.",2017-08-03T00:00:00.000Z,TNS,0.39,0.41,5.94,EST,0,EQUITY,2017-08-03
19,CHD,"Church & Dwight Co., Inc.",2017-05-04T00:00:00.000Z,TNS,0.46,0.52,12.31,EST,0,EQUITY,2017-05-04
20,CHD,"Church & Dwight Co., Inc.",2017-02-07T00:00:00.000Z,TNS,0.42,0.44,3.77,EST,0,EQUITY,2017-02-07
21,CHD,"Church & Dwight Co., Inc.",2016-11-03T00:00:00.000Z,TNS,0.47,0.47,0.43,EST,0,EQUITY,2016-11-03
22,CHD,"Church & Dwight Co., Inc.",2016-08-04T00:00:00.000Z,TNS,0.4,0.43,7.05,EST,0,EQUITY,2016-08-04
23,CHD,"Church & Dwight Co., Inc.",2016-05-05T00:00:00.000Z,TNS,0.42,0.43,1.42,EST,0,EQUITY,2016-05-05
24,CHD,"Church & Dwight Co., Inc.",2016-02-02T00:00:00.000Z,TNS,0.41,0.41,0.74,EST,0,EQUITY,2016-02-02
25,CHD,"Church & Dwight Co., Inc.",2015-11-02T00:00:00.000Z,TNS,0.44,0.45,1.35,EST,0,EQUITY,2015-11-02
26,CHD,"Church & Dwight Co., Inc.",2015-08-04T00:00:00.000Z,TNS,0.35,0.37,4.29,EST,0,EQUITY,2015-08-04
27,CHD,"Church & Dwight Co., Inc.",2015-05-07T00:00:00.000Z,TNS,0.39,0.4,1.78,EST,0,EQUITY,2015-05-07
28,CHD,"Church & Dwight Co., Inc.",2015-02-03T00:00:00.000Z,TNS,0.4,0.39,-2.26,EST,0,EQUITY,2015-02-03
29,CHD,"Church & Dwight Co., Inc.",2014-11-03T00:00:00.000Z,TNS,0.41,0.43,3.91,EST,0,EQUITY,2014-11-03
30,CHD,"Church & Dwight Co., Inc.",2014-08-01T00:00:00.000Z,TNS,0.31,0.33,4.88,EST,0,EQUITY,2014-08-01
31,CHD,"Church & Dwight Co., Inc.",2014-05-01T00:00:00.000Z,TNS,0.36,0.37,0.65,EST,0,EQUITY,2014-05-01
32,CHD,"Church & Dwight Co., Inc.",2014-02-03T00:00:00.000Z,TNS,0.33,0.33,-2.0,EST,0,EQUITY,2014-02-03
33,CHD,"Church & Dwight Co., Inc.",2013-11-01T00:00:00.000Z,TNS,0.37,0.38,3.56,EST,0,EQUITY,2013-11-01
34,CHD,"Church & Dwight Co., Inc.",2013-08-02T00:00:00.000Z,TNS,0.3,0.31,2.44,EST,0,EQUITY,2013-08-02
35,CHD,"Church & Dwight Co., Inc.",2013-05-02T00:00:00.000Z,TNS,0.36,0.38,5.47,EST,0,EQUITY,2013-05-02
36,CHD,"Church & Dwight Co., Inc.",2013-02-05T00:00:00.000Z,TNS,0.28,0.29,2.51,EST,0,EQUITY,2013-02-05
37,CHD,"Church & Dwight Co., Inc.",2012-11-05T00:00:00.000Z,TNS,0.29,0.33,12.16,EST,0,EQUITY,2012-11-05
