,ticker,companyshortname,startdatetime,startdatetimetype,epsestimate,epsactual,epssurprisepct,timeZoneShortName,gmtOffsetMilliSeconds,quoteType,date
0,CHDN,Churchill Downs Inc,2021-10-27T16:13:55.000Z,TAS,1.47,1.57,6.8,EST,-18000000,EQUITY,2021-10-27
2,CHDN,Churchill Downs Incorporated,2021-07-28T00:00:00.000Z,TNS,2.59,2.76,6.56,EST,0,EQUITY,2021-07-28
3,CHDN,Churchill Downs Incorporated,2021-04-21T00:00:00.000Z,TNS,0.56,0.91,62.5,EST,0,EQUITY,2021-04-21
4,CHDN,Churchill Downs Incorporated,2021-02-24T00:00:00.000Z,TNS,0.27,0.19,-30.4,EST,0,EQUITY,2021-02-24
5,CHDN,Churchill Downs Incorporated,2020-10-28T00:00:00.000Z,TNS,0.74,1.19,59.95,EST,0,EQUITY,2020-10-28
6,CHDN,Churchill Downs Incorporated,2020-07-29T00:00:00.000Z,TNS,-0.55,-0.53,3.11,EST,0,EQUITY,2020-07-29
7,CHDN,Churchill Downs Incorporated,2020-04-29T00:00:00.000Z,TNS,0.16,0.05,-68.35,EST,0,EQUITY,2020-04-29
8,CHDN,Churchill Downs Incorporated,2020-02-26T00:00:00.000Z,TNS,-0.06,0.42,777.42,EST,0,EQUITY,2020-02-26
9,CHDN,Churchill Downs Incorporated,2019-10-30T00:00:00.000Z,TNS,0.51,0.55,7.0,EST,0,EQUITY,2019-10-30
10,CHDN,Churchill Downs Incorporated,2019-07-31T00:00:00.000Z,TNS,2.81,2.83,0.64,EST,0,EQUITY,2019-07-31
11,CHDN,Churchill Downs Incorporated,2019-04-24T00:00:00.000Z,TNS,0.4,0.63,58.69,EST,0,EQUITY,2019-04-24
12,CHDN,Churchill Downs Incorporated,2019-02-27T00:00:00.000Z,TNS,0.14,0.2,44.93,EST,0,EQUITY,2019-02-27
13,CHDN,Churchill Downs Incorporated,2018-10-31T00:00:00.000Z,TNS,0.49,0.35,-29.01,EST,0,EQUITY,2018-10-31
14,CHDN,Churchill Downs Incorporated,2018-08-01T00:00:00.000Z,TNS,2.48,2.52,1.78,EST,0,EQUITY,2018-08-01
15,CHDN,Churchill Downs Incorporated,2018-04-25T00:00:00.000Z,TNS,0.22,0.32,45.5,EST,0,EQUITY,2018-04-25
16,CHDN,Churchill Downs Incorporated,2018-02-28T00:00:00.000Z,TNS,0.19,0.19,2.7,EST,0,EQUITY,2018-02-28
17,CHDN,Churchill Downs Incorporated,2017-11-01T00:00:00.000Z,TNS,0.29,0.36,25.87,EST,0,EQUITY,2017-11-01
