,ticker,companyshortname,startdatetime,startdatetimetype,epsestimate,epsactual,epssurprisepct,timeZoneShortName,gmtOffsetMilliSeconds,quoteType,date
2,CHEF,Chefs' Warehouse Inc,2021-10-27T07:00:02.000Z,TAS,0.1,0.12,20.0,EST,-18000000,EQUITY,2021-10-27
4,CHEF,"The Chefs' Warehouse, Inc.",2021-07-28T00:00:00.000Z,TNS,-0.32,0.04,112.66,EST,0,EQUITY,2021-07-28
5,CHEF,"The Chefs' Warehouse, Inc.",2021-04-28T00:00:00.000Z,TNS,-0.42,-0.5,-17.92,EST,0,EQUITY,2021-04-28
6,CHEF,"The Chefs' Warehouse, Inc.",2021-02-10T00:00:00.000Z,TNS,-0.34,-0.52,-53.39,EST,0,EQUITY,2021-02-10
7,CHEF,"The Chefs' Warehouse, Inc.",2020-10-28T00:00:00.000Z,TNS,-0.32,-0.38,-19.12,EST,0,EQUITY,2020-10-28
8,CHEF,"The Chefs' Warehouse, Inc.",2020-07-29T00:00:00.000Z,TNS,-0.48,-0.52,-9.01,EST,0,EQUITY,2020-07-29
9,CHEF,"The Chefs' Warehouse, Inc.",2020-05-06T00:00:00.000Z,TNS,-0.2,-0.6,-203.03,EST,0,EQUITY,2020-05-06
10,CHEF,"The Chefs' Warehouse, Inc.",2020-02-12T00:00:00.000Z,TNS,0.38,0.39,1.83,EST,0,EQUITY,2020-02-12
11,CHEF,"The Chefs' Warehouse, Inc.",2019-10-30T00:00:00.000Z,TNS,0.25,0.23,-9.09,EST,0,EQUITY,2019-10-30
12,CHEF,"The Chefs' Warehouse, Inc.",2019-07-31T00:00:00.000Z,TNS,0.3,0.33,10.0,EST,0,EQUITY,2019-07-31
13,CHEF,"The Chefs' Warehouse, Inc.",2019-05-01T00:00:00.000Z,TNS,0.06,0.05,-9.09,EST,0,EQUITY,2019-05-01
14,CHEF,"The Chefs' Warehouse, Inc.",2019-02-13T00:00:00.000Z,TNS,0.32,0.32,-0.93,EST,0,EQUITY,2019-02-13
15,CHEF,"The Chefs' Warehouse, Inc.",2018-11-01T00:00:00.000Z,TNS,0.19,0.19,1.06,EST,0,EQUITY,2018-11-01
16,CHEF,"The Chefs' Warehouse, Inc.",2018-08-01T00:00:00.000Z,TNS,0.22,0.24,9.09,EST,0,EQUITY,2018-08-01
17,CHEF,"The Chefs' Warehouse, Inc.",2018-05-09T00:00:00.000Z,TNS,0.01,0.03,328.57,EST,0,EQUITY,2018-05-09
18,CHEF,"The Chefs' Warehouse, Inc.",2018-02-20T00:00:00.000Z,TNS,0.22,0.23,5.99,EST,0,EQUITY,2018-02-20
19,CHEF,"The Chefs' Warehouse, Inc.",2017-11-08T00:00:00.000Z,TNS,0.1,0.11,6.8,EST,0,EQUITY,2017-11-08
20,CHEF,"The Chefs' Warehouse, Inc.",2017-08-09T00:00:00.000Z,TNS,0.12,0.14,13.82,EST,0,EQUITY,2017-08-09
21,CHEF,"The Chefs' Warehouse, Inc.",2017-05-09T00:00:00.000Z,TNS,-0.05,-0.05,3.85,EST,0,EQUITY,2017-05-09
22,CHEF,"The Chefs' Warehouse, Inc.",2017-02-21T00:00:00.000Z,TNS,0.16,0.18,13.92,EST,0,EQUITY,2017-02-21
23,CHEF,"The Chefs' Warehouse, Inc.",2016-11-02T00:00:00.000Z,TNS,0.08,0.07,-15.66,EST,0,EQUITY,2016-11-02
24,CHEF,"The Chefs' Warehouse, Inc.",2016-08-02T00:00:00.000Z,TNS,0.22,0.15,-30.88,EST,0,EQUITY,2016-08-02
25,CHEF,"The Chefs' Warehouse, Inc.",2016-05-03T00:00:00.000Z,TNS,0.08,0.05,-37.5,EST,0,EQUITY,2016-05-03
26,CHEF,"The Chefs' Warehouse, Inc.",2016-02-18T00:00:00.000Z,TNS,0.25,0.26,6.12,EST,0,EQUITY,2016-02-18
27,CHEF,"The Chefs' Warehouse, Inc.",2015-11-03T00:00:00.000Z,TNS,0.18,0.21,18.64,EST,0,EQUITY,2015-11-03
