,ticker,companyshortname,startdatetime,startdatetimetype,epsestimate,epsactual,epssurprisepct,timeZoneShortName,gmtOffsetMilliSeconds,quoteType,date
0,CHNG,Change Healthcare Inc.,2021-11-03T00:00:00.000Z,TNS,0.32,0.35,9.72,EST,0,EQUITY,2021-11-03
1,CHNG,Change Healthcare Inc.,2021-08-04T00:00:00.000Z,TNS,0.44,0.41,-6.61,EST,0,EQUITY,2021-08-04
2,CHNG,Change Healthcare Inc.,2021-05-26T00:00:00.000Z,TNS,0.36,0.42,16.67,EST,0,EQUITY,2021-05-26
3,CHNG,Change Healthcare Inc.,2021-02-03T00:00:00.000Z,TNS,0.31,0.34,11.48,EST,0,EQUITY,2021-02-03
4,CHNG,Change Healthcare Inc.,2020-11-04T00:00:00.000Z,TNS,0.25,0.32,27.49,EST,0,EQUITY,2020-11-04
5,CHNG,Change Healthcare Inc.,2020-08-05T00:00:00.000Z,TNS,0.15,0.25,68.92,EST,0,EQUITY,2020-08-05
6,CHNG,Change Healthcare Inc.,2020-06-03T00:00:00.000Z,TNS,0.38,0.42,12.0,EST,0,EQUITY,2020-06-03
7,CHNG,Change Healthcare Inc.,2020-02-12T00:00:00.000Z,TNS,0.31,0.33,7.49,EST,0,EQUITY,2020-02-12
8,CHNG,Change Healthcare Inc.,2019-11-13T00:00:00.000Z,TNS,0.27,0.27,0.37,EST,0,EQUITY,2019-11-13
9,CHNG,Change Healthcare Inc.,2019-08-13T00:00:00.000Z,TNS,0.37,0.56,52.17,EST,0,EQUITY,2019-08-13
