,ticker,companyshortname,startdatetime,startdatetimetype,epsestimate,epsactual,epssurprisepct,timeZoneShortName,gmtOffsetMilliSeconds,quoteType,date
0,CHWY,"Chewy, Inc.",2021-12-09T00:00:00.000Z,TNS,-0.04,-0.08,-90.48,EST,0,EQUITY,2021-12-09
1,CHWY,"Chewy, Inc.",2021-09-01T00:00:00.000Z,TNS,-0.02,-0.04,-150.0,EST,0,EQUITY,2021-09-01
2,CHWY,"Chewy, Inc.",2021-06-10T00:00:00.000Z,TNS,-0.03,0.09,390.32,EST,0,EQUITY,2021-06-10
3,CHWY,"Chewy, Inc.",2021-03-30T00:00:00.000Z,TNS,-0.1,0.05,151.55,EST,0,EQUITY,2021-03-30
4,CHWY,"Chewy, Inc.",2020-12-08T00:00:00.000Z,TNS,-0.13,-0.08,39.39,EST,0,EQUITY,2020-12-08
5,CHWY,"Chewy, Inc.",2020-09-10T00:00:00.000Z,TNS,-0.16,-0.08,48.72,EST,0,EQUITY,2020-09-10
6,CHWY,"Chewy, Inc.",2020-06-09T00:00:00.000Z,TNS,-0.16,-0.12,24.53,EST,0,EQUITY,2020-06-09
7,CHWY,"Chewy, Inc.",2020-04-02T00:00:00.000Z,TNS,-0.17,-0.15,11.76,EST,0,EQUITY,2020-04-02
8,CHWY,"Chewy, Inc.",2019-12-09T00:00:00.000Z,TNS,-0.16,-0.2,-21.95,EST,0,EQUITY,2019-12-09
9,CHWY,"Chewy, Inc.",2019-09-17T00:00:00.000Z,TNS,-0.11,-0.21,-89.19,EST,0,EQUITY,2019-09-17
10,CHWY,"Chewy, Inc.",2019-07-19T00:00:00.000Z,TNS,,-0.08,,EST,0,EQUITY,2019-07-19
