,ticker,companyshortname,startdatetime,startdatetimetype,epsestimate,epsactual,epssurprisepct,timeZoneShortName,gmtOffsetMilliSeconds,quoteType,date
0,CMCSA,Comcast Corporation,2021-10-28T00:00:00.000Z,TNS,0.75,0.87,15.85,EST,0,EQUITY,2021-10-28
1,CMCSA,Comcast Corporation,2021-07-29T00:00:00.000Z,TNS,0.67,0.84,25.94,EST,0,EQUITY,2021-07-29
2,CMCSA,Comcast Corporation,2021-04-29T00:00:00.000Z,TNS,0.59,0.76,29.69,EST,0,EQUITY,2021-04-29
3,CMCSA,Comcast Corporation,2021-01-28T00:00:00.000Z,TNS,0.48,0.56,16.18,EST,0,EQUITY,2021-01-28
4,CMCSA,Comcast Corporation,2020-10-29T00:00:00.000Z,TNS,0.52,0.65,25.73,EST,0,EQUITY,2020-10-29
5,CMCSA,Comcast Corporation,2020-07-30T00:00:00.000Z,TNS,0.55,0.69,24.77,EST,0,EQUITY,2020-07-30
6,CMCSA,Comcast Corporation,2020-04-30T00:00:00.000Z,TNS,0.68,0.71,4.87,EST,0,EQUITY,2020-04-30
7,CMCSA,Comcast Corporation,2020-01-23T00:00:00.000Z,TNS,0.76,0.79,3.67,EST,0,EQUITY,2020-01-23
8,CMCSA,Comcast Corporation,2019-10-24T00:00:00.000Z,TNS,0.75,0.79,5.9,EST,0,EQUITY,2019-10-24
9,CMCSA,Comcast Corporation,2019-07-25T00:00:00.000Z,TNS,0.75,0.78,3.59,EST,0,EQUITY,2019-07-25
10,CMCSA,Comcast Corporation,2019-04-25T00:00:00.000Z,TNS,0.68,0.76,11.76,EST,0,EQUITY,2019-04-25
11,CMCSA,Comcast Corporation,2019-01-23T00:00:00.000Z,TNS,0.62,0.64,2.56,EST,0,EQUITY,2019-01-23
12,CMCSA,Comcast Corporation,2018-10-25T00:00:00.000Z,TNS,0.61,0.65,7.44,EST,0,EQUITY,2018-10-25
13,CMCSA,Comcast Corporation,2018-07-26T00:00:00.000Z,TNS,0.6,0.65,7.79,EST,0,EQUITY,2018-07-26
14,CMCSA,Comcast Corporation,2018-04-25T00:00:00.000Z,TNS,0.59,0.62,5.62,EST,0,EQUITY,2018-04-25
15,CMCSA,Comcast Corporation,2018-01-24T00:00:00.000Z,TNS,0.47,0.49,4.7,EST,0,EQUITY,2018-01-24
16,CMCSA,Comcast Corporation,2017-10-26T00:00:00.000Z,TNS,0.5,0.52,4.84,EST,0,EQUITY,2017-10-26
17,CMCSA,Comcast Corporation,2017-07-27T00:00:00.000Z,TNS,0.48,0.52,7.44,EST,0,EQUITY,2017-07-27
18,CMCSA,Comcast Corporation,2017-04-27T00:00:00.000Z,TNS,0.45,0.53,19.1,EST,0,EQUITY,2017-04-27
19,CMCSA,Comcast Corporation,2017-01-26T00:00:00.000Z,TNS,0.43,0.45,2.77,EST,0,EQUITY,2017-01-26
20,CMCSA,Comcast Corporation,2016-10-26T00:00:00.000Z,TNS,0.46,0.46,0.88,EST,0,EQUITY,2016-10-26
21,CMCSA,Comcast Corporation,2016-07-27T00:00:00.000Z,TNS,0.4,0.42,2.98,EST,0,EQUITY,2016-07-27
22,CMCSA,Comcast Corporation,2016-04-27T00:00:00.000Z,TNS,0.4,0.44,9.85,EST,0,EQUITY,2016-04-27
23,CMCSA,Comcast Corporation,2016-02-03T00:00:00.000Z,TNS,0.41,0.4,-3.19,EST,0,EQUITY,2016-02-03
24,CMCSA,Comcast Corporation,2015-10-27T00:00:00.000Z,TNS,0.4,0.4,0.0,EST,0,EQUITY,2015-10-27
25,CMCSA,Comcast Corporation,2015-07-23T00:00:00.000Z,TNS,0.42,0.42,-0.24,EST,0,EQUITY,2015-07-23
