,ticker,companyshortname,startdatetime,startdatetimetype,epsestimate,epsactual,epssurprisepct,timeZoneShortName,gmtOffsetMilliSeconds,quoteType,date
2,CMI,Cummins Inc,2021-11-02T07:30:00.000Z,TAS,3.91,3.69,-5.63,EST,-18000000,EQUITY,2021-11-02
4,CMI,Cummins Inc.,2021-08-03T00:00:00.000Z,TNS,4.05,4.1,1.26,EST,0,EQUITY,2021-08-03
5,CMI,Cummins Inc.,2021-05-04T00:00:00.000Z,TNS,3.47,4.07,17.29,EST,0,EQUITY,2021-05-04
6,CMI,Cummins Inc.,2021-02-04T00:00:00.000Z,TNS,2.8,3.36,20.09,EST,0,EQUITY,2021-02-04
7,CMI,Cummins Inc.,2020-10-27T00:00:00.000Z,TNS,2.43,3.57,47.03,EST,0,EQUITY,2020-10-27
8,CMI,Cummins Inc.,2020-07-28T00:00:00.000Z,TNS,0.93,1.95,110.58,EST,0,EQUITY,2020-07-28
9,CMI,Cummins Inc.,2020-04-28T00:00:00.000Z,TNS,2.17,3.18,46.88,EST,0,EQUITY,2020-04-28
10,CMI,Cummins Inc.,2020-02-04T00:00:00.000Z,TNS,2.42,2.56,5.7,EST,0,EQUITY,2020-02-04
11,CMI,Cummins Inc.,2019-10-29T00:00:00.000Z,TNS,3.83,3.83,0.08,EST,0,EQUITY,2019-10-29
12,CMI,Cummins Inc.,2019-07-30T00:00:00.000Z,TNS,4.41,4.27,-3.06,EST,0,EQUITY,2019-07-30
13,CMI,Cummins Inc.,2019-04-30T00:00:00.000Z,TNS,3.57,4.2,17.78,EST,0,EQUITY,2019-04-30
14,CMI,Cummins Inc.,2019-02-06T00:00:00.000Z,TNS,3.81,3.48,-8.59,EST,0,EQUITY,2019-02-06
15,CMI,Cummins Inc.,2018-10-30T00:00:00.000Z,TNS,3.76,4.05,7.83,EST,0,EQUITY,2018-10-30
16,CMI,Cummins Inc.,2018-07-31T00:00:00.000Z,TNS,3.63,3.29,-9.42,EST,0,EQUITY,2018-07-31
17,CMI,Cummins Inc.,2018-05-01T00:00:00.000Z,TNS,2.93,2.43,-17.04,EST,0,EQUITY,2018-05-01
18,CMI,Cummins Inc.,2018-02-06T00:00:00.000Z,TNS,2.67,3.03,13.31,EST,0,EQUITY,2018-02-06
19,CMI,Cummins Inc.,2017-10-31T00:00:00.000Z,TNS,2.46,2.71,10.34,EST,0,EQUITY,2017-10-31
20,CMI,Cummins Inc.,2017-08-01T00:00:00.000Z,TNS,2.58,2.53,-1.82,EST,0,EQUITY,2017-08-01
21,CMI,Cummins Inc.,2017-05-02T00:00:00.000Z,TNS,1.81,2.36,30.53,EST,0,EQUITY,2017-05-02
22,CMI,Cummins Inc.,2017-02-09T00:00:00.000Z,TNS,1.99,2.25,13.07,EST,0,EQUITY,2017-02-09
