,ticker,companyshortname,startdatetime,startdatetimetype,epsestimate,epsactual,epssurprisepct,timeZoneShortName,gmtOffsetMilliSeconds,quoteType,date
0,COOP,Mr. Cooper Group Inc.,2021-10-28T00:00:00.000Z,TNS,1.85,2.42,30.74,EST,0,EQUITY,2021-10-28
1,COOP,Mr. Cooper Group Inc.,2021-07-29T00:00:00.000Z,TNS,1.56,1.92,22.76,EST,0,EQUITY,2021-07-29
2,COOP,Mr. Cooper Group Inc.,2021-04-29T00:00:00.000Z,TNS,2.36,2.93,24.21,EST,0,EQUITY,2021-04-29
3,COOP,Mr. Cooper Group Inc.,2021-02-23T00:00:00.000Z,TNS,2.38,2.63,10.37,EST,0,EQUITY,2021-02-23
4,COOP,Mr. Cooper Group Inc.,2020-10-29T00:00:00.000Z,TNS,2.78,2.78,-0.04,EST,0,EQUITY,2020-10-29
5,COOP,Mr. Cooper Group Inc.,2020-07-30T00:00:00.000Z,TNS,1.55,2.84,83.58,EST,0,EQUITY,2020-07-30
6,COOP,Mr. Cooper Group Inc.,2020-04-30T00:00:00.000Z,TNS,1.02,1.05,2.84,EST,0,EQUITY,2020-04-30
7,COOP,Mr. Cooper Group Inc.,2020-02-25T00:00:00.000Z,TNS,0.77,1.03,34.46,EST,0,EQUITY,2020-02-25
8,COOP,Mr. Cooper Group Inc.,2019-10-31T00:00:00.000Z,TNS,0.8,1.41,75.81,EST,0,EQUITY,2019-10-31
9,COOP,Mr. Cooper Group Inc.,2019-08-01T00:00:00.000Z,TNS,0.34,0.98,189.94,EST,0,EQUITY,2019-08-01
10,COOP,Mr. Cooper Group Inc.,2019-05-01T00:00:00.000Z,TNS,0.36,0.4,12.36,EST,0,EQUITY,2019-05-01
11,COOP,Mr. Cooper Group Inc.,2019-03-07T00:00:00.000Z,TNS,0.55,0.82,50.46,EST,0,EQUITY,2019-03-07
12,COOP,Mr. Cooper Group Inc.,2018-11-08T00:00:00.000Z,TNS,0.54,0.58,7.81,EST,0,EQUITY,2018-11-08
