,ticker,companyshortname,startdatetime,startdatetimetype,epsestimate,epsactual,epssurprisepct,timeZoneShortName,gmtOffsetMilliSeconds,quoteType,date
3,CQP,"Cheniere Energy Partners, L.P.",2021-11-04T00:00:00.000Z,TNS,0.68,0.69,1.17,EST,0,EQUITY,2021-11-04
4,CQP,"Cheniere Energy Partners, L.P.",2021-08-05T00:00:00.000Z,TNS,0.61,0.73,19.48,EST,0,EQUITY,2021-08-05
5,CQP,"Cheniere Energy Partners, L.P.",2021-05-04T00:00:00.000Z,TNS,0.64,0.64,-0.31,EST,0,EQUITY,2021-05-04
6,CQP,"Cheniere Energy Partners, L.P.",2021-02-24T00:00:00.000Z,TNS,0.69,0.77,11.27,EST,0,EQUITY,2021-02-24
7,CQP,"Cheniere Energy Partners, L.P.",2020-11-06T00:00:00.000Z,TNS,0.34,-0.08,-123.88,EST,0,EQUITY,2020-11-06
8,CQP,"Cheniere Energy Partners, L.P.",2020-08-06T00:00:00.000Z,TNS,0.64,0.78,22.07,EST,0,EQUITY,2020-08-06
9,CQP,"Cheniere Energy Partners, L.P.",2020-04-30T00:00:00.000Z,TNS,0.68,0.84,23.53,EST,0,EQUITY,2020-04-30
10,CQP,"Cheniere Energy Partners, L.P.",2020-02-25T00:00:00.000Z,TNS,0.75,0.87,16.62,EST,0,EQUITY,2020-02-25
11,CQP,"Cheniere Energy Partners, L.P.",2019-11-01T00:00:00.000Z,TNS,0.53,0.19,-64.22,EST,0,EQUITY,2019-11-01
12,CQP,"Cheniere Energy Partners, L.P.",2019-08-08T00:00:00.000Z,TNS,0.55,0.44,-19.71,EST,0,EQUITY,2019-08-08
13,CQP,"Cheniere Energy Partners, L.P.",2019-05-09T00:00:00.000Z,TNS,0.56,0.75,33.69,EST,0,EQUITY,2019-05-09
14,CQP,"Cheniere Energy Partners, L.P.",2019-02-26T00:00:00.000Z,TNS,0.59,0.69,17.75,EST,0,EQUITY,2019-02-26
15,CQP,"Cheniere Energy Partners, L.P.",2018-11-08T00:00:00.000Z,TNS,0.57,0.64,12.68,EST,0,EQUITY,2018-11-08
16,CQP,"Cheniere Energy Partners, L.P.",2018-08-09T00:00:00.000Z,TNS,0.55,0.55,0.92,EST,0,EQUITY,2018-08-09
17,CQP,"Cheniere Energy Partners, L.P.",2018-05-04T00:00:00.000Z,TNS,0.52,0.67,29.59,EST,0,EQUITY,2018-05-04
18,CQP,"Cheniere Energy Partners, L.P.",2018-02-21T00:00:00.000Z,TNS,0.47,0.76,61.36,EST,0,EQUITY,2018-02-21
19,CQP,"Cheniere Energy Partners, L.P.",2017-11-09T00:00:00.000Z,TNS,0.56,-1.1,-295.38,EST,0,EQUITY,2017-11-09
20,CQP,"Cheniere Energy Partners, L.P.",2017-08-08T00:00:00.000Z,TNS,1.08,-3.71,-442.25,EST,0,EQUITY,2017-08-08
21,CQP,"Cheniere Energy Partners, L.P.",2017-05-04T00:00:00.000Z,TNS,1.44,-0.8,-155.4,EST,0,EQUITY,2017-05-04
22,CQP,"Cheniere Energy Partners, L.P.",2017-02-24T00:00:00.000Z,TNS,0.15,0.07,-54.25,EST,0,EQUITY,2017-02-24
23,CQP,"Cheniere Energy Partners, L.P.",2016-11-03T00:00:00.000Z,TNS,-0.07,-0.27,-309.09,EST,0,EQUITY,2016-11-03
24,CQP,"Cheniere Energy Partners, L.P.",2016-08-09T00:00:00.000Z,TNS,-0.38,-0.21,44.74,EST,0,EQUITY,2016-08-09
25,CQP,"Cheniere Energy Partners, L.P.",2016-05-05T00:00:00.000Z,TNS,-0.51,-0.08,84.38,EST,0,EQUITY,2016-05-05
26,CQP,"Cheniere Energy Partners, L.P.",2016-02-19T00:00:00.000Z,TNS,-0.11,0.01,108.7,EST,0,EQUITY,2016-02-19
27,CQP,"Cheniere Energy Partners, L.P.",2015-10-30T00:00:00.000Z,TNS,-0.12,0.18,253.85,EST,0,EQUITY,2015-10-30
28,CQP,"Cheniere Energy Partners, L.P.",2015-07-30T00:00:00.000Z,TNS,-0.44,-0.01,97.72,EST,0,EQUITY,2015-07-30
29,CQP,"Cheniere Energy Partners, L.P.",2015-04-30T00:00:00.000Z,TNS,-0.23,-0.61,-160.68,EST,0,EQUITY,2015-04-30
30,CQP,"Cheniere Energy Partners, L.P.",2015-02-20T00:00:00.000Z,TNS,-0.38,0.45,218.11,EST,0,EQUITY,2015-02-20
31,CQP,"Cheniere Energy Partners, L.P.",2014-10-30T00:00:00.000Z,TNS,-0.41,0.01,102.41,EST,0,EQUITY,2014-10-30
32,CQP,"Cheniere Energy Partners, L.P.",2014-02-21T00:00:00.000Z,TNS,-0.81,0.45,155.35,EST,0,EQUITY,2014-02-21
