,ticker,companyshortname,startdatetime,startdatetimetype,epsestimate,epsactual,epssurprisepct,timeZoneShortName,gmtOffsetMilliSeconds,quoteType,date
0,CRL,Charles River Laboratories International Inc,2021-11-03T12:30:00.000Z,BMO,2.58,2.7,4.65,EST,-18000000,EQUITY,2021-11-03
2,CRL,"Charles River Laboratories International, Inc.",2021-08-04T00:00:00.000Z,TNS,2.38,2.61,9.66,EST,0,EQUITY,2021-08-04
3,CRL,"Charles River Laboratories International, Inc.",2021-05-04T00:00:00.000Z,TNS,2.19,2.53,15.42,EST,0,EQUITY,2021-05-04
4,CRL,"Charles River Laboratories International, Inc.",2021-02-17T00:00:00.000Z,TNS,2.11,2.39,13.54,EST,0,EQUITY,2021-02-17
5,CRL,"Charles River Laboratories International, Inc.",2020-10-29T00:00:00.000Z,TNS,1.8,2.33,29.52,EST,0,EQUITY,2020-10-29
6,CRL,"Charles River Laboratories International, Inc.",2020-08-05T00:00:00.000Z,TNS,1.26,1.58,25.0,EST,0,EQUITY,2020-08-05
7,CRL,"Charles River Laboratories International, Inc.",2020-05-07T00:00:00.000Z,TNS,1.48,1.84,24.16,EST,0,EQUITY,2020-05-07
8,CRL,"Charles River Laboratories International, Inc.",2020-02-11T00:00:00.000Z,TNS,1.84,2.01,9.54,EST,0,EQUITY,2020-02-11
9,CRL,"Charles River Laboratories International, Inc.",2019-11-06T00:00:00.000Z,TNS,1.63,1.69,3.55,EST,0,EQUITY,2019-11-06
10,CRL,"Charles River Laboratories International, Inc.",2019-07-31T00:00:00.000Z,TNS,1.55,1.63,4.96,EST,0,EQUITY,2019-07-31
11,CRL,"Charles River Laboratories International, Inc.",2019-05-07T00:00:00.000Z,TNS,1.38,1.4,1.3,EST,0,EQUITY,2019-05-07
12,CRL,"Charles River Laboratories International, Inc.",2019-02-13T00:00:00.000Z,TNS,1.4,1.49,6.73,EST,0,EQUITY,2019-02-13
13,CRL,"Charles River Laboratories International, Inc.",2018-11-07T00:00:00.000Z,TNS,1.38,1.53,10.63,EST,0,EQUITY,2018-11-07
14,CRL,"Charles River Laboratories International, Inc.",2018-08-08T00:00:00.000Z,TNS,1.46,1.62,10.81,EST,0,EQUITY,2018-08-08
15,CRL,"Charles River Laboratories International, Inc.",2018-05-10T00:00:00.000Z,TNS,1.26,1.38,9.26,EST,0,EQUITY,2018-05-10
16,CRL,"Charles River Laboratories International, Inc.",2018-02-13T00:00:00.000Z,TNS,1.25,1.4,11.73,EST,0,EQUITY,2018-02-13
