,ticker,companyshortname,startdatetime,startdatetimetype,epsestimate,epsactual,epssurprisepct,timeZoneShortName,gmtOffsetMilliSeconds,quoteType,date
0,CSL,Carlisle Companies Inc,2021-10-21T16:05:01.000Z,TAS,2.75,2.99,8.73,EST,-18000000,EQUITY,2021-10-21
2,CSL,Carlisle Companies Incorporated,2021-07-22T00:00:00.000Z,TNS,2.12,2.16,1.98,EST,0,EQUITY,2021-07-22
3,CSL,Carlisle Companies Incorporated,2021-04-22T00:00:00.000Z,TNS,0.69,1.47,113.04,EST,0,EQUITY,2021-04-22
4,CSL,Carlisle Companies Incorporated,2021-02-04T00:00:00.000Z,TNS,1.16,1.57,35.58,EST,0,EQUITY,2021-02-04
5,CSL,Carlisle Companies Incorporated,2020-10-20T00:00:00.000Z,TNS,1.68,1.87,11.64,EST,0,EQUITY,2020-10-20
6,CSL,Carlisle Companies Incorporated,2020-07-21T00:00:00.000Z,TNS,1.1,1.36,23.75,EST,0,EQUITY,2020-07-21
7,CSL,Carlisle Companies Incorporated,2020-04-21T00:00:00.000Z,TNS,1.01,1.09,8.03,EST,0,EQUITY,2020-04-21
8,CSL,Carlisle Companies Incorporated,2020-02-06T00:00:00.000Z,TNS,1.62,1.81,11.87,EST,0,EQUITY,2020-02-06
9,CSL,Carlisle Companies Incorporated,2019-10-22T00:00:00.000Z,TNS,2.29,2.42,5.58,EST,0,EQUITY,2019-10-22
10,CSL,Carlisle Companies Incorporated,2019-07-23T00:00:00.000Z,TNS,2.35,2.65,12.91,EST,0,EQUITY,2019-07-23
11,CSL,Carlisle Companies Incorporated,2019-04-23T00:00:00.000Z,TNS,1.1,1.33,20.91,EST,0,EQUITY,2019-04-23
12,CSL,Carlisle Companies Incorporated,2019-02-07T00:00:00.000Z,TNS,1.23,1.49,20.84,EST,0,EQUITY,2019-02-07
13,CSL,Carlisle Companies Incorporated,2018-10-23T00:00:00.000Z,TNS,1.71,1.59,-7.13,EST,0,EQUITY,2018-10-23
14,CSL,Carlisle Companies Incorporated,2018-07-24T00:00:00.000Z,TNS,1.62,1.87,15.15,EST,0,EQUITY,2018-07-24
15,CSL,Carlisle Companies Incorporated,2018-04-24T00:00:00.000Z,TNS,0.91,0.92,1.32,EST,0,EQUITY,2018-04-24
16,CSL,Carlisle Companies Incorporated,2018-02-08T00:00:00.000Z,TNS,0.97,0.98,0.93,EST,0,EQUITY,2018-02-08
17,CSL,Carlisle Companies Incorporated,2017-10-24T00:00:00.000Z,TNS,1.35,1.37,1.86,EST,0,EQUITY,2017-10-24
18,CSL,Carlisle Companies Incorporated,2017-07-25T00:00:00.000Z,TNS,1.61,1.58,-1.62,EST,0,EQUITY,2017-07-25
19,CSL,Carlisle Companies Incorporated,2017-04-27T00:00:00.000Z,TNS,1.03,0.94,-8.38,EST,0,EQUITY,2017-04-27
20,CSL,Carlisle Companies Incorporated,2017-02-09T00:00:00.000Z,TNS,1.29,1.32,2.25,EST,0,EQUITY,2017-02-09
21,CSL,Carlisle Companies Incorporated,2016-10-25T00:00:00.000Z,TNS,1.69,1.74,3.2,EST,0,EQUITY,2016-10-25
22,CSL,Carlisle Companies Incorporated,2016-07-26T00:00:00.000Z,TNS,1.63,1.75,7.16,EST,0,EQUITY,2016-07-26
23,CSL,Carlisle Companies Incorporated,2016-04-27T00:00:00.000Z,TNS,0.82,1.06,29.27,EST,0,EQUITY,2016-04-27
24,CSL,Carlisle Companies Incorporated,2016-02-04T00:00:00.000Z,TNS,1.11,1.24,11.41,EST,0,EQUITY,2016-02-04
25,CSL,Carlisle Companies Incorporated,2015-10-21T00:00:00.000Z,TNS,1.62,1.56,-3.53,EST,0,EQUITY,2015-10-21
26,CSL,Carlisle Companies Incorporated,2015-07-23T00:00:00.000Z,TNS,1.4,1.43,1.85,EST,0,EQUITY,2015-07-23
27,CSL,Carlisle Companies Incorporated,2015-04-23T00:00:00.000Z,TNS,0.58,0.59,2.08,EST,0,EQUITY,2015-04-23
28,CSL,Carlisle Companies Incorporated,2015-02-05T00:00:00.000Z,TNS,0.75,0.81,7.86,EST,0,EQUITY,2015-02-05
29,CSL,Carlisle Companies Incorporated,2014-10-21T00:00:00.000Z,TNS,1.21,1.31,8.18,EST,0,EQUITY,2014-10-21
30,CSL,Carlisle Companies Incorporated,2014-07-22T00:00:00.000Z,TNS,1.18,1.15,-2.54,EST,0,EQUITY,2014-07-22
31,CSL,Carlisle Companies Incorporated,2014-04-22T00:00:00.000Z,TNS,0.51,0.56,9.57,EST,0,EQUITY,2014-04-22
32,CSL,Carlisle Companies Incorporated,2014-02-06T00:00:00.000Z,TNS,0.87,0.92,5.75,EST,0,EQUITY,2014-02-06
33,CSL,Carlisle Companies Incorporated,2013-10-22T00:00:00.000Z,TNS,1.2,1.18,-2.02,EST,0,EQUITY,2013-10-22
34,CSL,Carlisle Companies Incorporated,2013-07-23T00:00:00.000Z,TNS,1.34,1.14,-14.93,EST,0,EQUITY,2013-07-23
35,CSL,Carlisle Companies Incorporated,2013-04-24T00:00:00.000Z,TNS,0.84,0.85,0.85,EST,0,EQUITY,2013-04-24
36,CSL,Carlisle Companies Incorporated,2013-02-08T00:00:00.000Z,TNS,0.78,0.82,5.13,EST,0,EQUITY,2013-02-08
37,CSL,Carlisle Companies Incorporated,2012-10-23T00:00:00.000Z,TNS,1.18,1.08,-8.47,EST,0,EQUITY,2012-10-23
38,CSL,Carlisle Companies Incorporated,2012-07-24T00:00:00.000Z,TNS,1.25,1.39,11.05,EST,0,EQUITY,2012-07-24
39,CSL,Carlisle Companies Incorporated,2012-04-24T00:00:00.000Z,TNS,0.61,0.94,53.68,EST,0,EQUITY,2012-04-24
40,CSL,Carlisle Companies Incorporated,2012-02-02T00:00:00.000Z,TNS,0.63,0.63,-0.26,EST,0,EQUITY,2012-02-02
41,CSL,Carlisle Companies Incorporated,2011-10-25T00:00:00.000Z,TNS,0.82,0.89,8.73,EST,0,EQUITY,2011-10-25
42,CSL,Carlisle Companies Incorporated,2011-07-26T00:00:00.000Z,TNS,0.91,0.87,-4.04,EST,0,EQUITY,2011-07-26
43,CSL,Carlisle Companies Incorporated,2011-04-26T00:00:00.000Z,TNS,0.45,0.53,19.1,EST,0,EQUITY,2011-04-26
44,CSL,Carlisle Companies Incorporated,2011-02-07T00:00:00.000Z,TNS,0.46,0.51,10.47,EST,0,EQUITY,2011-02-07
45,CSL,Carlisle Companies Incorporated,2010-10-26T00:00:00.000Z,TNS,0.68,0.75,10.62,EST,0,EQUITY,2010-10-26
46,CSL,Carlisle Companies Incorporated,2010-07-27T00:00:00.000Z,TNS,0.65,0.66,1.85,EST,0,EQUITY,2010-07-27
47,CSL,Carlisle Companies Incorporated,2010-04-27T00:00:00.000Z,TNS,0.26,0.39,48.1,EST,0,EQUITY,2010-04-27
48,CSL,Carlisle Companies Incorporated,2010-02-03T00:00:00.000Z,TNS,0.31,0.85,174.19,EST,0,EQUITY,2010-02-03
49,CSL,Carlisle Companies Incorporated,2009-10-20T00:00:00.000Z,TNS,0.68,0.73,7.88,EST,0,EQUITY,2009-10-20
50,CSL,Carlisle Companies Incorporated,2009-07-22T00:00:00.000Z,TNS,0.45,0.66,45.59,EST,0,EQUITY,2009-07-22
51,CSL,Carlisle Companies Incorporated,2009-04-21T00:00:00.000Z,TNS,0.16,0.16,-2.04,EST,0,EQUITY,2009-04-21
52,CSL,Carlisle Companies Incorporated,2009-02-05T00:00:00.000Z,TNS,0.28,0.23,-18.58,EST,0,EQUITY,2009-02-05
53,CSL,Carlisle Companies Incorporated,2008-10-21T00:00:00.000Z,TNS,0.88,0.83,-5.14,EST,0,EQUITY,2008-10-21
54,CSL,Carlisle Companies Incorporated,2008-07-22T00:00:00.000Z,TNS,0.8,0.93,16.61,EST,0,EQUITY,2008-07-22
55,CSL,Carlisle Companies Incorporated,2008-04-22T00:00:00.000Z,TNS,0.56,0.45,-18.92,EST,0,EQUITY,2008-04-22
56,CSL,Carlisle Companies Incorporated,2008-02-11T00:00:00.000Z,TNS,0.53,0.66,23.94,EST,0,EQUITY,2008-02-11
57,CSL,Carlisle Companies Incorporated,2007-10-24T00:00:00.000Z,TNS,0.87,0.84,-2.89,EST,0,EQUITY,2007-10-24
58,CSL,Carlisle Companies Incorporated,2007-07-25T00:00:00.000Z,TNS,0.92,0.89,-3.61,EST,0,EQUITY,2007-07-25
59,CSL,Carlisle Companies Incorporated,2007-04-24T00:00:00.000Z,TNS,0.67,0.54,-18.95,EST,0,EQUITY,2007-04-24
60,CSL,Carlisle Companies Incorporated,2007-02-08T00:00:00.000Z,TNS,0.55,0.56,1.14,EST,0,EQUITY,2007-02-08
61,CSL,Carlisle Companies Incorporated,2006-10-24T00:00:00.000Z,TNS,0.69,0.7,0.54,EST,0,EQUITY,2006-10-24
62,CSL,Carlisle Companies Incorporated,2006-07-25T00:00:00.000Z,TNS,0.78,0.88,12.82,EST,0,EQUITY,2006-07-25
63,CSL,Carlisle Companies Incorporated,2006-04-25T00:00:00.000Z,TNS,0.51,0.58,14.85,EST,0,EQUITY,2006-04-25
