,ticker,companyshortname,startdatetime,startdatetimetype,epsestimate,epsactual,epssurprisepct,timeZoneShortName,gmtOffsetMilliSeconds,quoteType,date
2,CTAS,Cintas Corporation,2021-12-22T00:00:00.000Z,TNS,2.65,2.76,4.15,EST,0,EQUITY,2021-12-22
3,CTAS,Cintas Corporation,2021-09-29T00:00:00.000Z,TNS,2.75,3.11,13.17,EST,0,EQUITY,2021-09-29
4,CTAS,Cintas Corporation,2021-07-15T00:00:00.000Z,TNS,2.3,2.47,7.44,EST,0,EQUITY,2021-07-15
5,CTAS,Cintas Corporation,2021-03-17T00:00:00.000Z,TNS,2.22,2.37,7.0,EST,0,EQUITY,2021-03-17
6,CTAS,Cintas Corporation,2020-12-22T00:00:00.000Z,TNS,2.19,2.62,19.91,EST,0,EQUITY,2020-12-22
7,CTAS,Cintas Corporation,2020-09-23T00:00:00.000Z,TNS,2.13,2.78,30.52,EST,0,EQUITY,2020-09-23
8,CTAS,Cintas Corporation,2020-07-23T00:00:00.000Z,TNS,1.21,1.35,11.39,EST,0,EQUITY,2020-07-23
9,CTAS,Cintas Corporation,2020-03-19T00:00:00.000Z,TNS,2.02,2.16,7.14,EST,0,EQUITY,2020-03-19
10,CTAS,Cintas Corporation,2019-12-17T00:00:00.000Z,TNS,2.03,2.27,11.82,EST,0,EQUITY,2019-12-17
11,CTAS,Cintas Corporation,2019-09-24T00:00:00.000Z,TNS,2.15,2.32,7.71,EST,0,EQUITY,2019-09-24
12,CTAS,Cintas Corporation,2019-07-16T00:00:00.000Z,TNS,1.93,2.07,7.14,EST,0,EQUITY,2019-07-16
13,CTAS,Cintas Corporation,2019-03-21T00:00:00.000Z,TNS,1.71,1.84,7.35,EST,0,EQUITY,2019-03-21
14,CTAS,Cintas Corporation,2018-12-20T00:00:00.000Z,TNS,1.7,1.76,3.47,EST,0,EQUITY,2018-12-20
15,CTAS,Cintas Corporation,2018-09-25T00:00:00.000Z,TNS,1.81,1.93,6.75,EST,0,EQUITY,2018-09-25
16,CTAS,Cintas Corporation,2018-07-19T00:00:00.000Z,TNS,1.67,1.77,6.18,EST,0,EQUITY,2018-07-19
17,CTAS,Cintas Corporation,2018-03-22T00:00:00.000Z,TNS,1.27,1.37,7.96,EST,0,EQUITY,2018-03-22
18,CTAS,Cintas Corporation,2017-12-21T00:00:00.000Z,TNS,1.27,1.31,3.48,EST,0,EQUITY,2017-12-21
19,CTAS,Cintas Corporation,2017-09-26T00:00:00.000Z,TNS,1.3,1.48,13.76,EST,0,EQUITY,2017-09-26
20,CTAS,Cintas Corporation,2017-07-20T00:00:00.000Z,TNS,1.1,0.75,-31.57,EST,0,EQUITY,2017-07-20
21,CTAS,Cintas Corporation,2017-03-22T00:00:00.000Z,TNS,1.07,1.08,1.12,EST,0,EQUITY,2017-03-22
22,CTAS,Cintas Corporation,2016-12-22T00:00:00.000Z,TNS,1.15,1.13,-2.08,EST,0,EQUITY,2016-12-22
23,CTAS,Cintas Corporation,2016-09-27T00:00:00.000Z,TNS,1.09,1.26,16.13,EST,0,EQUITY,2016-09-27
24,CTAS,Cintas Corporation,2016-07-19T00:00:00.000Z,TNS,1.0,1.08,7.57,EST,0,EQUITY,2016-07-19
25,CTAS,Cintas Corporation,2016-03-22T00:00:00.000Z,TNS,0.95,1.05,10.76,EST,0,EQUITY,2016-03-22
26,CTAS,Cintas Corporation,2015-12-21T00:00:00.000Z,TNS,1.0,1.03,3.41,EST,0,EQUITY,2015-12-21
27,CTAS,Cintas Corporation,2015-09-24T00:00:00.000Z,TNS,0.91,0.93,2.76,EST,0,EQUITY,2015-09-24
28,CTAS,Cintas Corporation,2015-07-16T00:00:00.000Z,TNS,0.85,0.86,1.65,EST,0,EQUITY,2015-07-16
29,CTAS,Cintas Corporation,2015-03-18T00:00:00.000Z,TNS,0.79,0.85,7.73,EST,0,EQUITY,2015-03-18
30,CTAS,Cintas Corporation,2014-12-18T00:00:00.000Z,TNS,0.78,0.86,10.82,EST,0,EQUITY,2014-12-18
31,CTAS,Cintas Corporation,2014-09-29T00:00:00.000Z,TNS,0.75,0.78,3.59,EST,0,EQUITY,2014-09-29
32,CTAS,Cintas Corporation,2014-07-15T00:00:00.000Z,TNS,0.75,0.76,1.27,EST,0,EQUITY,2014-07-15
33,CTAS,Cintas Corporation,2014-03-19T00:00:00.000Z,TNS,0.69,0.69,-0.62,EST,0,EQUITY,2014-03-19
34,CTAS,Cintas Corporation,2013-12-19T00:00:00.000Z,TNS,0.68,0.7,2.39,EST,0,EQUITY,2013-12-19
35,CTAS,Cintas Corporation,2013-09-19T00:00:00.000Z,TNS,0.63,0.63,-0.13,EST,0,EQUITY,2013-09-19
36,CTAS,Cintas Corporation,2013-07-15T00:00:00.000Z,TNS,0.7,0.69,-1.33,EST,0,EQUITY,2013-07-15
37,CTAS,Cintas Corporation,2013-03-19T00:00:00.000Z,TNS,0.62,0.6,-2.5,EST,0,EQUITY,2013-03-19
38,CTAS,Cintas Corporation,2012-12-20T00:00:00.000Z,TNS,0.62,0.63,0.99,EST,0,EQUITY,2012-12-20
39,CTAS,Cintas Corporation,2012-09-20T00:00:00.000Z,TNS,0.59,0.6,2.5,EST,0,EQUITY,2012-09-20
40,CTAS,Cintas Corporation,2012-07-16T00:00:00.000Z,TNS,0.6,0.6,0.48,EST,0,EQUITY,2012-07-16
41,CTAS,Cintas Corporation,2012-03-20T00:00:00.000Z,TNS,0.52,0.58,12.0,EST,0,EQUITY,2012-03-20
42,CTAS,Cintas Corporation,2011-12-20T00:00:00.000Z,TNS,0.48,0.57,19.64,EST,0,EQUITY,2011-12-20
43,CTAS,Cintas Corporation,2011-09-22T00:00:00.000Z,TNS,0.47,0.52,9.74,EST,0,EQUITY,2011-09-22
44,CTAS,Cintas Corporation,2011-07-19T00:00:00.000Z,TNS,0.43,0.49,12.94,EST,0,EQUITY,2011-07-19
45,CTAS,Cintas Corporation,2011-03-22T00:00:00.000Z,TNS,0.36,0.41,13.32,EST,0,EQUITY,2011-03-22
46,CTAS,Cintas Corporation,2010-12-21T00:00:00.000Z,TNS,0.38,0.38,-0.48,EST,0,EQUITY,2010-12-21
47,CTAS,Cintas Corporation,2010-09-21T00:00:00.000Z,TNS,0.38,0.4,6.67,EST,0,EQUITY,2010-09-21
48,CTAS,Cintas Corporation,2010-07-20T00:00:00.000Z,TNS,0.33,0.35,7.24,EST,0,EQUITY,2010-07-20
49,CTAS,Cintas Corporation,2010-03-18T00:00:00.000Z,TNS,0.3,0.32,7.32,EST,0,EQUITY,2010-03-18
50,CTAS,Cintas Corporation,2009-12-22T00:00:00.000Z,TNS,0.43,0.39,-8.67,EST,0,EQUITY,2009-12-22
51,CTAS,Cintas Corporation,2009-09-23T00:00:00.000Z,TNS,0.39,0.43,9.41,EST,0,EQUITY,2009-09-23
52,CTAS,Cintas Corporation,2009-07-15T00:00:00.000Z,TNS,0.37,0.38,3.26,EST,0,EQUITY,2009-07-15
53,CTAS,Cintas Corporation,2009-03-18T00:00:00.000Z,TNS,0.48,0.47,-2.31,EST,0,EQUITY,2009-03-18
54,CTAS,Cintas Corporation,2008-12-19T00:00:00.000Z,TNS,0.54,0.47,-13.67,EST,0,EQUITY,2008-12-19
55,CTAS,Cintas Corporation,2008-09-18T00:00:00.000Z,TNS,0.52,0.51,-2.3,EST,0,EQUITY,2008-09-18
56,CTAS,Cintas Corporation,2008-07-15T00:00:00.000Z,TNS,0.56,0.58,3.07,EST,0,EQUITY,2008-07-15
57,CTAS,Cintas Corporation,2008-03-19T00:00:00.000Z,TNS,0.54,0.53,-1.85,EST,0,EQUITY,2008-03-19
58,CTAS,Cintas Corporation,2007-12-20T00:00:00.000Z,TNS,0.53,0.53,0.16,EST,0,EQUITY,2007-12-20
59,CTAS,Cintas Corporation,2007-09-27T00:00:00.000Z,TNS,0.53,0.51,-4.52,EST,0,EQUITY,2007-09-27
60,CTAS,Cintas Corporation,2007-07-18T00:00:00.000Z,TNS,0.54,0.57,4.91,EST,0,EQUITY,2007-07-18
61,CTAS,Cintas Corporation,2007-03-20T00:00:00.000Z,TNS,0.52,0.48,-6.86,EST,0,EQUITY,2007-03-20
62,CTAS,Cintas Corporation,2006-12-19T00:00:00.000Z,TNS,0.52,0.51,-2.79,EST,0,EQUITY,2006-12-19
63,CTAS,Cintas Corporation,2006-09-20T00:00:00.000Z,TNS,0.51,0.53,3.14,EST,0,EQUITY,2006-09-20
64,CTAS,Cintas Corporation,2006-07-13T00:00:00.000Z,TNS,0.54,0.55,1.27,EST,0,EQUITY,2006-07-13
65,CTAS,Cintas Corporation,2006-03-16T00:00:00.000Z,TNS,0.46,0.46,-0.46,EST,0,EQUITY,2006-03-16
66,CTAS,Cintas Corporation,2005-12-22T00:00:00.000Z,TNS,0.48,0.46,-3.3,EST,0,EQUITY,2005-12-22
67,CTAS,Cintas Corporation,2005-09-21T00:00:00.000Z,TNS,0.48,0.47,-1.45,EST,0,EQUITY,2005-09-21
68,CTAS,Cintas Corporation,2005-07-14T00:00:00.000Z,TNS,0.46,0.48,3.48,EST,0,EQUITY,2005-07-14
69,CTAS,Cintas Corporation,2005-03-17T00:00:00.000Z,TNS,0.42,0.41,-3.04,EST,0,EQUITY,2005-03-17
70,CTAS,Cintas Corporation,2004-12-16T00:00:00.000Z,TNS,0.44,0.43,-2.9,EST,0,EQUITY,2004-12-16
71,CTAS,Cintas Corporation,2004-09-16T00:00:00.000Z,TNS,0.42,0.42,0.22,EST,0,EQUITY,2004-09-16
72,CTAS,Cintas Corporation,2004-07-12T00:00:00.000Z,TNS,0.41,0.42,2.19,EST,0,EQUITY,2004-07-12
73,CTAS,Cintas Corporation,2004-03-15T00:00:00.000Z,TNS,0.39,0.39,1.08,EST,0,EQUITY,2004-03-15
74,CTAS,Cintas Corporation,2003-12-17T00:00:00.000Z,TNS,0.39,0.4,1.91,EST,0,EQUITY,2003-12-17
75,CTAS,Cintas Corporation,2003-09-18T00:00:00.000Z,TNS,0.37,0.38,1.46,EST,0,EQUITY,2003-09-18
76,CTAS,Cintas Corporation,2003-07-15T00:00:00.000Z,TNS,0.37,0.38,1.88,EST,0,EQUITY,2003-07-15
77,CTAS,Cintas Corporation,2003-03-20T00:00:00.000Z,TNS,0.34,0.34,1.19,EST,0,EQUITY,2003-03-20
78,CTAS,Cintas Corporation,2002-12-19T00:00:00.000Z,TNS,0.38,0.37,-2.06,EST,0,EQUITY,2002-12-19
79,CTAS,Cintas Corporation,2002-09-19T00:00:00.000Z,TNS,0.36,0.36,-0.23,EST,0,EQUITY,2002-09-19
80,CTAS,Cintas Corporation,2002-07-11T00:00:00.000Z,TNS,0.36,0.37,1.75,EST,0,EQUITY,2002-07-11
81,CTAS,Cintas Corporation,2002-03-14T00:00:00.000Z,TNS,0.32,0.32,0.79,EST,0,EQUITY,2002-03-14
