,ticker,companyshortname,startdatetime,startdatetimetype,epsestimate,epsactual,epssurprisepct,timeZoneShortName,gmtOffsetMilliSeconds,quoteType,date
0,CVE,Cenovus Energy Inc.,2021-11-03T00:00:00.000Z,TNS,0.43,0.27,-37.21,EST,0,EQUITY,2021-11-03
1,CVE,Cenovus Energy Inc.,2021-07-29T00:00:00.000Z,TNS,0.28,0.11,-61.27,EST,0,EQUITY,2021-07-29
2,CVE,Cenovus Energy Inc.,2021-05-07T00:00:00.000Z,TNS,0.02,0.1,455.56,EST,0,EQUITY,2021-05-07
3,CVE,Cenovus Energy Inc.,2021-02-09T00:00:00.000Z,TNS,-0.08,-0.45,-462.5,EST,0,EQUITY,2021-02-09
4,CVE,Cenovus Energy Inc.,2020-10-29T00:00:00.000Z,TNS,-0.06,-0.37,-496.77,EST,0,EQUITY,2020-10-29
5,CVE,Cenovus Energy Inc.,2020-07-23T00:00:00.000Z,TNS,-0.56,-0.34,38.96,EST,0,EQUITY,2020-07-23
6,CVE,Cenovus Energy Inc.,2020-04-29T00:00:00.000Z,TNS,-0.28,-0.97,-250.18,EST,0,EQUITY,2020-04-29
7,CVE,Cenovus Energy Inc.,2020-02-12T00:00:00.000Z,TNS,0.11,-0.13,-216.07,EST,0,EQUITY,2020-02-12
8,CVE,Cenovus Energy Inc.,2019-10-31T00:00:00.000Z,TNS,0.21,0.23,12.2,EST,0,EQUITY,2019-10-31
9,CVE,Cenovus Energy Inc.,2019-07-25T00:00:00.000Z,TNS,0.35,0.22,-36.96,EST,0,EQUITY,2019-07-25
10,CVE,Cenovus Energy Inc.,2019-04-24T00:00:00.000Z,TNS,0.21,0.06,-71.83,EST,0,EQUITY,2019-04-24
11,CVE,Cenovus Energy Inc.,2019-02-13T00:00:00.000Z,TNS,-0.13,-1.36,-979.37,EST,0,EQUITY,2019-02-13
12,CVE,Cenovus Energy Inc.,2018-10-31T00:00:00.000Z,TNS,0.21,-0.03,-114.35,EST,0,EQUITY,2018-10-31
13,CVE,Cenovus Energy Inc.,2018-07-26T00:00:00.000Z,TNS,0.02,-0.24,-1511.76,EST,0,EQUITY,2018-07-26
14,CVE,Cenovus Energy Inc.,2018-04-25T00:00:00.000Z,TNS,-0.1,-0.61,-522.45,EST,0,EQUITY,2018-04-25
15,CVE,Cenovus Energy Inc.,2018-02-15T00:00:00.000Z,TNS,0.11,0.71,563.55,EST,0,EQUITY,2018-02-15
