,ticker,companyshortname,startdatetime,startdatetimetype,epsestimate,epsactual,epssurprisepct,timeZoneShortName,gmtOffsetMilliSeconds,quoteType,date
2,CVS,CVS Health Corp,2021-11-03T06:41:43.000Z,TAS,1.78,1.97,10.67,EST,-18000000,EQUITY,2021-11-03
4,CVS,CVS Health Corporation,2021-08-04T00:00:00.000Z,TNS,2.06,2.42,17.25,EST,0,EQUITY,2021-08-04
5,CVS,CVS Health Corporation,2021-05-04T00:00:00.000Z,TNS,1.72,2.04,18.95,EST,0,EQUITY,2021-05-04
6,CVS,CVS Health Corporation,2021-02-16T00:00:00.000Z,TNS,1.24,1.3,5.09,EST,0,EQUITY,2021-02-16
7,CVS,CVS Health Corporation,2020-11-06T00:00:00.000Z,TNS,1.33,1.66,24.81,EST,0,EQUITY,2020-11-06
8,CVS,CVS Health Corporation,2020-08-05T00:00:00.000Z,TNS,1.93,2.64,36.86,EST,0,EQUITY,2020-08-05
9,CVS,CVS Health Corporation,2020-05-06T00:00:00.000Z,TNS,1.63,1.91,17.39,EST,0,EQUITY,2020-05-06
10,CVS,CVS Health Corporation,2020-02-12T00:00:00.000Z,TNS,1.68,1.73,2.79,EST,0,EQUITY,2020-02-12
11,CVS,CVS Health Corporation,2019-11-06T00:00:00.000Z,TNS,1.77,1.84,4.01,EST,0,EQUITY,2019-11-06
12,CVS,CVS Health Corporation,2019-08-07T00:00:00.000Z,TNS,1.69,1.89,11.57,EST,0,EQUITY,2019-08-07
13,CVS,CVS Health Corporation,2019-05-01T00:00:00.000Z,TNS,1.5,1.62,7.78,EST,0,EQUITY,2019-05-01
14,CVS,CVS Health Corporation,2019-02-20T00:00:00.000Z,TNS,2.05,2.14,4.39,EST,0,EQUITY,2019-02-20
15,CVS,CVS Health Corporation,2018-11-06T00:00:00.000Z,TNS,1.71,1.73,0.99,EST,0,EQUITY,2018-11-06
16,CVS,CVS Health Corporation,2018-08-08T00:00:00.000Z,TNS,1.61,1.69,4.97,EST,0,EQUITY,2018-08-08
17,CVS,CVS Health Corporation,2018-05-02T00:00:00.000Z,TNS,1.41,1.48,5.04,EST,0,EQUITY,2018-05-02
18,CVS,CVS Health Corporation,2018-02-08T00:00:00.000Z,TNS,1.89,1.92,1.75,EST,0,EQUITY,2018-02-08
19,CVS,CVS Health Corporation,2017-11-06T00:00:00.000Z,TNS,1.49,1.5,1.01,EST,0,EQUITY,2017-11-06
20,CVS,CVS Health Corporation,2017-08-08T00:00:00.000Z,TNS,1.31,1.33,1.76,EST,0,EQUITY,2017-08-08
21,CVS,CVS Health Corporation,2017-05-02T00:00:00.000Z,TNS,1.1,1.17,6.17,EST,0,EQUITY,2017-05-02
22,CVS,CVS Health Corporation,2017-02-09T00:00:00.000Z,TNS,1.67,1.71,2.52,EST,0,EQUITY,2017-02-09
23,CVS,CVS Health Corporation,2016-11-08T00:00:00.000Z,TNS,1.57,1.64,4.59,EST,0,EQUITY,2016-11-08
24,CVS,CVS Health Corporation,2016-08-02T00:00:00.000Z,TNS,1.3,1.32,1.3,EST,0,EQUITY,2016-08-02
25,CVS,CVS Health Corporation,2016-05-03T00:00:00.000Z,TNS,1.16,1.18,1.64,EST,0,EQUITY,2016-05-03
26,CVS,CVS Health Corporation,2016-02-09T00:00:00.000Z,TNS,1.53,1.53,-0.13,EST,0,EQUITY,2016-02-09
