,ticker,companyshortname,startdatetime,startdatetimetype,epsestimate,epsactual,epssurprisepct,timeZoneShortName,gmtOffsetMilliSeconds,quoteType,date
3,DBX,"Dropbox, Inc.",2021-11-04T00:00:00.000Z,TNS,0.35,0.37,4.52,EST,0,EQUITY,2021-11-04
4,DBX,"Dropbox, Inc.",2021-08-05T00:00:00.000Z,TNS,0.33,0.4,21.58,EST,0,EQUITY,2021-08-05
5,DBX,"Dropbox, Inc.",2021-05-06T00:00:00.000Z,TNS,0.31,0.35,14.75,EST,0,EQUITY,2021-05-06
6,DBX,"Dropbox, Inc.",2021-02-18T00:00:00.000Z,TNS,0.24,0.28,17.65,EST,0,EQUITY,2021-02-18
7,DBX,"Dropbox, Inc.",2020-11-05T00:00:00.000Z,TNS,0.19,0.26,40.54,EST,0,EQUITY,2020-11-05
8,DBX,"Dropbox, Inc.",2020-08-06T00:00:00.000Z,TNS,0.17,0.22,28.65,EST,0,EQUITY,2020-08-06
9,DBX,"Dropbox, Inc.",2020-05-07T00:00:00.000Z,TNS,0.14,0.17,25.0,EST,0,EQUITY,2020-05-07
10,DBX,"Dropbox, Inc.",2020-02-20T00:00:00.000Z,TNS,0.14,0.16,12.68,EST,0,EQUITY,2020-02-20
11,DBX,"Dropbox, Inc.",2019-11-07T00:00:00.000Z,TNS,0.11,0.13,20.37,EST,0,EQUITY,2019-11-07
12,DBX,"Dropbox, Inc.",2019-08-08T00:00:00.000Z,TNS,0.08,0.1,19.05,EST,0,EQUITY,2019-08-08
13,DBX,"Dropbox, Inc.",2019-05-09T00:00:00.000Z,TNS,0.06,0.1,56.25,EST,0,EQUITY,2019-05-09
14,DBX,"Dropbox, Inc.",2019-02-21T00:00:00.000Z,TNS,0.08,0.1,28.21,EST,0,EQUITY,2019-02-21
15,DBX,"Dropbox, Inc.",2018-11-08T00:00:00.000Z,TNS,0.06,0.11,77.42,EST,0,EQUITY,2018-11-08
16,DBX,"Dropbox, Inc.",2018-08-09T00:00:00.000Z,TNS,0.07,0.11,69.23,EST,0,EQUITY,2018-08-09
17,DBX,"Dropbox, Inc.",2018-05-10T00:00:00.000Z,TNS,0.05,0.08,60.0,EST,0,EQUITY,2018-05-10
