,ticker,companyshortname,startdatetime,startdatetimetype,epsestimate,epsactual,epssurprisepct,timeZoneShortName,gmtOffsetMilliSeconds,quoteType,date
0,DHR,Danaher Corp,2021-10-21T06:00:00.000Z,TAS,2.15,2.39,11.16,EST,-18000000,EQUITY,2021-10-21
2,DHR,Danaher Corporation,2021-07-22T00:00:00.000Z,TNS,2.05,2.46,19.88,EST,0,EQUITY,2021-07-22
3,DHR,Danaher Corporation,2021-04-22T00:00:00.000Z,TNS,1.75,2.52,44.33,EST,0,EQUITY,2021-04-22
4,DHR,Danaher Corporation,2021-01-28T00:00:00.000Z,TNS,1.87,2.08,11.17,EST,0,EQUITY,2021-01-28
5,DHR,Danaher Corporation,2020-10-22T00:00:00.000Z,TNS,1.36,1.72,26.19,EST,0,EQUITY,2020-10-22
6,DHR,Danaher Corporation,2020-07-23T00:00:00.000Z,TNS,1.09,1.44,31.87,EST,0,EQUITY,2020-07-23
7,DHR,Danaher Corporation,2020-05-06T00:00:00.000Z,TNS,1.02,1.05,2.94,EST,0,EQUITY,2020-05-06
8,DHR,Danaher Corporation,2020-01-30T00:00:00.000Z,TNS,1.25,1.28,2.24,EST,0,EQUITY,2020-01-30
9,DHR,Danaher Corporation,2019-10-24T00:00:00.000Z,TNS,1.15,1.16,1.05,EST,0,EQUITY,2019-10-24
10,DHR,Danaher Corporation,2019-07-18T00:00:00.000Z,TNS,1.16,1.19,2.85,EST,0,EQUITY,2019-07-18
11,DHR,Danaher Corporation,2019-04-18T00:00:00.000Z,TNS,1.01,1.07,5.42,EST,0,EQUITY,2019-04-18
12,DHR,Danaher Corporation,2019-01-29T00:00:00.000Z,TNS,1.27,1.28,0.63,EST,0,EQUITY,2019-01-29
13,DHR,Danaher Corporation,2018-10-18T00:00:00.000Z,TNS,1.08,1.1,2.33,EST,0,EQUITY,2018-10-18
14,DHR,Danaher Corporation,2018-07-19T00:00:00.000Z,TNS,1.09,1.15,5.8,EST,0,EQUITY,2018-07-19
15,DHR,Danaher Corporation,2018-04-19T00:00:00.000Z,TNS,0.94,0.99,5.77,EST,0,EQUITY,2018-04-19
16,DHR,Danaher Corporation,2018-01-30T00:00:00.000Z,TNS,1.16,1.19,2.76,EST,0,EQUITY,2018-01-30
17,DHR,Danaher Corporation,2017-10-19T00:00:00.000Z,TNS,0.95,1.0,4.93,EST,0,EQUITY,2017-10-19
18,DHR,Danaher Corporation,2017-07-20T00:00:00.000Z,TNS,0.97,0.99,2.17,EST,0,EQUITY,2017-07-20
19,DHR,Danaher Corporation,2017-04-20T00:00:00.000Z,TNS,0.84,0.85,0.83,EST,0,EQUITY,2017-04-20
20,DHR,Danaher Corporation,2017-01-31T00:00:00.000Z,TNS,1.03,1.05,1.94,EST,0,EQUITY,2017-01-31
21,DHR,Danaher Corporation,2016-10-20T00:00:00.000Z,TNS,0.83,0.87,5.45,EST,0,EQUITY,2016-10-20
22,DHR,Danaher Corporation,2016-07-25T00:00:00.000Z,TNS,1.23,1.25,2.04,EST,0,EQUITY,2016-07-25
23,DHR,Danaher Corporation,2016-04-21T00:00:00.000Z,TNS,1.03,1.08,4.85,EST,0,EQUITY,2016-04-21
24,DHR,Danaher Corporation,2016-01-26T00:00:00.000Z,TNS,1.27,1.27,0.16,EST,0,EQUITY,2016-01-26
25,DHR,Danaher Corporation,2015-10-22T00:00:00.000Z,TNS,1.04,1.05,1.25,EST,0,EQUITY,2015-10-22
26,DHR,Danaher Corporation,2015-07-23T00:00:00.000Z,TNS,1.04,1.08,3.75,EST,0,EQUITY,2015-07-23
27,DHR,Danaher Corporation,2015-04-23T00:00:00.000Z,TNS,0.93,0.93,-0.11,EST,0,EQUITY,2015-04-23
28,DHR,Danaher Corporation,2015-01-27T00:00:00.000Z,TNS,1.03,1.04,1.36,EST,0,EQUITY,2015-01-27
29,DHR,Danaher Corporation,2014-10-16T00:00:00.000Z,TNS,0.89,0.95,6.5,EST,0,EQUITY,2014-10-16
30,DHR,Danaher Corporation,2014-07-17T00:00:00.000Z,TNS,0.94,0.93,-1.06,EST,0,EQUITY,2014-07-17
31,DHR,Danaher Corporation,2014-04-16T00:00:00.000Z,TNS,0.8,0.81,1.32,EST,0,EQUITY,2014-04-16
32,DHR,Danaher Corporation,2014-01-28T00:00:00.000Z,TNS,0.95,0.96,0.63,EST,0,EQUITY,2014-01-28
33,DHR,Danaher Corporation,2013-10-17T00:00:00.000Z,TNS,0.83,0.84,1.4,EST,0,EQUITY,2013-10-17
34,DHR,Danaher Corporation,2013-07-18T00:00:00.000Z,TNS,0.85,0.87,1.86,EST,0,EQUITY,2013-07-18
35,DHR,Danaher Corporation,2013-04-18T00:00:00.000Z,TNS,0.76,0.75,-1.82,EST,0,EQUITY,2013-04-18
36,DHR,Danaher Corporation,2013-01-29T00:00:00.000Z,TNS,0.86,0.87,0.84,EST,0,EQUITY,2013-01-29
37,DHR,Danaher Corporation,2012-10-18T00:00:00.000Z,TNS,0.79,0.77,-2.02,EST,0,EQUITY,2012-10-18
38,DHR,Danaher Corporation,2012-07-19T00:00:00.000Z,TNS,0.81,0.81,0.61,EST,0,EQUITY,2012-07-19
39,DHR,Danaher Corporation,2012-04-19T00:00:00.000Z,TNS,0.71,0.73,3.45,EST,0,EQUITY,2012-04-19
40,DHR,Danaher Corporation,2012-01-31T00:00:00.000Z,TNS,0.78,0.81,3.38,EST,0,EQUITY,2012-01-31
41,DHR,Danaher Corporation,2011-10-20T00:00:00.000Z,TNS,0.7,0.73,3.72,EST,0,EQUITY,2011-10-20
42,DHR,Danaher Corporation,2011-07-21T00:00:00.000Z,TNS,0.67,0.69,3.13,EST,0,EQUITY,2011-07-21
43,DHR,Danaher Corporation,2011-04-21T00:00:00.000Z,TNS,0.57,0.61,7.02,EST,0,EQUITY,2011-04-21
44,DHR,Danaher Corporation,2011-01-27T00:00:00.000Z,TNS,0.66,0.67,1.03,EST,0,EQUITY,2011-01-27
45,DHR,Danaher Corporation,2010-10-21T00:00:00.000Z,TNS,0.55,0.6,8.74,EST,0,EQUITY,2010-10-21
46,DHR,Danaher Corporation,2010-07-22T00:00:00.000Z,TNS,0.53,0.56,5.37,EST,0,EQUITY,2010-07-22
47,DHR,Danaher Corporation,2010-04-22T00:00:00.000Z,TNS,0.44,0.48,9.67,EST,0,EQUITY,2010-04-22
48,DHR,Danaher Corporation,2010-01-28T00:00:00.000Z,TNS,0.52,0.56,8.54,EST,0,EQUITY,2010-01-28
49,DHR,Danaher Corporation,2009-10-22T00:00:00.000Z,TNS,0.43,0.45,2.99,EST,0,EQUITY,2009-10-22
