,ticker,companyshortname,startdatetime,startdatetimetype,epsestimate,epsactual,epssurprisepct,timeZoneShortName,gmtOffsetMilliSeconds,quoteType,date
2,DIOD,Diodes Inc,2021-11-03T16:05:00.000Z,TAS,1.39,1.47,5.76,EST,-18000000,EQUITY,2021-11-03
4,DIOD,Diodes Incorporated,2021-08-05T00:00:00.000Z,TNS,1.12,1.2,7.14,EST,0,EQUITY,2021-08-05
5,DIOD,Diodes Incorporated,2021-05-06T00:00:00.000Z,TNS,0.79,0.93,18.02,EST,0,EQUITY,2021-05-06
6,DIOD,Diodes Incorporated,2021-02-16T00:00:00.000Z,TNS,0.7,0.74,6.32,EST,0,EQUITY,2021-02-16
7,DIOD,Diodes Incorporated,2020-11-09T00:00:00.000Z,TNS,0.59,0.62,5.8,EST,0,EQUITY,2020-11-09
8,DIOD,Diodes Incorporated,2020-08-06T00:00:00.000Z,TNS,0.51,0.54,6.3,EST,0,EQUITY,2020-08-06
9,DIOD,Diodes Incorporated,2020-05-11T00:00:00.000Z,TNS,0.48,0.46,-4.17,EST,0,EQUITY,2020-05-11
10,DIOD,Diodes Incorporated,2020-02-11T00:00:00.000Z,TNS,0.63,0.65,3.17,EST,0,EQUITY,2020-02-11
11,DIOD,Diodes Incorporated,2019-11-04T00:00:00.000Z,TNS,0.78,0.81,4.52,EST,0,EQUITY,2019-11-04
12,DIOD,Diodes Incorporated,2019-08-05T00:00:00.000Z,TNS,0.74,0.77,4.05,EST,0,EQUITY,2019-08-05
13,DIOD,Diodes Incorporated,2019-05-07T00:00:00.000Z,TNS,0.6,0.69,15.0,EST,0,EQUITY,2019-05-07
14,DIOD,Diodes Incorporated,2019-02-13T00:00:00.000Z,TNS,0.58,0.65,11.68,EST,0,EQUITY,2019-02-13
15,DIOD,Diodes Incorporated,2018-11-06T00:00:00.000Z,TNS,0.63,0.68,8.8,EST,0,EQUITY,2018-11-06
16,DIOD,Diodes Incorporated,2018-08-07T00:00:00.000Z,TNS,0.53,0.58,10.48,EST,0,EQUITY,2018-08-07
17,DIOD,Diodes Incorporated,2018-05-08T00:00:00.000Z,TNS,0.4,0.48,20.0,EST,0,EQUITY,2018-05-08
18,DIOD,Diodes Incorporated,2018-02-07T00:00:00.000Z,TNS,0.39,0.42,9.09,EST,0,EQUITY,2018-02-07
19,DIOD,Diodes Incorporated,2017-11-07T00:00:00.000Z,TNS,0.45,0.45,-0.66,EST,0,EQUITY,2017-11-07
20,DIOD,Diodes Incorporated,2017-08-08T00:00:00.000Z,TNS,0.36,0.36,0.0,EST,0,EQUITY,2017-08-08
21,DIOD,Diodes Incorporated,2017-05-09T00:00:00.000Z,TNS,0.07,0.14,91.78,EST,0,EQUITY,2017-05-09
22,DIOD,Diodes Incorporated,2017-02-14T00:00:00.000Z,TNS,0.15,0.15,-1.32,EST,0,EQUITY,2017-02-14
23,DIOD,Diodes Incorporated,2016-11-09T00:00:00.000Z,TNS,0.28,0.3,7.14,EST,0,EQUITY,2016-11-09
24,DIOD,Diodes Incorporated,2016-08-09T00:00:00.000Z,TNS,0.2,0.2,2.04,EST,0,EQUITY,2016-08-09
25,DIOD,Diodes Incorporated,2016-05-05T00:00:00.000Z,TNS,0.09,0.12,33.33,EST,0,EQUITY,2016-05-05
26,DIOD,Diodes Incorporated,2016-02-16T00:00:00.000Z,TNS,0.06,0.14,154.55,EST,0,EQUITY,2016-02-16
27,DIOD,Diodes Incorporated,2015-11-05T00:00:00.000Z,TNS,0.3,0.13,-56.38,EST,0,EQUITY,2015-11-05
28,DIOD,Diodes Incorporated,2015-08-06T00:00:00.000Z,TNS,0.33,0.34,4.29,EST,0,EQUITY,2015-08-06
29,DIOD,Diodes Incorporated,2015-05-07T00:00:00.000Z,TNS,0.25,0.26,2.77,EST,0,EQUITY,2015-05-07
30,DIOD,Diodes Incorporated,2015-02-11T00:00:00.000Z,TNS,0.34,0.38,12.43,EST,0,EQUITY,2015-02-11
31,DIOD,Diodes Incorporated,2014-11-06T00:00:00.000Z,TNS,0.42,0.43,2.38,EST,0,EQUITY,2014-11-06
32,DIOD,Diodes Incorporated,2014-08-07T00:00:00.000Z,TNS,0.35,0.38,9.97,EST,0,EQUITY,2014-08-07
33,DIOD,Diodes Incorporated,2014-05-08T00:00:00.000Z,TNS,0.24,0.26,9.34,EST,0,EQUITY,2014-05-08
34,DIOD,Diodes Incorporated,2014-02-11T00:00:00.000Z,TNS,0.21,0.24,12.5,EST,0,EQUITY,2014-02-11
35,DIOD,Diodes Incorporated,2013-11-12T00:00:00.000Z,TNS,0.34,0.33,-2.3,EST,0,EQUITY,2013-11-12
36,DIOD,Diodes Incorporated,2013-08-07T00:00:00.000Z,TNS,0.27,0.33,21.23,EST,0,EQUITY,2013-08-07
37,DIOD,Diodes Incorporated,2013-05-09T00:00:00.000Z,TNS,0.06,0.16,152.64,EST,0,EQUITY,2013-05-09
38,DIOD,Diodes Incorporated,2013-02-13T00:00:00.000Z,TNS,0.06,0.13,106.81,EST,0,EQUITY,2013-02-13
39,DIOD,Diodes Incorporated,2012-11-08T00:00:00.000Z,TNS,0.2,0.2,-1.64,EST,0,EQUITY,2012-11-08
40,DIOD,Diodes Incorporated,2012-08-08T00:00:00.000Z,TNS,0.18,0.14,-24.09,EST,0,EQUITY,2012-08-08
41,DIOD,Diodes Incorporated,2012-05-08T00:00:00.000Z,TNS,0.09,0.09,0.0,EST,0,EQUITY,2012-05-08
42,DIOD,Diodes Incorporated,2012-02-08T00:00:00.000Z,TNS,0.1,0.09,-6.25,EST,0,EQUITY,2012-02-08
43,DIOD,Diodes Incorporated,2011-11-08T00:00:00.000Z,TNS,0.34,0.28,-16.83,EST,0,EQUITY,2011-11-08
44,DIOD,Diodes Incorporated,2011-08-09T00:00:00.000Z,TNS,0.42,0.43,1.42,EST,0,EQUITY,2011-08-09
45,DIOD,Diodes Incorporated,2011-05-09T00:00:00.000Z,TNS,0.47,0.47,-0.47,EST,0,EQUITY,2011-05-09
46,DIOD,Diodes Incorporated,2011-02-09T00:00:00.000Z,TNS,0.5,0.55,9.78,EST,0,EQUITY,2011-02-09
47,DIOD,Diodes Incorporated,2010-11-08T00:00:00.000Z,TNS,0.49,0.51,3.66,EST,0,EQUITY,2010-11-08
48,DIOD,Diodes Incorporated,2010-08-05T00:00:00.000Z,TNS,0.39,0.41,4.83,EST,0,EQUITY,2010-08-05
49,DIOD,Diodes Incorporated,2010-05-06T00:00:00.000Z,TNS,0.29,0.35,19.15,EST,0,EQUITY,2010-05-06
50,DIOD,Diodes Incorporated,2010-02-09T00:00:00.000Z,TNS,0.29,0.36,23.61,EST,0,EQUITY,2010-02-09
51,DIOD,Diodes Incorporated,2009-11-02T00:00:00.000Z,TNS,0.19,0.21,11.36,EST,0,EQUITY,2009-11-02
52,DIOD,Diodes Incorporated,2009-08-06T00:00:00.000Z,TNS,-0.01,0.06,566.56,EST,0,EQUITY,2009-08-06
