,ticker,companyshortname,startdatetime,startdatetimetype,epsestimate,epsactual,epssurprisepct,timeZoneShortName,gmtOffsetMilliSeconds,quoteType,date
3,DOOO,BRP Inc.,2021-12-01T00:00:00.000Z,TNS,1.33,1.48,11.28,EST,0,EQUITY,2021-12-01
4,DOOO,BRP Inc.,2021-09-02T00:00:00.000Z,TNS,1.41,2.89,104.67,EST,0,EQUITY,2021-09-02
5,DOOO,BRP Inc.,2021-06-03T00:00:00.000Z,TNS,1.34,2.53,88.95,EST,0,EQUITY,2021-06-03
6,DOOO,BRP Inc.,2021-03-25T00:00:00.000Z,TNS,1.69,1.82,7.69,EST,0,EQUITY,2021-03-25
7,DOOO,BRP Inc.,2020-11-25T00:00:00.000Z,TNS,1.41,2.13,51.28,EST,0,EQUITY,2020-11-25
8,DOOO,BRP Inc.,2020-08-27T00:00:00.000Z,TNS,-0.27,1.14,526.97,EST,0,EQUITY,2020-08-27
9,DOOO,BRP Inc.,2020-05-28T00:00:00.000Z,TNS,0.49,0.26,-46.72,EST,0,EQUITY,2020-05-28
10,DOOO,BRP Inc.,2020-03-20T00:00:00.000Z,TNS,1.08,1.12,3.42,EST,0,EQUITY,2020-03-20
11,DOOO,BRP Inc.,2019-11-27T00:00:00.000Z,TNS,1.33,1.51,13.53,EST,0,EQUITY,2019-11-27
12,DOOO,BRP Inc.,2019-08-29T00:00:00.000Z,TNS,0.57,0.71,24.56,EST,0,EQUITY,2019-08-29
13,DOOO,BRP Inc.,2019-05-30T00:00:00.000Z,TNS,0.62,0.54,-13.18,EST,0,EQUITY,2019-05-30
15,DOOO,BRP Inc.,2018-11-30T00:00:00.000Z,TNS,0.98,1.04,6.34,EST,0,EQUITY,2018-11-30
16,DOOO,BRP Inc.,2018-08-30T00:00:00.000Z,TNS,0.29,0.66,124.49,EST,0,EQUITY,2018-08-30
17,DOOO,BRP Inc.,2018-05-31T00:00:00.000Z,TNS,0.29,0.52,80.56,EST,0,EQUITY,2018-05-31
18,DOOO,BRP Inc.,2018-03-21T00:00:00.000Z,TNS,0.91,0.96,5.61,EST,0,EQUITY,2018-03-21
19,DOOO,BRP Inc.,2017-12-01T00:00:00.000Z,TNS,0.94,1.05,11.58,EST,0,EQUITY,2017-12-01
20,DOOO,BRP Inc.,2017-09-01T00:00:00.000Z,TNS,0.08,0.18,130.77,EST,0,EQUITY,2017-09-01
21,DOOO,BRP Inc.,2017-06-01T00:00:00.000Z,TNS,0.09,0.25,177.78,EST,0,EQUITY,2017-06-01
22,DOOO,BRP Inc.,2017-03-24T00:00:00.000Z,TNS,0.96,1.0,4.28,EST,0,EQUITY,2017-03-24
23,DOOO,BRP Inc.,2016-12-09T00:00:00.000Z,TNS,0.75,0.93,24.17,EST,0,EQUITY,2016-12-09
24,DOOO,BRP Inc.,2016-09-09T00:00:00.000Z,TNS,-0.08,0.01,111.9,EST,0,EQUITY,2016-09-09
25,DOOO,BRP Inc.,2016-06-09T00:00:00.000Z,TNS,0.06,0.04,-36.51,EST,0,EQUITY,2016-06-09
26,DOOO,BRP Inc.,2016-03-18T00:00:00.000Z,TNS,0.68,0.75,10.62,EST,0,EQUITY,2016-03-18
27,DOOO,BRP Inc.,2015-12-11T00:00:00.000Z,TNS,0.49,0.62,27.57,EST,0,EQUITY,2015-12-11
28,DOOO,BRP Inc.,2015-09-11T00:00:00.000Z,TNS,-0.02,0.03,230.43,EST,0,EQUITY,2015-09-11
29,DOOO,BRP Inc.,2015-06-11T00:00:00.000Z,TNS,0.15,0.31,112.33,EST,0,EQUITY,2015-06-11
30,DOOO,BRP Inc.,2015-03-27T00:00:00.000Z,TNS,0.79,0.98,23.58,EST,0,EQUITY,2015-03-27
31,DOOO,BRP Inc.,2014-12-12T00:00:00.000Z,TNS,0.67,0.6,-10.04,EST,0,EQUITY,2014-12-12
32,DOOO,BRP Inc.,2014-09-12T00:00:00.000Z,TNS,0.08,-0.07,-183.33,EST,0,EQUITY,2014-09-12
33,DOOO,BRP Inc.,2014-06-12T00:00:00.000Z,TNS,0.09,0.14,49.51,EST,0,EQUITY,2014-06-12
34,DOOO,BRP Inc.,2014-03-28T00:00:00.000Z,TNS,0.45,0.41,-8.48,EST,0,EQUITY,2014-03-28
35,DOOO,BRP Inc.,2013-12-12T00:00:00.000Z,TNS,0.42,0.5,19.05,EST,0,EQUITY,2013-12-12
36,DOOO,BRP Inc.,2013-09-12T00:00:00.000Z,TNS,0.04,0.07,70.73,EST,0,EQUITY,2013-09-12
