,ticker,companyshortname,startdatetime,startdatetimetype,epsestimate,epsactual,epssurprisepct,timeZoneShortName,gmtOffsetMilliSeconds,quoteType,date
0,DT,"Dynatrace, Inc.",2021-10-27T00:00:00.000Z,TNS,0.16,0.18,12.5,EST,0,EQUITY,2021-10-27
1,DT,"Dynatrace, Inc.",2021-07-28T00:00:00.000Z,TNS,0.15,0.16,9.59,EST,0,EQUITY,2021-07-28
2,DT,"Dynatrace, Inc.",2021-05-12T00:00:00.000Z,TNS,0.14,0.15,8.7,EST,0,EQUITY,2021-05-12
3,DT,"Dynatrace, Inc.",2021-02-03T00:00:00.000Z,TNS,0.13,0.17,30.77,EST,0,EQUITY,2021-02-03
4,DT,"Dynatrace, Inc.",2020-10-28T00:00:00.000Z,TNS,0.1,0.18,76.47,EST,0,EQUITY,2020-10-28
5,DT,"Dynatrace, Inc.",2020-07-29T00:00:00.000Z,TNS,0.1,0.13,31.31,EST,0,EQUITY,2020-07-29
6,DT,"Dynatrace, Inc.",2020-05-12T00:00:00.000Z,TNS,0.08,0.11,42.86,EST,0,EQUITY,2020-05-12
7,DT,"Dynatrace, Inc.",2020-01-29T00:00:00.000Z,TNS,0.07,0.1,49.25,EST,0,EQUITY,2020-01-29
8,DT,"Dynatrace, Inc.",2019-10-30T00:00:00.000Z,TNS,0.04,0.06,50.0,EST,0,EQUITY,2019-10-30
9,DT,"Dynatrace, Inc.",2019-09-04T00:00:00.000Z,TNS,0.03,0.04,53.85,EST,0,EQUITY,2019-09-04
