,ticker,companyshortname,startdatetime,startdatetimetype,epsestimate,epsactual,epssurprisepct,timeZoneShortName,gmtOffsetMilliSeconds,quoteType,date
2,DVA,DaVita Inc,2021-10-28T16:05:14.000Z,TAS,2.25,2.36,4.89,EST,-18000000,EQUITY,2021-10-28
4,DVA,DaVita Inc.,2021-08-03T00:00:00.000Z,TNS,2.17,2.64,21.44,EST,0,EQUITY,2021-08-03
5,DVA,DaVita Inc.,2021-04-29T00:00:00.000Z,TNS,1.82,2.09,15.15,EST,0,EQUITY,2021-04-29
6,DVA,DaVita Inc.,2021-02-11T00:00:00.000Z,TNS,1.87,1.67,-10.74,EST,0,EQUITY,2021-02-11
7,DVA,DaVita Inc.,2020-10-29T00:00:00.000Z,TNS,1.44,1.8,25.09,EST,0,EQUITY,2020-10-29
8,DVA,DaVita Inc.,2020-07-30T00:00:00.000Z,TNS,1.3,1.95,50.0,EST,0,EQUITY,2020-07-30
9,DVA,DaVita Inc.,2020-05-05T00:00:00.000Z,TNS,1.47,1.83,24.15,EST,0,EQUITY,2020-05-05
10,DVA,DaVita Inc.,2020-02-10T00:00:00.000Z,TNS,1.66,1.86,11.78,EST,0,EQUITY,2020-02-10
11,DVA,DaVita Inc.,2019-11-05T00:00:00.000Z,TNS,1.24,1.53,23.19,EST,0,EQUITY,2019-11-05
12,DVA,DaVita Inc.,2019-08-01T00:00:00.000Z,TNS,1.11,1.22,10.11,EST,0,EQUITY,2019-08-01
13,DVA,DaVita Inc.,2019-05-07T00:00:00.000Z,TNS,0.93,0.91,-2.36,EST,0,EQUITY,2019-05-07
14,DVA,DaVita Inc.,2019-02-13T00:00:00.000Z,TNS,0.9,0.9,0.56,EST,0,EQUITY,2019-02-13
15,DVA,DaVita Inc.,2018-11-07T00:00:00.000Z,TNS,0.87,0.56,-35.85,EST,0,EQUITY,2018-11-07
16,DVA,DaVita Inc.,2018-08-01T00:00:00.000Z,TNS,0.97,1.05,8.36,EST,0,EQUITY,2018-08-01
17,DVA,DaVita Inc.,2018-05-03T00:00:00.000Z,TNS,0.93,1.05,13.51,EST,0,EQUITY,2018-05-03
18,DVA,DaVita Inc.,2018-02-13T00:00:00.000Z,TNS,0.94,0.92,-2.44,EST,0,EQUITY,2018-02-13
19,DVA,DaVita Inc.,2017-11-07T00:00:00.000Z,TNS,0.94,0.81,-14.1,EST,0,EQUITY,2017-11-07
20,DVA,DaVita Inc.,2017-08-01T00:00:00.000Z,TNS,0.9,0.92,2.0,EST,0,EQUITY,2017-08-01
21,DVA,DaVita Inc.,2017-05-02T00:00:00.000Z,TNS,0.82,0.79,-3.07,EST,0,EQUITY,2017-05-02
22,DVA,DaVita Inc.,2017-02-16T00:00:00.000Z,TNS,0.91,0.98,8.05,EST,0,EQUITY,2017-02-16
23,DVA,DaVita Inc.,2016-11-02T00:00:00.000Z,TNS,0.93,0.95,1.71,EST,0,EQUITY,2016-11-02
24,DVA,DaVita Inc.,2016-08-08T00:00:00.000Z,TNS,0.98,1.01,3.48,EST,0,EQUITY,2016-08-08
25,DVA,DaVita Inc.,2016-05-04T00:00:00.000Z,TNS,0.86,0.92,7.48,EST,0,EQUITY,2016-05-04
26,DVA,DaVita Inc.,2016-02-11T00:00:00.000Z,TNS,0.97,1.01,4.55,EST,0,EQUITY,2016-02-11
27,DVA,DaVita Inc.,2015-11-03T00:00:00.000Z,TNS,0.97,1.0,3.63,EST,0,EQUITY,2015-11-03
