,ticker,companyshortname,startdatetime,startdatetimetype,epsestimate,epsactual,epssurprisepct,timeZoneShortName,gmtOffsetMilliSeconds,quoteType,date
2,DVN,Devon Energy Corp,2021-11-02T16:05:01.000Z,TAS,0.93,1.08,16.13,EST,-18000000,EQUITY,2021-11-02
4,DVN,Devon Energy Corporation,2021-08-03T00:00:00.000Z,TNS,0.52,0.6,14.5,EST,0,EQUITY,2021-08-03
5,DVN,Devon Energy Corporation,2021-05-04T00:00:00.000Z,TNS,0.33,0.45,35.95,EST,0,EQUITY,2021-05-04
6,DVN,Devon Energy Corporation,2021-02-16T00:00:00.000Z,TNS,0.03,0.0,-100.0,EST,0,EQUITY,2021-02-16
7,DVN,Devon Energy Corporation,2020-10-29T00:00:00.000Z,TNS,-0.1,-0.04,58.76,EST,0,EQUITY,2020-10-29
8,DVN,Devon Energy Corporation,2020-08-04T00:00:00.000Z,TNS,-0.26,-0.18,30.5,EST,0,EQUITY,2020-08-04
9,DVN,Devon Energy Corporation,2020-05-05T00:00:00.000Z,TNS,-0.22,0.13,158.56,EST,0,EQUITY,2020-05-05
10,DVN,Devon Energy Corporation,2020-02-18T00:00:00.000Z,TNS,0.32,0.36,11.8,EST,0,EQUITY,2020-02-18
11,DVN,Devon Energy Corporation,2019-11-05T00:00:00.000Z,TNS,0.16,0.29,76.83,EST,0,EQUITY,2019-11-05
12,DVN,Devon Energy Corporation,2019-08-06T00:00:00.000Z,TNS,0.34,0.23,-33.14,EST,0,EQUITY,2019-08-06
13,DVN,Devon Energy Corporation,2019-04-30T00:00:00.000Z,TNS,0.28,0.36,28.57,EST,0,EQUITY,2019-04-30
14,DVN,Devon Energy Corporation,2019-02-19T00:00:00.000Z,TNS,0.32,0.1,-68.55,EST,0,EQUITY,2019-02-19
15,DVN,Devon Energy Corporation,2018-11-06T00:00:00.000Z,TNS,0.42,0.65,55.13,EST,0,EQUITY,2018-11-06
16,DVN,Devon Energy Corporation,2018-07-31T00:00:00.000Z,TNS,0.36,0.34,-5.56,EST,0,EQUITY,2018-07-31
17,DVN,Devon Energy Corporation,2018-05-01T00:00:00.000Z,TNS,0.2,0.2,0.5,EST,0,EQUITY,2018-05-01
18,DVN,Devon Energy Corporation,2018-02-20T00:00:00.000Z,TNS,0.63,0.38,-39.59,EST,0,EQUITY,2018-02-20
19,DVN,Devon Energy Corporation,2017-10-31T00:00:00.000Z,TNS,0.38,0.46,22.34,EST,0,EQUITY,2017-10-31
