,ticker,companyshortname,startdatetime,startdatetimetype,epsestimate,epsactual,epssurprisepct,timeZoneShortName,gmtOffsetMilliSeconds,quoteType,date
2,ECPG,Encore Capital Group Inc,2021-11-03T16:05:05.000Z,TAS,2.01,2.66,32.34,EST,-18000000,EQUITY,2021-11-03
4,ECPG,"Encore Capital Group, Inc.",2021-08-04T00:00:00.000Z,TNS,2.07,3.07,48.09,EST,0,EQUITY,2021-08-04
5,ECPG,"Encore Capital Group, Inc.",2021-05-05T00:00:00.000Z,TNS,1.86,2.97,59.85,EST,0,EQUITY,2021-05-05
6,ECPG,"Encore Capital Group, Inc.",2021-02-24T00:00:00.000Z,TNS,2.13,1.3,-39.02,EST,0,EQUITY,2021-02-24
7,ECPG,"Encore Capital Group, Inc.",2020-11-02T00:00:00.000Z,TNS,2.17,2.31,6.7,EST,0,EQUITY,2020-11-02
8,ECPG,"Encore Capital Group, Inc.",2020-08-05T00:00:00.000Z,TNS,2.3,4.34,88.7,EST,0,EQUITY,2020-08-05
9,ECPG,"Encore Capital Group, Inc.",2020-05-11T00:00:00.000Z,TNS,0.94,-0.19,-120.19,EST,0,EQUITY,2020-05-11
10,ECPG,"Encore Capital Group, Inc.",2020-02-26T00:00:00.000Z,TNS,1.45,1.56,7.29,EST,0,EQUITY,2020-02-26
11,ECPG,"Encore Capital Group, Inc.",2019-11-06T00:00:00.000Z,TNS,1.39,1.64,18.07,EST,0,EQUITY,2019-11-06
12,ECPG,"Encore Capital Group, Inc.",2019-08-07T00:00:00.000Z,TNS,1.3,1.28,-1.16,EST,0,EQUITY,2019-08-07
13,ECPG,"Encore Capital Group, Inc.",2019-05-08T00:00:00.000Z,TNS,1.2,1.46,21.46,EST,0,EQUITY,2019-05-08
14,ECPG,"Encore Capital Group, Inc.",2019-02-27T00:00:00.000Z,TNS,1.23,1.45,18.27,EST,0,EQUITY,2019-02-27
15,ECPG,"Encore Capital Group, Inc.",2018-11-07T00:00:00.000Z,TNS,1.17,1.19,1.45,EST,0,EQUITY,2018-11-07
16,ECPG,"Encore Capital Group, Inc.",2018-08-08T00:00:00.000Z,TNS,1.12,1.33,19.18,EST,0,EQUITY,2018-08-08
17,ECPG,"Encore Capital Group, Inc.",2018-05-08T00:00:00.000Z,TNS,1.04,0.98,-5.68,EST,0,EQUITY,2018-05-08
18,ECPG,"Encore Capital Group, Inc.",2018-02-21T00:00:00.000Z,TNS,0.94,1.05,11.82,EST,0,EQUITY,2018-02-21
19,ECPG,"Encore Capital Group, Inc.",2017-11-02T00:00:00.000Z,TNS,0.91,1.17,28.71,EST,0,EQUITY,2017-11-02
20,ECPG,"Encore Capital Group, Inc.",2017-08-03T00:00:00.000Z,TNS,0.82,0.88,7.32,EST,0,EQUITY,2017-08-03
21,ECPG,"Encore Capital Group, Inc.",2017-05-04T00:00:00.000Z,TNS,0.95,0.95,0.32,EST,0,EQUITY,2017-05-04
22,ECPG,"Encore Capital Group, Inc.",2017-02-23T00:00:00.000Z,TNS,0.67,0.72,7.14,EST,0,EQUITY,2017-02-23
23,ECPG,"Encore Capital Group, Inc.",2016-11-09T00:00:00.000Z,TNS,1.23,0.14,-88.59,EST,0,EQUITY,2016-11-09
24,ECPG,"Encore Capital Group, Inc.",2016-08-04T00:00:00.000Z,TNS,1.21,1.29,6.52,EST,0,EQUITY,2016-08-04
25,ECPG,"Encore Capital Group, Inc.",2016-05-10T00:00:00.000Z,TNS,1.27,1.31,3.31,EST,0,EQUITY,2016-05-10
26,ECPG,"Encore Capital Group, Inc.",2016-02-24T00:00:00.000Z,TNS,1.35,1.31,-3.18,EST,0,EQUITY,2016-02-24
27,ECPG,"Encore Capital Group, Inc.",2015-11-05T00:00:00.000Z,TNS,1.31,1.34,2.29,EST,0,EQUITY,2015-11-05
28,ECPG,"Encore Capital Group, Inc.",2015-08-10T00:00:00.000Z,TNS,1.25,1.27,1.44,EST,0,EQUITY,2015-08-10
29,ECPG,"Encore Capital Group, Inc.",2015-05-07T00:00:00.000Z,TNS,1.19,1.23,3.1,EST,0,EQUITY,2015-05-07
30,ECPG,"Encore Capital Group, Inc.",2015-02-26T00:00:00.000Z,TNS,1.13,1.17,3.82,EST,0,EQUITY,2015-02-26
31,ECPG,"Encore Capital Group, Inc.",2014-11-06T00:00:00.000Z,TNS,1.11,1.17,5.69,EST,0,EQUITY,2014-11-06
32,ECPG,"Encore Capital Group, Inc.",2014-08-07T00:00:00.000Z,TNS,1.08,1.1,2.06,EST,0,EQUITY,2014-08-07
33,ECPG,"Encore Capital Group, Inc.",2014-05-08T00:00:00.000Z,TNS,1.06,1.08,2.13,EST,0,EQUITY,2014-05-08
34,ECPG,"Encore Capital Group, Inc.",2014-02-25T00:00:00.000Z,TNS,1.01,1.05,3.58,EST,0,EQUITY,2014-02-25
35,ECPG,"Encore Capital Group, Inc.",2013-11-07T00:00:00.000Z,TNS,0.94,1.02,8.95,EST,0,EQUITY,2013-11-07
36,ECPG,"Encore Capital Group, Inc.",2013-08-08T00:00:00.000Z,TNS,0.81,0.85,4.57,EST,0,EQUITY,2013-08-08
37,ECPG,"Encore Capital Group, Inc.",2013-05-09T00:00:00.000Z,TNS,0.79,0.86,8.47,EST,0,EQUITY,2013-05-09
