,ticker,companyshortname,startdatetime,startdatetimetype,epsestimate,epsactual,epssurprisepct,timeZoneShortName,gmtOffsetMilliSeconds,quoteType,date
0,ELAN,Elanco Animal Health Incorporated,2021-11-05T00:00:00.000Z,TNS,0.17,0.19,15.15,EST,0,EQUITY,2021-11-05
1,ELAN,Elanco Animal Health Incorporated,2021-08-09T00:00:00.000Z,TNS,0.26,0.28,6.46,EST,0,EQUITY,2021-08-09
2,ELAN,Elanco Animal Health Incorporated,2021-05-07T00:00:00.000Z,TNS,0.23,0.37,63.0,EST,0,EQUITY,2021-05-07
3,ELAN,Elanco Animal Health Incorporated,2021-02-24T00:00:00.000Z,TNS,0.09,0.12,37.93,EST,0,EQUITY,2021-02-24
4,ELAN,Elanco Animal Health Incorporated,2020-11-06T00:00:00.000Z,TNS,0.12,0.13,7.44,EST,0,EQUITY,2020-11-06
5,ELAN,Elanco Animal Health Incorporated,2020-07-30T00:00:00.000Z,TNS,0.06,0.09,60.71,EST,0,EQUITY,2020-07-30
6,ELAN,Elanco Animal Health Incorporated,2020-05-07T00:00:00.000Z,TNS,0.24,0.13,-45.38,EST,0,EQUITY,2020-05-07
7,ELAN,Elanco Animal Health Incorporated,2020-02-19T00:00:00.000Z,TNS,0.23,0.23,0.0,EST,0,EQUITY,2020-02-19
8,ELAN,Elanco Animal Health Incorporated,2019-11-06T00:00:00.000Z,TNS,0.26,0.3,17.19,EST,0,EQUITY,2019-11-06
9,ELAN,Elanco Animal Health Incorporated,2019-08-13T00:00:00.000Z,TNS,0.26,0.28,9.38,EST,0,EQUITY,2019-08-13
10,ELAN,Elanco Animal Health Incorporated,2019-05-09T00:00:00.000Z,TNS,0.23,0.25,8.7,EST,0,EQUITY,2019-05-09
11,ELAN,Elanco Animal Health Incorporated,2019-02-06T00:00:00.000Z,TNS,0.28,0.29,4.69,EST,0,EQUITY,2019-02-06
12,ELAN,Elanco Animal Health Incorporated,2018-11-06T00:00:00.000Z,TNS,0.25,0.29,16.0,EST,0,EQUITY,2018-11-06
