,ticker,companyshortname,startdatetime,startdatetimetype,epsestimate,epsactual,epssurprisepct,timeZoneShortName,gmtOffsetMilliSeconds,quoteType,date
2,ESCA,"Escalade, Incorporated",2021-10-28T00:00:00.000Z,TNS,0.36,0.43,19.44,EST,0,EQUITY,2021-10-28
3,ESCA,"Escalade, Incorporated",2021-08-05T00:00:00.000Z,TNS,0.46,0.58,26.09,EST,0,EQUITY,2021-08-05
4,ESCA,"Escalade, Incorporated",2021-04-15T00:00:00.000Z,TNS,0.16,0.39,143.75,EST,0,EQUITY,2021-04-15
5,ESCA,"Escalade, Incorporated",2021-02-18T00:00:00.000Z,TNS,0.18,0.36,100.0,EST,0,EQUITY,2021-02-18
6,ESCA,"Escalade, Incorporated",2020-10-29T00:00:00.000Z,TNS,0.26,0.71,173.08,EST,0,EQUITY,2020-10-29
7,ESCA,"Escalade, Incorporated",2020-08-06T00:00:00.000Z,TNS,,0.61,,EST,0,EQUITY,2020-08-06
9,ESCA,"Escalade, Incorporated",2020-02-21T00:00:00.000Z,TNS,,0.18,,EST,0,EQUITY,2020-02-21
12,ESCA,"Escalade, Incorporated",2019-04-18T00:00:00.000Z,TNS,0.01,0.02,100.0,EST,0,EQUITY,2019-04-18
13,ESCA,"Escalade, Incorporated",2019-02-20T00:00:00.000Z,TNS,0.27,0.25,-7.41,EST,0,EQUITY,2019-02-20
14,ESCA,"Escalade, Incorporated",2018-11-01T00:00:00.000Z,TNS,0.22,0.25,12.27,EST,0,EQUITY,2018-11-01
15,ESCA,"Escalade, Incorporated",2018-08-14T00:00:00.000Z,TNS,0.21,0.84,300.0,EST,0,EQUITY,2018-08-14
16,ESCA,"Escalade, Incorporated",2018-04-19T00:00:00.000Z,TNS,0.11,0.08,-23.81,EST,0,EQUITY,2018-04-19
17,ESCA,"Escalade, Incorporated",2018-02-27T00:00:00.000Z,TNS,0.28,0.31,8.77,EST,0,EQUITY,2018-02-27
18,ESCA,"Escalade, Incorporated",2017-11-02T00:00:00.000Z,TNS,0.17,0.22,33.33,EST,0,EQUITY,2017-11-02
19,ESCA,"Escalade, Incorporated",2017-07-31T00:00:00.000Z,TNS,0.23,0.15,-34.78,EST,0,EQUITY,2017-07-31
20,ESCA,"Escalade, Incorporated",2017-04-20T00:00:00.000Z,TNS,0.07,0.1,42.86,EST,0,EQUITY,2017-04-20
21,ESCA,"Escalade, Incorporated",2017-02-23T00:00:00.000Z,TNS,0.19,0.24,29.73,EST,0,EQUITY,2017-02-23
22,ESCA,"Escalade, Incorporated",2016-10-27T00:00:00.000Z,TNS,0.21,0.3,46.34,EST,0,EQUITY,2016-10-27
23,ESCA,"Escalade, Incorporated",2016-08-04T00:00:00.000Z,TNS,0.14,0.15,3.45,EST,0,EQUITY,2016-08-04
24,ESCA,"Escalade, Incorporated",2016-04-15T00:00:00.000Z,TNS,0.14,0.12,-11.11,EST,0,EQUITY,2016-04-15
25,ESCA,"Escalade, Incorporated",2016-02-23T00:00:00.000Z,TNS,0.22,0.2,-9.09,EST,0,EQUITY,2016-02-23
26,ESCA,"Escalade, Incorporated",2015-10-29T00:00:00.000Z,TNS,0.21,0.14,-31.71,EST,0,EQUITY,2015-10-29
27,ESCA,"Escalade, Incorporated",2015-08-05T00:00:00.000Z,TNS,0.22,0.23,6.98,EST,0,EQUITY,2015-08-05
28,ESCA,"Escalade, Incorporated",2015-04-20T00:00:00.000Z,TNS,0.18,0.25,38.89,EST,0,EQUITY,2015-04-20
29,ESCA,"Escalade, Incorporated",2015-02-25T00:00:00.000Z,TNS,0.21,0.32,54.59,EST,0,EQUITY,2015-02-25
30,ESCA,"Escalade, Incorporated",2014-11-12T00:00:00.000Z,TNS,0.16,0.28,75.0,EST,0,EQUITY,2014-11-12
31,ESCA,"Escalade, Incorporated",2010-11-01T00:00:00.000Z,TNS,0.07,0.09,21.62,EST,0,EQUITY,2010-11-01
32,ESCA,"Escalade, Incorporated",2010-07-30T00:00:00.000Z,TNS,0.07,0.14,91.78,EST,0,EQUITY,2010-07-30
33,ESCA,"Escalade, Incorporated",2010-04-16T00:00:00.000Z,TNS,0.02,0.06,160.87,EST,0,EQUITY,2010-04-16
34,ESCA,"Escalade, Incorporated",2010-03-04T00:00:00.000Z,TNS,-0.06,0.08,237.93,EST,0,EQUITY,2010-03-04
35,ESCA,"Escalade, Incorporated",2009-11-05T00:00:00.000Z,TNS,0.06,0.01,-82.14,EST,0,EQUITY,2009-11-05
36,ESCA,"Escalade, Incorporated",2009-08-06T00:00:00.000Z,TNS,0.02,0.03,50.0,EST,0,EQUITY,2009-08-06
37,ESCA,"Escalade, Incorporated",2009-05-04T00:00:00.000Z,TNS,-0.01,-0.03,-400.0,EST,0,EQUITY,2009-05-04
38,ESCA,"Escalade, Incorporated",1994-10-24T00:00:00.000Z,TNS,0.03,0.03,6.68,EST,0,EQUITY,1994-10-24
39,ESCA,"Escalade, Incorporated",1993-02-22T00:00:00.000Z,TNS,0.08,0.1,19.64,EST,0,EQUITY,1993-02-22
