,ticker,companyshortname,startdatetime,startdatetimetype,epsestimate,epsactual,epssurprisepct,timeZoneShortName,gmtOffsetMilliSeconds,quoteType,date
2,EVR,Evercore Inc,2021-10-27T06:45:00.000Z,TAS,3.06,3.96,29.41,EST,-18000000,EQUITY,2021-10-27
4,EVR,Evercore Inc.,2021-07-28T00:00:00.000Z,TNS,2.79,3.17,13.74,EST,0,EQUITY,2021-07-28
5,EVR,Evercore Inc.,2021-04-28T00:00:00.000Z,TNS,2.56,3.29,28.37,EST,0,EQUITY,2021-04-28
6,EVR,Evercore Inc.,2021-02-03T00:00:00.000Z,TNS,2.12,5.67,167.96,EST,0,EQUITY,2021-02-03
7,EVR,Evercore Inc.,2020-10-21T00:00:00.000Z,TNS,0.38,1.11,191.34,EST,0,EQUITY,2020-10-21
8,EVR,Evercore Inc.,2020-07-22T00:00:00.000Z,TNS,1.39,1.53,10.23,EST,0,EQUITY,2020-07-22
9,EVR,Evercore Inc.,2020-04-22T00:00:00.000Z,TNS,1.26,1.21,-3.74,EST,0,EQUITY,2020-04-22
10,EVR,Evercore Inc.,2020-01-29T00:00:00.000Z,TNS,2.35,2.72,15.7,EST,0,EQUITY,2020-01-29
11,EVR,Evercore Inc.,2019-10-23T00:00:00.000Z,TNS,1.63,1.26,-22.6,EST,0,EQUITY,2019-10-23
12,EVR,Evercore Inc.,2019-07-24T00:00:00.000Z,TNS,1.73,2.07,19.79,EST,0,EQUITY,2019-07-24
13,EVR,Evercore Inc.,2019-04-24T00:00:00.000Z,TNS,1.56,1.66,6.27,EST,0,EQUITY,2019-04-24
14,EVR,Evercore Inc.,2019-01-30T00:00:00.000Z,TNS,2.18,3.93,79.95,EST,0,EQUITY,2019-01-30
15,EVR,Evercore Inc.,2018-10-24T00:00:00.000Z,TNS,0.97,1.23,27.2,EST,0,EQUITY,2018-10-24
16,EVR,Evercore Inc.,2018-07-25T00:00:00.000Z,TNS,1.47,1.65,12.4,EST,0,EQUITY,2018-07-25
17,EVR,Evercore Inc.,2018-04-25T00:00:00.000Z,TNS,1.57,2.24,42.58,EST,0,EQUITY,2018-04-25
