,ticker,companyshortname,startdatetime,startdatetimetype,epsestimate,epsactual,epssurprisepct,timeZoneShortName,gmtOffsetMilliSeconds,quoteType,date
0,EW,Edwards Lifesciences Corp,2021-10-27T16:15:17.000Z,TAS,0.53,0.54,1.89,EST,-18000000,EQUITY,2021-10-27
2,EW,Edwards Lifesciences Corporation,2021-07-29T00:00:00.000Z,TNS,0.56,0.64,15.11,EST,0,EQUITY,2021-07-29
3,EW,Edwards Lifesciences Corporation,2021-04-20T00:00:00.000Z,TNS,0.47,0.54,13.92,EST,0,EQUITY,2021-04-20
4,EW,Edwards Lifesciences Corporation,2021-01-27T00:00:00.000Z,TNS,0.53,0.5,-6.02,EST,0,EQUITY,2021-01-27
5,EW,Edwards Lifesciences Corporation,2020-10-21T00:00:00.000Z,TNS,0.44,0.51,15.12,EST,0,EQUITY,2020-10-21
6,EW,Edwards Lifesciences Corporation,2020-07-23T00:00:00.000Z,TNS,0.17,0.34,98.83,EST,0,EQUITY,2020-07-23
7,EW,Edwards Lifesciences Corporation,2020-04-23T00:00:00.000Z,TNS,0.45,0.5,13.03,EST,0,EQUITY,2020-04-23
8,EW,Edwards Lifesciences Corporation,2020-01-30T00:00:00.000Z,TNS,0.5,0.49,-1.62,EST,0,EQUITY,2020-01-30
9,EW,Edwards Lifesciences Corporation,2019-10-23T00:00:00.000Z,TNS,0.41,0.47,15.76,EST,0,EQUITY,2019-10-23
10,EW,Edwards Lifesciences Corporation,2019-07-23T00:00:00.000Z,TNS,0.44,0.46,3.84,EST,0,EQUITY,2019-07-23
11,EW,Edwards Lifesciences Corporation,2019-04-23T00:00:00.000Z,TNS,0.41,0.44,7.84,EST,0,EQUITY,2019-04-23
12,EW,Edwards Lifesciences Corporation,2019-01-31T00:00:00.000Z,TNS,0.39,0.39,0.0,EST,0,EQUITY,2019-01-31
13,EW,Edwards Lifesciences Corporation,2018-10-23T00:00:00.000Z,TNS,0.34,0.36,5.31,EST,0,EQUITY,2018-10-23
14,EW,Edwards Lifesciences Corporation,2018-07-26T00:00:00.000Z,TNS,0.38,0.41,8.97,EST,0,EQUITY,2018-07-26
15,EW,Edwards Lifesciences Corporation,2018-04-24T00:00:00.000Z,TNS,1.11,1.22,9.52,EST,0,EQUITY,2018-04-24
16,EW,Edwards Lifesciences Corporation,2018-02-01T00:00:00.000Z,TNS,0.91,0.94,3.41,EST,0,EQUITY,2018-02-01
17,EW,Edwards Lifesciences Corporation,2017-10-24T00:00:00.000Z,TNS,0.86,0.84,-2.55,EST,0,EQUITY,2017-10-24
18,EW,Edwards Lifesciences Corporation,2017-07-26T00:00:00.000Z,TNS,0.88,1.08,22.59,EST,0,EQUITY,2017-07-26
19,EW,Edwards Lifesciences Corporation,2017-04-25T00:00:00.000Z,TNS,0.82,0.94,14.22,EST,0,EQUITY,2017-04-25
20,EW,Edwards Lifesciences Corporation,2017-02-01T00:00:00.000Z,TNS,0.72,0.75,4.6,EST,0,EQUITY,2017-02-01
21,EW,Edwards Lifesciences Corporation,2016-10-25T00:00:00.000Z,TNS,0.68,0.68,0.15,EST,0,EQUITY,2016-10-25
22,EW,Edwards Lifesciences Corporation,2016-07-26T00:00:00.000Z,TNS,0.7,0.76,8.57,EST,0,EQUITY,2016-07-26
23,EW,Edwards Lifesciences Corporation,2016-04-26T00:00:00.000Z,TNS,0.66,0.71,8.23,EST,0,EQUITY,2016-04-26
24,EW,Edwards Lifesciences Corporation,2016-02-02T00:00:00.000Z,TNS,0.62,0.63,1.45,EST,0,EQUITY,2016-02-02
25,EW,Edwards Lifesciences Corporation,2015-10-26T00:00:00.000Z,TNS,0.49,0.54,9.18,EST,0,EQUITY,2015-10-26
26,EW,Edwards Lifesciences Corporation,2015-07-28T00:00:00.000Z,TNS,0.53,0.56,7.62,EST,0,EQUITY,2015-07-28
27,EW,Edwards Lifesciences Corporation,2015-04-23T00:00:00.000Z,TNS,0.52,0.56,7.28,EST,0,EQUITY,2015-04-23
28,EW,Edwards Lifesciences Corporation,2015-02-03T00:00:00.000Z,TNS,0.48,0.53,11.58,EST,0,EQUITY,2015-02-03
29,EW,Edwards Lifesciences Corporation,2014-10-23T00:00:00.000Z,TNS,0.36,0.4,10.5,EST,0,EQUITY,2014-10-23
30,EW,Edwards Lifesciences Corporation,2014-07-29T00:00:00.000Z,TNS,0.38,0.44,14.48,EST,0,EQUITY,2014-07-29
31,EW,Edwards Lifesciences Corporation,2014-04-24T00:00:00.000Z,TNS,0.35,0.38,10.1,EST,0,EQUITY,2014-04-24
32,EW,Edwards Lifesciences Corporation,2014-02-03T00:00:00.000Z,TNS,0.41,0.46,10.49,EST,0,EQUITY,2014-02-03
33,EW,Edwards Lifesciences Corporation,2013-10-28T00:00:00.000Z,TNS,0.33,0.34,3.19,EST,0,EQUITY,2013-10-28
34,EW,Edwards Lifesciences Corporation,2013-07-25T00:00:00.000Z,TNS,0.38,0.41,7.52,EST,0,EQUITY,2013-07-25
35,EW,Edwards Lifesciences Corporation,2013-04-23T00:00:00.000Z,TNS,0.38,0.36,-5.16,EST,0,EQUITY,2013-04-23
36,EW,Edwards Lifesciences Corporation,2013-02-04T00:00:00.000Z,TNS,0.38,0.45,17.28,EST,0,EQUITY,2013-02-04
37,EW,Edwards Lifesciences Corporation,2012-10-19T00:00:00.000Z,TNS,0.28,0.29,3.15,EST,0,EQUITY,2012-10-19
38,EW,Edwards Lifesciences Corporation,2012-07-24T00:00:00.000Z,TNS,0.33,0.34,2.43,EST,0,EQUITY,2012-07-24
39,EW,Edwards Lifesciences Corporation,2012-04-24T00:00:00.000Z,TNS,0.24,0.27,10.94,EST,0,EQUITY,2012-04-24
40,EW,Edwards Lifesciences Corporation,2012-02-02T00:00:00.000Z,TNS,0.3,0.31,4.49,EST,0,EQUITY,2012-02-02
41,EW,Edwards Lifesciences Corporation,2011-10-19T00:00:00.000Z,TNS,0.2,0.19,-2.95,EST,0,EQUITY,2011-10-19
42,EW,Edwards Lifesciences Corporation,2011-07-21T00:00:00.000Z,TNS,0.25,0.25,-1.85,EST,0,EQUITY,2011-07-21
43,EW,Edwards Lifesciences Corporation,2011-04-20T00:00:00.000Z,TNS,0.21,0.27,26.67,EST,0,EQUITY,2011-04-20
44,EW,Edwards Lifesciences Corporation,2011-02-02T00:00:00.000Z,TNS,0.26,0.28,3.9,EST,0,EQUITY,2011-02-02
45,EW,Edwards Lifesciences Corporation,2010-10-25T00:00:00.000Z,TNS,0.21,0.22,1.99,EST,0,EQUITY,2010-10-25
46,EW,Edwards Lifesciences Corporation,2010-07-21T00:00:00.000Z,TNS,0.22,0.23,3.66,EST,0,EQUITY,2010-07-21
47,EW,Edwards Lifesciences Corporation,2010-04-20T00:00:00.000Z,TNS,0.2,0.2,0.91,EST,0,EQUITY,2010-04-20
48,EW,Edwards Lifesciences Corporation,2010-02-04T00:00:00.000Z,TNS,0.21,0.21,-0.57,EST,0,EQUITY,2010-02-04
49,EW,Edwards Lifesciences Corporation,2009-10-21T00:00:00.000Z,TNS,0.17,0.18,1.84,EST,0,EQUITY,2009-10-21
50,EW,Edwards Lifesciences Corporation,2009-07-20T00:00:00.000Z,TNS,0.19,0.2,4.26,EST,0,EQUITY,2009-07-20
51,EW,Edwards Lifesciences Corporation,2009-04-27T00:00:00.000Z,TNS,0.17,0.18,2.11,EST,0,EQUITY,2009-04-27
52,EW,Edwards Lifesciences Corporation,2009-02-03T00:00:00.000Z,TNS,0.19,0.2,2.73,EST,0,EQUITY,2009-02-03
53,EW,Edwards Lifesciences Corporation,2008-10-21T00:00:00.000Z,TNS,0.14,0.14,-0.14,EST,0,EQUITY,2008-10-21
54,EW,Edwards Lifesciences Corporation,2008-07-22T00:00:00.000Z,TNS,0.16,0.17,3.87,EST,0,EQUITY,2008-07-22
55,EW,Edwards Lifesciences Corporation,2008-04-22T00:00:00.000Z,TNS,0.12,0.14,13.88,EST,0,EQUITY,2008-04-22
