,ticker,companyshortname,startdatetime,startdatetimetype,epsestimate,epsactual,epssurprisepct,timeZoneShortName,gmtOffsetMilliSeconds,quoteType,date
0,EXAS,Exact Sciences Corp,2021-11-02T16:05:06.000Z,TAS,-0.85,-0.97,-14.12,EST,-18000000,EQUITY,2021-11-02
2,EXAS,Exact Sciences Corporation,2021-07-28T00:00:00.000Z,TNS,-0.76,-1.03,-34.82,EST,0,EQUITY,2021-07-28
3,EXAS,Exact Sciences Corporation,2021-05-04T00:00:00.000Z,TNS,-1.03,-0.18,82.51,EST,0,EQUITY,2021-05-04
4,EXAS,Exact Sciences Corporation,2021-02-16T00:00:00.000Z,TNS,-0.22,-2.79,-1156.76,EST,0,EQUITY,2021-02-16
5,EXAS,Exact Sciences Corporation,2020-10-27T00:00:00.000Z,TNS,-0.52,-1.46,-181.31,EST,0,EQUITY,2020-10-27
6,EXAS,Exact Sciences Corporation,2020-07-30T00:00:00.000Z,TNS,-0.63,-0.58,7.94,EST,0,EQUITY,2020-07-30
7,EXAS,Exact Sciences Corporation,2020-05-06T00:00:00.000Z,TNS,-0.59,-0.71,-20.34,EST,0,EQUITY,2020-05-06
8,EXAS,Exact Sciences Corporation,2020-02-11T00:00:00.000Z,TNS,-0.35,0.54,252.54,EST,0,EQUITY,2020-02-11
9,EXAS,Exact Sciences Corporation,2019-10-29T00:00:00.000Z,TNS,-0.41,-0.31,23.83,EST,0,EQUITY,2019-10-29
10,EXAS,Exact Sciences Corporation,2019-07-29T00:00:00.000Z,TNS,-0.56,-0.3,46.24,EST,0,EQUITY,2019-07-29
11,EXAS,Exact Sciences Corporation,2019-04-30T00:00:00.000Z,TNS,-0.65,-0.66,-1.54,EST,0,EQUITY,2019-04-30
12,EXAS,Exact Sciences Corporation,2019-02-21T00:00:00.000Z,TNS,-0.49,-0.44,9.84,EST,0,EQUITY,2019-02-21
13,EXAS,Exact Sciences Corporation,2018-10-30T00:00:00.000Z,TNS,-0.42,-0.37,12.94,EST,0,EQUITY,2018-10-30
14,EXAS,Exact Sciences Corporation,2018-08-01T00:00:00.000Z,TNS,-0.32,-0.3,7.12,EST,0,EQUITY,2018-08-01
15,EXAS,Exact Sciences Corporation,2018-04-26T00:00:00.000Z,TNS,-0.37,-0.33,10.33,EST,0,EQUITY,2018-04-26
16,EXAS,Exact Sciences Corporation,2018-02-22T00:00:00.000Z,TNS,-0.24,-0.18,24.05,EST,0,EQUITY,2018-02-22
17,EXAS,Exact Sciences Corporation,2017-10-30T00:00:00.000Z,TNS,-0.3,-0.23,22.82,EST,0,EQUITY,2017-10-30
18,EXAS,Exact Sciences Corporation,2017-07-25T00:00:00.000Z,TNS,-0.35,-0.27,23.51,EST,0,EQUITY,2017-07-25
19,EXAS,Exact Sciences Corporation,2017-04-27T00:00:00.000Z,TNS,-0.41,-0.32,21.57,EST,0,EQUITY,2017-04-27
20,EXAS,Exact Sciences Corporation,2017-02-21T00:00:00.000Z,TNS,-0.39,-0.34,13.71,EST,0,EQUITY,2017-02-21
21,EXAS,Exact Sciences Corporation,2016-10-26T00:00:00.000Z,TNS,-0.42,-0.36,15.09,EST,0,EQUITY,2016-10-26
22,EXAS,Exact Sciences Corporation,2016-07-26T00:00:00.000Z,TNS,-0.55,-0.46,15.75,EST,0,EQUITY,2016-07-26
23,EXAS,Exact Sciences Corporation,2016-05-03T00:00:00.000Z,TNS,-0.52,-0.49,6.49,EST,0,EQUITY,2016-05-03
24,EXAS,Exact Sciences Corporation,2016-02-24T00:00:00.000Z,TNS,-0.47,-0.41,12.58,EST,0,EQUITY,2016-02-24
25,EXAS,Exact Sciences Corporation,2015-10-29T00:00:00.000Z,TNS,-0.44,-0.45,-2.04,EST,0,EQUITY,2015-10-29
26,EXAS,Exact Sciences Corporation,2015-07-20T00:00:00.000Z,TNS,-0.44,-0.44,1.12,EST,0,EQUITY,2015-07-20
27,EXAS,Exact Sciences Corporation,2015-05-04T00:00:00.000Z,TNS,-0.41,-0.4,2.2,EST,0,EQUITY,2015-05-04
28,EXAS,Exact Sciences Corporation,2015-02-24T00:00:00.000Z,TNS,-0.39,-0.38,2.56,EST,0,EQUITY,2015-02-24
29,EXAS,Exact Sciences Corporation,2014-10-27T00:00:00.000Z,TNS,-0.31,-0.39,-23.81,EST,0,EQUITY,2014-10-27
30,EXAS,Exact Sciences Corporation,2014-07-22T00:00:00.000Z,TNS,-0.25,-0.24,2.61,EST,0,EQUITY,2014-07-22
31,EXAS,Exact Sciences Corporation,2014-05-01T00:00:00.000Z,TNS,-0.19,-0.23,-20.0,EST,0,EQUITY,2014-05-01
32,EXAS,Exact Sciences Corporation,2014-02-20T00:00:00.000Z,TNS,-0.19,-0.17,10.16,EST,0,EQUITY,2014-02-20
33,EXAS,Exact Sciences Corporation,2013-10-29T00:00:00.000Z,TNS,-0.18,-0.16,11.52,EST,0,EQUITY,2013-10-29
34,EXAS,Exact Sciences Corporation,2013-07-23T00:00:00.000Z,TNS,-0.18,-0.19,-6.09,EST,0,EQUITY,2013-07-23
35,EXAS,Exact Sciences Corporation,2013-05-01T00:00:00.000Z,TNS,-0.2,-0.17,14.28,EST,0,EQUITY,2013-05-01
36,EXAS,Exact Sciences Corporation,2013-02-20T00:00:00.000Z,TNS,-0.18,-0.22,-20.22,EST,0,EQUITY,2013-02-20
37,EXAS,Exact Sciences Corporation,2012-10-30T00:00:00.000Z,TNS,-0.21,-0.21,1.7,EST,0,EQUITY,2012-10-30
38,EXAS,Exact Sciences Corporation,2012-07-25T00:00:00.000Z,TNS,-0.19,-0.26,-35.32,EST,0,EQUITY,2012-07-25
39,EXAS,Exact Sciences Corporation,2012-05-01T00:00:00.000Z,TNS,-0.18,-0.19,-5.16,EST,0,EQUITY,2012-05-01
