,ticker,companyshortname,startdatetime,startdatetimetype,epsestimate,epsactual,epssurprisepct,timeZoneShortName,gmtOffsetMilliSeconds,quoteType,date
0,EXC,Exelon Corporation,2021-11-03T00:00:00.000Z,TNS,1.09,1.09,0.37,EST,0,EQUITY,2021-11-03
1,EXC,Exelon Corporation,2021-08-04T00:00:00.000Z,TNS,0.68,0.89,31.85,EST,0,EQUITY,2021-08-04
2,EXC,Exelon Corporation,2021-05-05T00:00:00.000Z,TNS,0.36,-0.06,-116.67,EST,0,EQUITY,2021-05-05
3,EXC,Exelon Corporation,2021-02-24T00:00:00.000Z,TNS,0.69,0.76,9.83,EST,0,EQUITY,2021-02-24
4,EXC,Exelon Corporation,2020-11-03T00:00:00.000Z,TNS,0.87,1.04,19.13,EST,0,EQUITY,2020-11-03
5,EXC,Exelon Corporation,2020-08-04T00:00:00.000Z,TNS,0.43,0.55,28.21,EST,0,EQUITY,2020-08-04
6,EXC,Exelon Corporation,2020-05-08T00:00:00.000Z,TNS,0.85,0.87,2.84,EST,0,EQUITY,2020-05-08
7,EXC,Exelon Corporation,2020-02-11T00:00:00.000Z,TNS,0.73,0.83,13.85,EST,0,EQUITY,2020-02-11
8,EXC,Exelon Corporation,2019-10-31T00:00:00.000Z,TNS,0.89,0.92,3.25,EST,0,EQUITY,2019-10-31
9,EXC,Exelon Corporation,2019-08-01T00:00:00.000Z,TNS,0.61,0.6,-1.64,EST,0,EQUITY,2019-08-01
10,EXC,Exelon Corporation,2019-05-02T00:00:00.000Z,TNS,0.87,0.87,-0.23,EST,0,EQUITY,2019-05-02
11,EXC,Exelon Corporation,2019-02-08T00:00:00.000Z,TNS,0.57,0.58,1.75,EST,0,EQUITY,2019-02-08
12,EXC,Exelon Corporation,2018-11-01T00:00:00.000Z,TNS,0.88,0.88,-0.34,EST,0,EQUITY,2018-11-01
13,EXC,Exelon Corporation,2018-08-02T00:00:00.000Z,TNS,0.61,0.71,15.82,EST,0,EQUITY,2018-08-02
14,EXC,Exelon Corporation,2018-05-02T00:00:00.000Z,TNS,0.91,0.96,5.38,EST,0,EQUITY,2018-05-02
15,EXC,Exelon Corporation,2018-02-07T00:00:00.000Z,TNS,0.6,0.55,-8.64,EST,0,EQUITY,2018-02-07
16,EXC,Exelon Corporation,2017-11-02T00:00:00.000Z,TNS,0.86,0.85,-0.82,EST,0,EQUITY,2017-11-02
17,EXC,Exelon Corporation,2017-08-02T00:00:00.000Z,TNS,0.53,0.54,2.86,EST,0,EQUITY,2017-08-02
18,EXC,Exelon Corporation,2017-05-03T00:00:00.000Z,TNS,0.62,0.65,5.69,EST,0,EQUITY,2017-05-03
19,EXC,Exelon Corporation,2017-02-08T00:00:00.000Z,TNS,0.45,0.44,-3.08,EST,0,EQUITY,2017-02-08
20,EXC,Exelon Corporation,2016-10-26T00:00:00.000Z,TNS,0.78,0.91,16.37,EST,0,EQUITY,2016-10-26
21,EXC,Exelon Corporation,2016-08-09T00:00:00.000Z,TNS,0.56,0.65,16.28,EST,0,EQUITY,2016-08-09
22,EXC,Exelon Corporation,2016-05-06T00:00:00.000Z,TNS,0.68,0.68,0.0,EST,0,EQUITY,2016-05-06
23,EXC,Exelon Corporation,2016-02-03T00:00:00.000Z,TNS,0.41,0.38,-6.17,EST,0,EQUITY,2016-02-03
24,EXC,Exelon Corporation,2015-10-30T00:00:00.000Z,TNS,0.72,0.83,15.76,EST,0,EQUITY,2015-10-30
25,EXC,Exelon Corporation,2015-07-29T00:00:00.000Z,TNS,0.54,0.59,10.28,EST,0,EQUITY,2015-07-29
26,EXC,Exelon Corporation,2015-04-29T00:00:00.000Z,TNS,0.69,0.71,3.05,EST,0,EQUITY,2015-04-29
27,EXC,Exelon Corporation,2015-02-13T00:00:00.000Z,TNS,0.5,0.48,-4.76,EST,0,EQUITY,2015-02-13
28,EXC,Exelon Corporation,2014-10-29T00:00:00.000Z,TNS,0.72,0.78,9.09,EST,0,EQUITY,2014-10-29
29,EXC,Exelon Corporation,2014-07-31T00:00:00.000Z,TNS,0.5,0.51,1.82,EST,0,EQUITY,2014-07-31
30,EXC,Exelon Corporation,2014-04-30T00:00:00.000Z,TNS,0.69,0.62,-9.87,EST,0,EQUITY,2014-04-30
31,EXC,Exelon Corporation,2014-02-06T00:00:00.000Z,TNS,0.54,0.5,-7.19,EST,0,EQUITY,2014-02-06
32,EXC,Exelon Corporation,2013-10-30T00:00:00.000Z,TNS,0.66,0.78,18.13,EST,0,EQUITY,2013-10-30
33,EXC,Exelon Corporation,2013-07-31T00:00:00.000Z,TNS,0.54,0.53,-2.45,EST,0,EQUITY,2013-07-31
34,EXC,Exelon Corporation,2013-05-01T00:00:00.000Z,TNS,0.68,0.7,2.99,EST,0,EQUITY,2013-05-01
35,EXC,Exelon Corporation,2013-02-07T00:00:00.000Z,TNS,0.64,0.64,-0.59,EST,0,EQUITY,2013-02-07
36,EXC,Exelon Corporation,2012-11-01T00:00:00.000Z,TNS,0.72,0.77,7.23,EST,0,EQUITY,2012-11-01
37,EXC,Exelon Corporation,2012-08-01T00:00:00.000Z,TNS,0.63,0.61,-3.69,EST,0,EQUITY,2012-08-01
38,EXC,Exelon Corporation,2012-05-04T00:00:00.000Z,TNS,0.81,0.85,5.18,EST,0,EQUITY,2012-05-04
39,EXC,Exelon Corporation,2012-01-25T00:00:00.000Z,TNS,0.88,0.82,-7.27,EST,0,EQUITY,2012-01-25
