,ticker,companyshortname,startdatetime,startdatetimetype,epsestimate,epsactual,epssurprisepct,timeZoneShortName,gmtOffsetMilliSeconds,quoteType,date
3,EXLS,"ExlService Holdings, Inc.",2021-11-02T00:00:00.000Z,TNS,1.06,1.3,22.64,EST,0,EQUITY,2021-11-02
4,EXLS,"ExlService Holdings, Inc.",2021-07-29T00:00:00.000Z,TNS,1.01,1.14,12.54,EST,0,EQUITY,2021-07-29
5,EXLS,"ExlService Holdings, Inc.",2021-04-29T00:00:00.000Z,TNS,1.0,1.18,18.47,EST,0,EQUITY,2021-04-29
6,EXLS,"ExlService Holdings, Inc.",2021-02-25T00:00:00.000Z,TNS,1.07,1.14,6.94,EST,0,EQUITY,2021-02-25
7,EXLS,"ExlService Holdings, Inc.",2020-10-29T00:00:00.000Z,TNS,1.01,1.04,3.07,EST,0,EQUITY,2020-10-29
8,EXLS,"ExlService Holdings, Inc.",2020-08-06T00:00:00.000Z,TNS,0.31,0.53,68.79,EST,0,EQUITY,2020-08-06
9,EXLS,"ExlService Holdings, Inc.",2020-05-07T00:00:00.000Z,TNS,0.75,0.81,7.43,EST,0,EQUITY,2020-05-07
10,EXLS,"ExlService Holdings, Inc.",2020-02-27T00:00:00.000Z,TNS,0.73,0.79,8.82,EST,0,EQUITY,2020-02-27
11,EXLS,"ExlService Holdings, Inc.",2019-10-29T00:00:00.000Z,TNS,0.75,0.84,12.3,EST,0,EQUITY,2019-10-29
12,EXLS,"ExlService Holdings, Inc.",2019-07-30T00:00:00.000Z,TNS,0.71,0.74,4.23,EST,0,EQUITY,2019-07-30
13,EXLS,"ExlService Holdings, Inc.",2019-04-30T00:00:00.000Z,TNS,0.68,0.71,3.8,EST,0,EQUITY,2019-04-30
14,EXLS,"ExlService Holdings, Inc.",2019-02-28T00:00:00.000Z,TNS,0.73,0.74,1.65,EST,0,EQUITY,2019-02-28
15,EXLS,"ExlService Holdings, Inc.",2018-11-01T00:00:00.000Z,TNS,0.71,0.71,0.0,EST,0,EQUITY,2018-11-01
16,EXLS,"ExlService Holdings, Inc.",2018-08-02T00:00:00.000Z,TNS,0.64,0.67,4.52,EST,0,EQUITY,2018-08-02
17,EXLS,"ExlService Holdings, Inc.",2018-05-01T00:00:00.000Z,TNS,0.64,0.64,-0.16,EST,0,EQUITY,2018-05-01
18,EXLS,"ExlService Holdings, Inc.",2018-02-27T00:00:00.000Z,TNS,0.65,0.67,2.92,EST,0,EQUITY,2018-02-27
19,EXLS,"ExlService Holdings, Inc.",2017-10-26T00:00:00.000Z,TNS,0.65,0.68,4.94,EST,0,EQUITY,2017-10-26
20,EXLS,"ExlService Holdings, Inc.",2017-07-27T00:00:00.000Z,TNS,0.6,0.7,16.09,EST,0,EQUITY,2017-07-27
21,EXLS,"ExlService Holdings, Inc.",2017-05-02T00:00:00.000Z,TNS,0.59,0.6,2.56,EST,0,EQUITY,2017-05-02
22,EXLS,"ExlService Holdings, Inc.",2017-02-28T00:00:00.000Z,TNS,0.58,0.61,5.9,EST,0,EQUITY,2017-02-28
23,EXLS,"ExlService Holdings, Inc.",2016-10-27T00:00:00.000Z,TNS,0.59,0.61,3.39,EST,0,EQUITY,2016-10-27
24,EXLS,"ExlService Holdings, Inc.",2016-07-28T00:00:00.000Z,TNS,0.53,0.55,4.17,EST,0,EQUITY,2016-07-28
25,EXLS,"ExlService Holdings, Inc.",2016-04-28T00:00:00.000Z,TNS,0.53,0.56,5.07,EST,0,EQUITY,2016-04-28
26,EXLS,"ExlService Holdings, Inc.",2016-02-23T00:00:00.000Z,TNS,0.52,0.56,7.69,EST,0,EQUITY,2016-02-23
27,EXLS,"ExlService Holdings, Inc.",2015-10-29T00:00:00.000Z,TNS,0.51,0.58,13.73,EST,0,EQUITY,2015-10-29
28,EXLS,"ExlService Holdings, Inc.",2015-07-30T00:00:00.000Z,TNS,0.43,0.48,11.89,EST,0,EQUITY,2015-07-30
29,EXLS,"ExlService Holdings, Inc.",2015-04-30T00:00:00.000Z,TNS,0.42,0.41,-1.68,EST,0,EQUITY,2015-04-30
30,EXLS,"ExlService Holdings, Inc.",2015-02-24T00:00:00.000Z,TNS,0.43,0.48,10.6,EST,0,EQUITY,2015-02-24
31,EXLS,"ExlService Holdings, Inc.",2014-10-30T00:00:00.000Z,TNS,0.42,0.44,4.76,EST,0,EQUITY,2014-10-30
32,EXLS,"ExlService Holdings, Inc.",2014-07-29T00:00:00.000Z,TNS,0.39,0.41,6.37,EST,0,EQUITY,2014-07-29
33,EXLS,"ExlService Holdings, Inc.",2014-05-01T00:00:00.000Z,TNS,0.41,0.5,20.61,EST,0,EQUITY,2014-05-01
34,EXLS,"ExlService Holdings, Inc.",2014-03-03T00:00:00.000Z,TNS,0.49,0.55,11.83,EST,0,EQUITY,2014-03-03
35,EXLS,"ExlService Holdings, Inc.",2013-10-30T00:00:00.000Z,TNS,0.46,0.48,5.11,EST,0,EQUITY,2013-10-30
36,EXLS,"ExlService Holdings, Inc.",2013-07-30T00:00:00.000Z,TNS,0.37,0.37,0.22,EST,0,EQUITY,2013-07-30
37,EXLS,"ExlService Holdings, Inc.",2013-05-01T00:00:00.000Z,TNS,0.39,0.4,1.48,EST,0,EQUITY,2013-05-01
38,EXLS,"ExlService Holdings, Inc.",2013-03-01T00:00:00.000Z,TNS,0.42,0.44,4.35,EST,0,EQUITY,2013-03-01
39,EXLS,"ExlService Holdings, Inc.",2012-11-02T00:00:00.000Z,TNS,0.4,0.42,5.96,EST,0,EQUITY,2012-11-02
40,EXLS,"ExlService Holdings, Inc.",2012-07-31T00:00:00.000Z,TNS,0.32,0.36,12.18,EST,0,EQUITY,2012-07-31
41,EXLS,"ExlService Holdings, Inc.",2012-05-02T00:00:00.000Z,TNS,0.36,0.36,-0.25,EST,0,EQUITY,2012-05-02
