,ticker,companyshortname,startdatetime,startdatetimetype,epsestimate,epsactual,epssurprisepct,timeZoneShortName,gmtOffsetMilliSeconds,quoteType,date
0,EXP,Eagle Materials Inc.,2021-10-28T00:00:00.000Z,TNS,2.71,2.73,0.74,EST,0,EQUITY,2021-10-28
1,EXP,Eagle Materials Inc.,2021-07-28T00:00:00.000Z,TNS,2.06,2.25,9.01,EST,0,EQUITY,2021-07-28
2,EXP,Eagle Materials Inc.,2021-05-19T00:00:00.000Z,TNS,1.24,1.56,26.32,EST,0,EQUITY,2021-05-19
3,EXP,Eagle Materials Inc.,2021-01-28T00:00:00.000Z,TNS,1.74,1.94,11.62,EST,0,EQUITY,2021-01-28
4,EXP,Eagle Materials Inc.,2020-10-29T00:00:00.000Z,TNS,1.85,2.02,9.31,EST,0,EQUITY,2020-10-29
5,EXP,Eagle Materials Inc.,2020-07-30T00:00:00.000Z,TNS,1.12,1.57,40.43,EST,0,EQUITY,2020-07-30
6,EXP,Eagle Materials Inc.,2020-05-19T00:00:00.000Z,TNS,0.88,1.28,44.96,EST,0,EQUITY,2020-05-19
7,EXP,Eagle Materials Inc.,2020-02-04T00:00:00.000Z,TNS,1.5,1.51,0.47,EST,0,EQUITY,2020-02-04
8,EXP,Eagle Materials Inc.,2019-10-31T00:00:00.000Z,TNS,1.59,1.77,11.18,EST,0,EQUITY,2019-10-31
9,EXP,Eagle Materials Inc.,2019-07-30T00:00:00.000Z,TNS,1.3,1.13,-13.34,EST,0,EQUITY,2019-07-30
10,EXP,Eagle Materials Inc.,2019-05-16T00:00:00.000Z,TNS,0.8,0.87,8.21,EST,0,EQUITY,2019-05-16
11,EXP,Eagle Materials Inc.,2019-01-29T00:00:00.000Z,TNS,1.34,1.24,-7.46,EST,0,EQUITY,2019-01-29
12,EXP,Eagle Materials Inc.,2018-10-30T00:00:00.000Z,TNS,1.7,1.53,-10.0,EST,0,EQUITY,2018-10-30
13,EXP,Eagle Materials Inc.,2018-07-30T00:00:00.000Z,TNS,1.56,1.38,-11.65,EST,0,EQUITY,2018-07-30
14,EXP,Eagle Materials Inc.,2018-05-15T00:00:00.000Z,TNS,1.08,0.82,-23.93,EST,0,EQUITY,2018-05-15
15,EXP,Eagle Materials Inc.,2018-01-31T00:00:00.000Z,TNS,1.39,2.08,50.07,EST,0,EQUITY,2018-01-31
16,EXP,Eagle Materials Inc.,2017-10-25T00:00:00.000Z,TNS,1.55,1.31,-15.27,EST,0,EQUITY,2017-10-25
17,EXP,Eagle Materials Inc.,2017-07-27T00:00:00.000Z,TNS,1.16,1.13,-2.59,EST,0,EQUITY,2017-07-27
18,EXP,Eagle Materials Inc.,2017-05-18T00:00:00.000Z,TNS,0.85,0.88,4.02,EST,0,EQUITY,2017-05-18
19,EXP,Eagle Materials Inc.,2017-01-24T00:00:00.000Z,TNS,1.14,1.17,3.08,EST,0,EQUITY,2017-01-24
20,EXP,Eagle Materials Inc.,2016-10-24T00:00:00.000Z,TNS,1.29,1.25,-2.87,EST,0,EQUITY,2016-10-24
21,EXP,Eagle Materials Inc.,2016-07-25T00:00:00.000Z,TNS,0.86,0.93,8.39,EST,0,EQUITY,2016-07-25
22,EXP,Eagle Materials Inc.,2016-05-18T00:00:00.000Z,TNS,0.64,0.8,25.79,EST,0,EQUITY,2016-05-18
23,EXP,Eagle Materials Inc.,2016-01-28T00:00:00.000Z,TNS,0.97,0.92,-5.15,EST,0,EQUITY,2016-01-28
24,EXP,Eagle Materials Inc.,2015-10-26T00:00:00.000Z,TNS,1.19,1.11,-6.49,EST,0,EQUITY,2015-10-26
25,EXP,Eagle Materials Inc.,2015-08-03T00:00:00.000Z,TNS,0.87,0.75,-13.79,EST,0,EQUITY,2015-08-03
26,EXP,Eagle Materials Inc.,2015-05-14T00:00:00.000Z,TNS,0.71,0.66,-6.52,EST,0,EQUITY,2015-05-14
27,EXP,Eagle Materials Inc.,2015-02-03T00:00:00.000Z,TNS,0.99,1.04,4.63,EST,0,EQUITY,2015-02-03
28,EXP,Eagle Materials Inc.,2014-10-28T00:00:00.000Z,TNS,1.03,1.03,0.1,EST,0,EQUITY,2014-10-28
29,EXP,Eagle Materials Inc.,2014-07-22T00:00:00.000Z,TNS,0.87,0.75,-14.04,EST,0,EQUITY,2014-07-22
30,EXP,Eagle Materials Inc.,2014-05-14T00:00:00.000Z,TNS,0.5,0.52,4.0,EST,0,EQUITY,2014-05-14
31,EXP,Eagle Materials Inc.,2014-02-04T00:00:00.000Z,TNS,0.73,0.63,-13.8,EST,0,EQUITY,2014-02-04
32,EXP,Eagle Materials Inc.,2013-10-30T00:00:00.000Z,TNS,0.8,0.8,0.0,EST,0,EQUITY,2013-10-30
