,ticker,companyshortname,startdatetime,startdatetimetype,epsestimate,epsactual,epssurprisepct,timeZoneShortName,gmtOffsetMilliSeconds,quoteType,date
3,FFIV,"F5, Inc.",2021-10-26T00:00:00.000Z,TNS,2.75,3.01,9.53,EST,0,EQUITY,2021-10-26
4,FFIV,"F5, Inc.",2021-07-26T00:00:00.000Z,TNS,2.46,2.76,12.1,EST,0,EQUITY,2021-07-26
5,FFIV,"F5, Inc.",2021-04-27T00:00:00.000Z,TNS,2.4,2.5,4.38,EST,0,EQUITY,2021-04-27
6,FFIV,"F5, Inc.",2021-01-26T00:00:00.000Z,TNS,2.47,2.59,5.07,EST,0,EQUITY,2021-01-26
7,FFIV,"F5, Inc.",2020-10-26T00:00:00.000Z,TNS,2.37,2.43,2.36,EST,0,EQUITY,2020-10-26
8,FFIV,"F5, Inc.",2020-07-27T00:00:00.000Z,TNS,2.04,2.18,7.07,EST,0,EQUITY,2020-07-27
9,FFIV,"F5, Inc.",2020-04-27T00:00:00.000Z,TNS,1.96,2.23,13.78,EST,0,EQUITY,2020-04-27
10,FFIV,"F5, Inc.",2020-01-27T00:00:00.000Z,TNS,2.43,2.55,5.02,EST,0,EQUITY,2020-01-27
11,FFIV,"F5, Inc.",2019-10-23T00:00:00.000Z,TNS,2.55,2.59,1.65,EST,0,EQUITY,2019-10-23
12,FFIV,"F5, Inc.",2019-07-24T00:00:00.000Z,TNS,2.56,2.52,-1.64,EST,0,EQUITY,2019-07-24
13,FFIV,"F5, Inc.",2019-04-24T00:00:00.000Z,TNS,2.55,2.57,0.98,EST,0,EQUITY,2019-04-24
14,FFIV,"F5, Inc.",2019-01-23T00:00:00.000Z,TNS,2.54,2.7,6.51,EST,0,EQUITY,2019-01-23
15,FFIV,"F5, Inc.",2018-10-24T00:00:00.000Z,TNS,2.63,2.9,10.14,EST,0,EQUITY,2018-10-24
16,FFIV,"F5, Inc.",2018-07-25T00:00:00.000Z,TNS,2.39,2.44,2.26,EST,0,EQUITY,2018-07-25
17,FFIV,"F5, Inc.",2018-04-25T00:00:00.000Z,TNS,2.27,2.31,1.9,EST,0,EQUITY,2018-04-25
18,FFIV,"F5, Inc.",2018-01-24T00:00:00.000Z,TNS,2.04,2.26,10.62,EST,0,EQUITY,2018-01-24
19,FFIV,"F5, Inc.",2017-10-25T00:00:00.000Z,TNS,2.21,2.44,10.61,EST,0,EQUITY,2017-10-25
20,FFIV,"F5, Inc.",2017-07-26T00:00:00.000Z,TNS,2.03,2.03,0.1,EST,0,EQUITY,2017-07-26
21,FFIV,"F5, Inc.",2017-04-26T00:00:00.000Z,TNS,1.97,1.95,-1.12,EST,0,EQUITY,2017-04-26
22,FFIV,"F5, Inc.",2017-01-25T00:00:00.000Z,TNS,1.94,1.98,2.17,EST,0,EQUITY,2017-01-25
23,FFIV,"F5, Inc.",2016-10-26T00:00:00.000Z,TNS,1.94,2.11,8.71,EST,0,EQUITY,2016-10-26
24,FFIV,"F5, Inc.",2016-07-20T00:00:00.000Z,TNS,1.79,1.81,1.23,EST,0,EQUITY,2016-07-20
25,FFIV,"F5, Inc.",2016-04-20T00:00:00.000Z,TNS,1.63,1.68,3.19,EST,0,EQUITY,2016-04-20
26,FFIV,"F5, Inc.",2016-01-20T00:00:00.000Z,TNS,1.6,1.73,7.92,EST,0,EQUITY,2016-01-20
27,FFIV,"F5, Inc.",2015-10-28T00:00:00.000Z,TNS,1.74,1.84,5.5,EST,0,EQUITY,2015-10-28
28,FFIV,"F5, Inc.",2015-07-22T00:00:00.000Z,TNS,1.6,1.67,4.64,EST,0,EQUITY,2015-07-22
29,FFIV,"F5, Inc.",2015-04-22T00:00:00.000Z,TNS,1.5,1.59,6.07,EST,0,EQUITY,2015-04-22
30,FFIV,"F5, Inc.",2015-01-21T00:00:00.000Z,TNS,1.49,1.55,4.24,EST,0,EQUITY,2015-01-21
31,FFIV,"F5, Inc.",2014-10-29T00:00:00.000Z,TNS,1.48,1.57,6.01,EST,0,EQUITY,2014-10-29
32,FFIV,"F5, Inc.",2014-07-23T00:00:00.000Z,TNS,1.35,1.39,3.0,EST,0,EQUITY,2014-07-23
33,FFIV,"F5, Inc.",2014-04-23T00:00:00.000Z,TNS,1.25,1.27,1.48,EST,0,EQUITY,2014-04-23
34,FFIV,"F5, Inc.",2014-01-22T00:00:00.000Z,TNS,1.19,1.22,2.6,EST,0,EQUITY,2014-01-22
35,FFIV,"F5, Inc.",2013-10-23T00:00:00.000Z,TNS,1.19,1.26,6.12,EST,0,EQUITY,2013-10-23
36,FFIV,"F5, Inc.",2013-07-24T00:00:00.000Z,TNS,1.08,1.12,3.62,EST,0,EQUITY,2013-07-24
37,FFIV,"F5, Inc.",2013-04-24T00:00:00.000Z,TNS,1.06,1.07,0.53,EST,0,EQUITY,2013-04-24
38,FFIV,"F5, Inc.",2013-01-23T00:00:00.000Z,TNS,1.15,1.14,-0.71,EST,0,EQUITY,2013-01-23
39,FFIV,"F5, Inc.",2012-10-24T00:00:00.000Z,TNS,1.18,1.12,-4.84,EST,0,EQUITY,2012-10-24
40,FFIV,"F5, Inc.",2012-07-18T00:00:00.000Z,TNS,1.14,1.14,0.32,EST,0,EQUITY,2012-07-18
41,FFIV,"F5, Inc.",2012-04-18T00:00:00.000Z,TNS,1.07,1.09,2.29,EST,0,EQUITY,2012-04-18
42,FFIV,"F5, Inc.",2012-01-18T00:00:00.000Z,TNS,1.01,1.03,1.85,EST,0,EQUITY,2012-01-18
43,FFIV,"F5, Inc.",2011-10-25T00:00:00.000Z,TNS,0.98,1.06,8.2,EST,0,EQUITY,2011-10-25
44,FFIV,"F5, Inc.",2011-07-20T00:00:00.000Z,TNS,0.91,0.97,6.79,EST,0,EQUITY,2011-07-20
