,ticker,companyshortname,startdatetime,startdatetimetype,epsestimate,epsactual,epssurprisepct,timeZoneShortName,gmtOffsetMilliSeconds,quoteType,date
3,FLT,Fleetcor Technologies Inc,2021-11-03T16:05:01.000Z,TAS,3.48,3.52,1.15,EST,-18000000,EQUITY,2021-11-03
5,FLT,"FLEETCOR Technologies, Inc.",2021-08-04T00:00:00.000Z,TNS,2.94,3.15,7.18,EST,0,EQUITY,2021-08-04
6,FLT,"FLEETCOR Technologies, Inc.",2021-05-05T00:00:00.000Z,TNS,2.73,2.82,3.45,EST,0,EQUITY,2021-05-05
7,FLT,"FLEETCOR Technologies, Inc.",2021-02-04T00:00:00.000Z,TNS,2.82,3.01,6.93,EST,0,EQUITY,2021-02-04
8,FLT,"FLEETCOR Technologies, Inc.",2020-11-05T00:00:00.000Z,TNS,2.65,2.8,5.74,EST,0,EQUITY,2020-11-05
9,FLT,"FLEETCOR Technologies, Inc.",2020-08-06T00:00:00.000Z,TNS,2.17,2.28,5.07,EST,0,EQUITY,2020-08-06
10,FLT,"FLEETCOR Technologies, Inc.",2020-05-07T00:00:00.000Z,TNS,2.83,3.0,6.04,EST,0,EQUITY,2020-05-07
11,FLT,"FLEETCOR Technologies, Inc.",2020-02-06T00:00:00.000Z,TNS,3.14,3.17,1.12,EST,0,EQUITY,2020-02-06
12,FLT,"FLEETCOR Technologies, Inc.",2019-11-06T00:00:00.000Z,TNS,3.05,3.1,1.54,EST,0,EQUITY,2019-11-06
13,FLT,"FLEETCOR Technologies, Inc.",2019-08-06T00:00:00.000Z,TNS,2.8,2.85,1.64,EST,0,EQUITY,2019-08-06
14,FLT,"FLEETCOR Technologies, Inc.",2019-05-07T00:00:00.000Z,TNS,2.64,2.67,1.17,EST,0,EQUITY,2019-05-07
15,FLT,"FLEETCOR Technologies, Inc.",2019-02-06T00:00:00.000Z,TNS,2.72,2.78,2.21,EST,0,EQUITY,2019-02-06
16,FLT,"FLEETCOR Technologies, Inc.",2018-10-30T00:00:00.000Z,TNS,2.66,2.68,0.6,EST,0,EQUITY,2018-10-30
17,FLT,"FLEETCOR Technologies, Inc.",2018-08-02T00:00:00.000Z,TNS,2.53,2.57,1.5,EST,0,EQUITY,2018-08-02
18,FLT,"FLEETCOR Technologies, Inc.",2018-05-03T00:00:00.000Z,TNS,2.37,2.5,5.35,EST,0,EQUITY,2018-05-03
19,FLT,"FLEETCOR Technologies, Inc.",2018-02-08T00:00:00.000Z,TNS,2.33,2.42,3.73,EST,0,EQUITY,2018-02-08
20,FLT,"FLEETCOR Technologies, Inc.",2017-11-01T00:00:00.000Z,TNS,2.15,2.18,1.58,EST,0,EQUITY,2017-11-01
21,FLT,"FLEETCOR Technologies, Inc.",2017-08-03T00:00:00.000Z,TNS,1.97,1.99,0.91,EST,0,EQUITY,2017-08-03
22,FLT,"FLEETCOR Technologies, Inc.",2017-05-01T00:00:00.000Z,TNS,1.87,1.96,4.76,EST,0,EQUITY,2017-05-01
23,FLT,"FLEETCOR Technologies, Inc.",2017-02-08T00:00:00.000Z,TNS,1.87,1.9,1.71,EST,0,EQUITY,2017-02-08
24,FLT,"FLEETCOR Technologies, Inc.",2016-11-01T00:00:00.000Z,TNS,1.86,1.92,3.0,EST,0,EQUITY,2016-11-01
25,FLT,"FLEETCOR Technologies, Inc.",2016-08-04T00:00:00.000Z,TNS,1.54,1.56,1.17,EST,0,EQUITY,2016-08-04
26,FLT,"FLEETCOR Technologies, Inc.",2016-05-04T00:00:00.000Z,TNS,1.5,1.53,2.14,EST,0,EQUITY,2016-05-04
27,FLT,"FLEETCOR Technologies, Inc.",2016-02-04T00:00:00.000Z,TNS,1.61,1.7,5.72,EST,0,EQUITY,2016-02-04
