,ticker,companyshortname,startdatetime,startdatetimetype,epsestimate,epsactual,epssurprisepct,timeZoneShortName,gmtOffsetMilliSeconds,quoteType,date
0,FN,Fabrinet,2021-11-01T17:29:00.000Z,TAS,1.33,1.45,9.02,EST,-18000000,EQUITY,2021-11-01
2,FN,Fabrinet,2021-08-16T00:00:00.000Z,TNS,1.22,1.31,7.55,EST,0,EQUITY,2021-08-16
3,FN,Fabrinet,2021-05-03T00:00:00.000Z,TNS,1.14,1.21,5.77,EST,0,EQUITY,2021-05-03
4,FN,Fabrinet,2021-02-01T00:00:00.000Z,TNS,1.04,1.1,5.97,EST,0,EQUITY,2021-02-01
5,FN,Fabrinet,2020-11-02T00:00:00.000Z,TNS,0.98,1.05,7.58,EST,0,EQUITY,2020-11-02
6,FN,Fabrinet,2020-08-17T00:00:00.000Z,TNS,0.87,0.96,10.34,EST,0,EQUITY,2020-08-17
7,FN,Fabrinet,2020-05-04T00:00:00.000Z,TNS,0.94,0.92,-1.6,EST,0,EQUITY,2020-05-04
8,FN,Fabrinet,2020-02-03T00:00:00.000Z,TNS,0.93,1.0,7.53,EST,0,EQUITY,2020-02-03
9,FN,Fabrinet,2019-11-04T00:00:00.000Z,TNS,0.82,0.86,4.75,EST,0,EQUITY,2019-11-04
10,FN,Fabrinet,2019-08-19T00:00:00.000Z,TNS,0.94,1.0,6.72,EST,0,EQUITY,2019-08-19
11,FN,Fabrinet,2019-05-06T00:00:00.000Z,TNS,0.89,0.92,3.6,EST,0,EQUITY,2019-05-06
12,FN,Fabrinet,2019-02-04T00:00:00.000Z,TNS,0.92,0.97,5.43,EST,0,EQUITY,2019-02-04
13,FN,Fabrinet,2018-11-05T00:00:00.000Z,TNS,0.81,0.92,14.14,EST,0,EQUITY,2018-11-05
14,FN,Fabrinet,2018-08-20T00:00:00.000Z,TNS,0.75,0.81,8.29,EST,0,EQUITY,2018-08-20
15,FN,Fabrinet,2018-05-07T00:00:00.000Z,TNS,0.71,0.71,0.28,EST,0,EQUITY,2018-05-07
16,FN,Fabrinet,2018-02-05T00:00:00.000Z,TNS,0.7,0.72,3.15,EST,0,EQUITY,2018-02-05
17,FN,Fabrinet,2017-11-06T00:00:00.000Z,TNS,0.8,0.75,-5.9,EST,0,EQUITY,2017-11-06
18,FN,Fabrinet,2017-08-21T00:00:00.000Z,TNS,0.83,0.86,3.24,EST,0,EQUITY,2017-08-21
19,FN,Fabrinet,2017-05-08T00:00:00.000Z,TNS,0.88,0.8,-9.09,EST,0,EQUITY,2017-05-08
20,FN,Fabrinet,2017-02-06T00:00:00.000Z,TNS,0.79,0.91,15.63,EST,0,EQUITY,2017-02-06
21,FN,Fabrinet,2016-11-07T00:00:00.000Z,TNS,0.71,0.8,12.2,EST,0,EQUITY,2016-11-07
22,FN,Fabrinet,2016-08-15T00:00:00.000Z,TNS,0.6,0.6,0.5,EST,0,EQUITY,2016-08-15
23,FN,Fabrinet,2016-05-02T00:00:00.000Z,TNS,0.53,0.56,5.26,EST,0,EQUITY,2016-05-02
24,FN,Fabrinet,2016-02-01T00:00:00.000Z,TNS,0.46,0.5,8.7,EST,0,EQUITY,2016-02-01
25,FN,Fabrinet,2015-11-02T00:00:00.000Z,TNS,0.42,0.45,7.14,EST,0,EQUITY,2015-11-02
26,FN,Fabrinet,2015-08-17T00:00:00.000Z,TNS,0.39,0.4,3.09,EST,0,EQUITY,2015-08-17
27,FN,Fabrinet,2015-05-04T00:00:00.000Z,TNS,0.35,0.36,3.15,EST,0,EQUITY,2015-05-04
28,FN,Fabrinet,2015-02-02T00:00:00.000Z,TNS,0.38,0.4,4.17,EST,0,EQUITY,2015-02-02
29,FN,Fabrinet,2014-11-03T00:00:00.000Z,TNS,0.4,0.41,1.49,EST,0,EQUITY,2014-11-03
30,FN,Fabrinet,2014-10-16T00:00:00.000Z,TNS,0.35,0.34,-2.3,EST,0,EQUITY,2014-10-16
31,FN,Fabrinet,2014-05-05T00:00:00.000Z,TNS,0.34,0.34,1.28,EST,0,EQUITY,2014-05-05
32,FN,Fabrinet,2014-02-03T00:00:00.000Z,TNS,0.41,0.45,10.92,EST,0,EQUITY,2014-02-03
33,FN,Fabrinet,2013-11-04T00:00:00.000Z,TNS,0.33,0.4,21.21,EST,0,EQUITY,2013-11-04
34,FN,Fabrinet,2013-08-12T00:00:00.000Z,TNS,0.29,0.35,21.39,EST,0,EQUITY,2013-08-12
35,FN,Fabrinet,2013-04-29T00:00:00.000Z,TNS,0.31,0.33,5.96,EST,0,EQUITY,2013-04-29
36,FN,Fabrinet,2013-02-04T00:00:00.000Z,TNS,0.36,0.39,7.48,EST,0,EQUITY,2013-02-04
37,FN,Fabrinet,2012-11-05T00:00:00.000Z,TNS,0.31,0.36,15.6,EST,0,EQUITY,2012-11-05
38,FN,Fabrinet,2012-08-20T00:00:00.000Z,TNS,0.26,0.31,17.93,EST,0,EQUITY,2012-08-20
39,FN,Fabrinet,2012-05-07T00:00:00.000Z,TNS,0.23,0.28,19.66,EST,0,EQUITY,2012-05-07
40,FN,Fabrinet,2012-02-06T00:00:00.000Z,TNS,-0.32,0.18,157.01,EST,0,EQUITY,2012-02-06
41,FN,Fabrinet,2011-11-07T00:00:00.000Z,TNS,0.43,0.48,12.06,EST,0,EQUITY,2011-11-07
42,FN,Fabrinet,2011-08-15T00:00:00.000Z,TNS,0.47,0.51,7.59,EST,0,EQUITY,2011-08-15
43,FN,Fabrinet,2011-05-02T00:00:00.000Z,TNS,0.49,0.56,14.87,EST,0,EQUITY,2011-05-02
44,FN,Fabrinet,2011-01-31T00:00:00.000Z,TNS,0.44,0.48,8.27,EST,0,EQUITY,2011-01-31
45,FN,Fabrinet,2010-11-01T00:00:00.000Z,TNS,0.41,0.45,11.11,EST,0,EQUITY,2010-11-01
46,FN,Fabrinet,2010-08-18T00:00:00.000Z,TNS,0.39,0.43,11.69,EST,0,EQUITY,2010-08-18
