,ticker,companyshortname,startdatetime,startdatetimetype,epsestimate,epsactual,epssurprisepct,timeZoneShortName,gmtOffsetMilliSeconds,quoteType,date
0,FNF,"Fidelity National Financial, Inc.",2021-11-02T00:00:00.000Z,TNS,1.65,2.12,28.17,EST,0,EQUITY,2021-11-02
1,FNF,"Fidelity National Financial, Inc.",2021-08-03T00:00:00.000Z,TNS,1.43,2.06,44.56,EST,0,EQUITY,2021-08-03
2,FNF,"Fidelity National Financial, Inc.",2021-05-07T00:00:00.000Z,TNS,1.22,1.56,27.87,EST,0,EQUITY,2021-05-07
3,FNF,"Fidelity National Financial, Inc.",2021-02-24T00:00:00.000Z,TNS,1.32,2.01,52.04,EST,0,EQUITY,2021-02-24
4,FNF,"Fidelity National Financial, Inc.",2020-11-04T00:00:00.000Z,TNS,1.26,1.48,17.27,EST,0,EQUITY,2020-11-04
5,FNF,"Fidelity National Financial, Inc.",2020-08-04T00:00:00.000Z,TNS,0.7,1.09,56.83,EST,0,EQUITY,2020-08-04
6,FNF,"Fidelity National Financial, Inc.",2020-04-22T00:00:00.000Z,TNS,0.6,0.73,22.28,EST,0,EQUITY,2020-04-22
7,FNF,"Fidelity National Financial, Inc.",2020-02-13T00:00:00.000Z,TNS,0.93,0.95,2.59,EST,0,EQUITY,2020-02-13
8,FNF,"Fidelity National Financial, Inc.",2019-10-29T00:00:00.000Z,TNS,0.91,1.1,20.75,EST,0,EQUITY,2019-10-29
9,FNF,"Fidelity National Financial, Inc.",2019-07-16T00:00:00.000Z,TNS,0.86,0.92,7.23,EST,0,EQUITY,2019-07-16
10,FNF,"Fidelity National Financial, Inc.",2019-04-24T00:00:00.000Z,TNS,0.4,0.43,7.23,EST,0,EQUITY,2019-04-24
11,FNF,"Fidelity National Financial, Inc.",2019-02-13T00:00:00.000Z,TNS,0.67,0.63,-5.97,EST,0,EQUITY,2019-02-13
12,FNF,"Fidelity National Financial, Inc.",2018-10-24T00:00:00.000Z,TNS,0.79,0.78,-0.64,EST,0,EQUITY,2018-10-24
13,FNF,"Fidelity National Financial, Inc.",2018-07-17T00:00:00.000Z,TNS,0.82,0.86,4.62,EST,0,EQUITY,2018-07-17
14,FNF,"Fidelity National Financial, Inc.",2018-05-02T00:00:00.000Z,TNS,0.42,0.42,0.48,EST,0,EQUITY,2018-05-02
15,FNF,"Fidelity National Financial, Inc.",2018-01-30T00:00:00.000Z,TNS,0.6,0.6,0.67,EST,0,EQUITY,2018-01-30
16,FNF,"Fidelity National Financial, Inc.",2017-10-25T00:00:00.000Z,TNS,0.67,0.71,5.34,EST,0,EQUITY,2017-10-25
17,FNF,"Fidelity National Financial, Inc.",2017-07-19T00:00:00.000Z,TNS,0.72,0.75,3.73,EST,0,EQUITY,2017-07-19
18,FNF,"Fidelity National Financial, Inc.",2017-05-03T00:00:00.000Z,TNS,0.36,0.42,16.02,EST,0,EQUITY,2017-05-03
19,FNF,"Fidelity National Financial, Inc.",2017-02-01T00:00:00.000Z,TNS,0.62,0.71,14.33,EST,0,EQUITY,2017-02-01
20,FNF,"Fidelity National Financial, Inc.",2016-11-02T00:00:00.000Z,TNS,0.75,0.69,-7.88,EST,0,EQUITY,2016-11-02
21,FNF,"Fidelity National Financial, Inc.",2016-07-20T00:00:00.000Z,TNS,0.66,0.74,11.95,EST,0,EQUITY,2016-07-20
22,FNF,"Fidelity National Financial, Inc.",2016-04-27T00:00:00.000Z,TNS,0.36,0.33,-8.08,EST,0,EQUITY,2016-04-27
23,FNF,"Fidelity National Financial, Inc.",2016-02-10T00:00:00.000Z,TNS,0.52,0.55,4.96,EST,0,EQUITY,2016-02-10
24,FNF,"Fidelity National Financial, Inc.",2015-10-27T00:00:00.000Z,TNS,0.62,0.6,-3.07,EST,0,EQUITY,2015-10-27
25,FNF,"Fidelity National Financial, Inc.",2015-07-29T00:00:00.000Z,TNS,0.64,0.65,2.2,EST,0,EQUITY,2015-07-29
