,ticker,companyshortname,startdatetime,startdatetimetype,epsestimate,epsactual,epssurprisepct,timeZoneShortName,gmtOffsetMilliSeconds,quoteType,date
0,GCI,"Gannett Co., Inc.",2021-11-05T00:00:00.000Z,TNS,0.11,0.09,-17.43,EST,0,EQUITY,2021-11-05
1,GCI,"Gannett Co., Inc.",2021-08-06T00:00:00.000Z,TNS,-0.36,0.1,128.09,EST,0,EQUITY,2021-08-06
2,GCI,"Gannett Co., Inc.",2021-05-07T00:00:00.000Z,TNS,-0.12,-1.06,-748.0,EST,0,EQUITY,2021-05-07
3,GCI,"Gannett Co., Inc.",2021-02-25T00:00:00.000Z,TNS,-0.32,-0.36,-12.5,EST,0,EQUITY,2021-02-25
4,GCI,"Gannett Co., Inc.",2020-11-03T00:00:00.000Z,TNS,-0.44,-0.24,45.08,EST,0,EQUITY,2020-11-03
5,GCI,"Gannett Co., Inc.",2020-08-06T00:00:00.000Z,TNS,-0.62,-3.32,-433.76,EST,0,EQUITY,2020-08-06
6,GCI,"Gannett Co., Inc.",2020-05-07T00:00:00.000Z,TNS,-0.29,-0.61,-108.19,EST,0,EQUITY,2020-05-07
7,GCI,"Gannett Co., Inc.",2020-02-27T00:00:00.000Z,TNS,-0.27,0.34,225.0,EST,0,EQUITY,2020-02-27
8,GCI,"Gannett Co., Inc.",2019-11-04T00:00:00.000Z,TNS,0.04,0.12,242.86,EST,0,EQUITY,2019-11-04
9,GCI,"Gannett Co., Inc.",2019-10-31T00:00:00.000Z,TNS,0.12,-0.31,-358.33,EST,0,EQUITY,2019-10-31
10,GCI,"Gannett Co., Inc.",2019-08-05T00:00:00.000Z,TNS,0.07,0.06,-15.49,EST,0,EQUITY,2019-08-05
11,GCI,"Gannett Co., Inc.",2019-05-02T00:00:00.000Z,TNS,-0.01,-0.15,-2042.86,EST,0,EQUITY,2019-05-02
12,GCI,"Gannett Co., Inc.",2019-05-01T00:00:00.000Z,TNS,0.05,0.1,112.77,EST,0,EQUITY,2019-05-01
13,GCI,"Gannett Co., Inc.",2019-02-27T00:00:00.000Z,TNS,0.46,0.22,-52.07,EST,0,EQUITY,2019-02-27
14,GCI,"Gannett Co., Inc.",2019-02-20T00:00:00.000Z,TNS,0.46,0.44,-3.3,EST,0,EQUITY,2019-02-20
15,GCI,"Gannett Co., Inc.",2018-11-08T00:00:00.000Z,TNS,0.19,0.2,8.11,EST,0,EQUITY,2018-11-08
16,GCI,"Gannett Co., Inc.",2018-10-31T00:00:00.000Z,TNS,0.12,-0.08,-165.57,EST,0,EQUITY,2018-10-31
17,GCI,"Gannett Co., Inc.",2018-08-09T00:00:00.000Z,TNS,0.21,0.31,46.92,EST,0,EQUITY,2018-08-09
18,GCI,"Gannett Co., Inc.",2018-08-02T00:00:00.000Z,TNS,0.24,0.2,-17.7,EST,0,EQUITY,2018-08-02
19,GCI,"Gannett Co., Inc.",2018-05-07T00:00:00.000Z,TNS,0.03,0.13,420.0,EST,0,EQUITY,2018-05-07
20,GCI,"Gannett Co., Inc.",2018-05-03T00:00:00.000Z,TNS,-0.02,-0.01,52.38,EST,0,EQUITY,2018-05-03
21,GCI,"Gannett Co., Inc.",2018-02-28T00:00:00.000Z,TNS,0.32,0.5,54.32,EST,0,EQUITY,2018-02-28
22,GCI,"Gannett Co., Inc.",2018-02-20T00:00:00.000Z,TNS,0.46,0.55,19.57,EST,0,EQUITY,2018-02-20
23,GCI,"Gannett Co., Inc.",2017-11-02T00:00:00.000Z,TNS,0.08,0.17,112.5,EST,0,EQUITY,2017-11-02
24,GCI,"Gannett Co., Inc.",2017-10-26T00:00:00.000Z,TNS,0.1,-0.04,-139.6,EST,0,EQUITY,2017-10-26
25,GCI,"Gannett Co., Inc.",2017-08-03T00:00:00.000Z,TNS,0.17,0.18,4.05,EST,0,EQUITY,2017-08-03
26,GCI,"Gannett Co., Inc.",2017-07-27T00:00:00.000Z,TNS,0.18,-0.41,-334.29,EST,0,EQUITY,2017-07-27
27,GCI,"Gannett Co., Inc.",2017-04-27T00:00:00.000Z,TNS,-0.07,-0.07,0.0,EST,0,EQUITY,2017-04-27
28,GCI,"Gannett Co., Inc.",2017-04-25T00:00:00.000Z,TNS,0.11,0.14,30.84,EST,0,EQUITY,2017-04-25
29,GCI,"Gannett Co., Inc.",2017-02-21T00:00:00.000Z,TNS,0.44,0.31,-29.06,EST,0,EQUITY,2017-02-21
30,GCI,"Gannett Co., Inc.",2017-02-09T00:00:00.000Z,TNS,0.42,0.5,19.05,EST,0,EQUITY,2017-02-09
31,GCI,"Gannett Co., Inc.",2016-10-27T00:00:00.000Z,TNS,0.13,0.06,-52.76,EST,0,EQUITY,2016-10-27
32,GCI,"Gannett Co., Inc.",2016-07-28T00:00:00.000Z,TNS,0.29,0.21,-27.08,EST,0,EQUITY,2016-07-28
33,GCI,"Gannett Co., Inc.",2016-07-27T00:00:00.000Z,TNS,0.31,0.3,-2.6,EST,0,EQUITY,2016-07-27
34,GCI,"Gannett Co., Inc.",2016-04-28T00:00:00.000Z,TNS,0.03,0.11,266.67,EST,0,EQUITY,2016-04-28
35,GCI,"Gannett Co., Inc.",2016-04-27T00:00:00.000Z,TNS,0.14,0.27,97.08,EST,0,EQUITY,2016-04-27
36,GCI,"Gannett Co., Inc.",2016-02-25T00:00:00.000Z,TNS,0.41,0.19,-53.66,EST,0,EQUITY,2016-02-25
37,GCI,"Gannett Co., Inc.",2016-02-17T00:00:00.000Z,TNS,0.54,0.17,-68.69,EST,0,EQUITY,2016-02-17
38,GCI,"Gannett Co., Inc.",2015-10-29T00:00:00.000Z,TNS,0.27,0.14,-48.15,EST,0,EQUITY,2015-10-29
39,GCI,"Gannett Co., Inc.",2015-07-30T00:00:00.000Z,TNS,0.3,0.25,-16.67,EST,0,EQUITY,2015-07-30
40,GCI,"Gannett Co., Inc.",2015-07-29T00:00:00.000Z,TNS,0.51,0.46,-8.91,EST,0,EQUITY,2015-07-29
42,GCI,"Gannett Co., Inc.",2015-04-30T00:00:00.000Z,TNS,-0.1,-0.14,-35.92,EST,0,EQUITY,2015-04-30
43,GCI,"Gannett Co., Inc.",2015-02-26T00:00:00.000Z,TNS,0.31,0.3,-4.15,EST,0,EQUITY,2015-02-26
44,GCI,"Gannett Co., Inc.",2014-10-30T00:00:00.000Z,TNS,0.09,-0.15,-266.67,EST,0,EQUITY,2014-10-30
45,GCI,"Gannett Co., Inc.",2014-07-31T00:00:00.000Z,TNS,0.2,0.19,-5.0,EST,0,EQUITY,2014-07-31
46,GCI,"Gannett Co., Inc.",2014-05-01T00:00:00.000Z,TNS,0.16,-0.22,-237.5,EST,0,EQUITY,2014-05-01
