,ticker,companyshortname,startdatetime,startdatetimetype,epsestimate,epsactual,epssurprisepct,timeZoneShortName,gmtOffsetMilliSeconds,quoteType,date
0,GEF,"Greif, Inc.",2021-12-08T00:00:00.000Z,TNS,1.49,1.93,29.88,EST,0,EQUITY,2021-12-08
1,GEF,"Greif, Inc.",2021-09-01T00:00:00.000Z,TNS,1.54,1.93,25.65,EST,0,EQUITY,2021-09-01
2,GEF,"Greif, Inc.",2021-06-09T00:00:00.000Z,TNS,1.06,1.13,6.2,EST,0,EQUITY,2021-06-09
3,GEF,"Greif, Inc.",2021-02-24T00:00:00.000Z,TNS,0.53,0.61,14.66,EST,0,EQUITY,2021-02-24
4,GEF,"Greif, Inc.",2020-12-09T00:00:00.000Z,TNS,0.73,0.78,7.59,EST,0,EQUITY,2020-12-09
5,GEF,"Greif, Inc.",2020-08-26T00:00:00.000Z,TNS,0.85,0.85,-0.35,EST,0,EQUITY,2020-08-26
6,GEF,"Greif, Inc.",2020-06-03T00:00:00.000Z,TNS,0.75,0.95,25.99,EST,0,EQUITY,2020-06-03
7,GEF,"Greif, Inc.",2020-02-26T00:00:00.000Z,TNS,0.55,0.64,15.52,EST,0,EQUITY,2020-02-26
8,GEF,"Greif, Inc.",2019-12-04T00:00:00.000Z,TNS,1.09,1.24,14.29,EST,0,EQUITY,2019-12-04
9,GEF,"Greif, Inc.",2019-08-28T00:00:00.000Z,TNS,1.18,1.26,7.05,EST,0,EQUITY,2019-08-28
10,GEF,"Greif, Inc.",2019-06-05T00:00:00.000Z,TNS,0.79,0.81,2.4,EST,0,EQUITY,2019-06-05
11,GEF,"Greif, Inc.",2019-02-27T00:00:00.000Z,TNS,0.64,0.65,2.04,EST,0,EQUITY,2019-02-27
12,GEF,"Greif, Inc.",2018-12-05T00:00:00.000Z,TNS,1.19,1.08,-9.24,EST,0,EQUITY,2018-12-05
13,GEF,"Greif, Inc.",2018-08-29T00:00:00.000Z,TNS,1.08,1.2,11.42,EST,0,EQUITY,2018-08-29
14,GEF,"Greif, Inc.",2018-06-06T00:00:00.000Z,TNS,0.85,0.76,-10.59,EST,0,EQUITY,2018-06-06
15,GEF,"Greif, Inc.",2018-02-28T00:00:00.000Z,TNS,0.66,0.49,-25.64,EST,0,EQUITY,2018-02-28
16,GEF,"Greif, Inc.",2017-12-06T00:00:00.000Z,TNS,0.89,0.98,10.24,EST,0,EQUITY,2017-12-06
17,GEF,"Greif, Inc.",2017-08-30T00:00:00.000Z,TNS,0.85,0.85,0.0,EST,0,EQUITY,2017-08-30
18,GEF,"Greif, Inc.",2017-06-07T00:00:00.000Z,TNS,0.74,0.67,-9.34,EST,0,EQUITY,2017-06-07
19,GEF,"Greif, Inc.",2017-03-01T00:00:00.000Z,TNS,0.5,0.45,-10.0,EST,0,EQUITY,2017-03-01
20,GEF,"Greif, Inc.",2016-12-07T00:00:00.000Z,TNS,0.68,0.65,-3.85,EST,0,EQUITY,2016-12-07
21,GEF,"Greif, Inc.",2016-08-31T00:00:00.000Z,TNS,0.72,0.91,26.39,EST,0,EQUITY,2016-08-31
22,GEF,"Greif, Inc.",2016-06-08T00:00:00.000Z,TNS,0.57,0.47,-17.25,EST,0,EQUITY,2016-06-08
23,GEF,"Greif, Inc.",2016-03-07T00:00:00.000Z,TNS,0.32,0.4,23.84,EST,0,EQUITY,2016-03-07
24,GEF,"Greif, Inc.",2015-12-10T00:00:00.000Z,TNS,0.49,0.76,54.16,EST,0,EQUITY,2015-12-10
25,GEF,"Greif, Inc.",2015-09-03T00:00:00.000Z,TNS,0.41,0.6,48.15,EST,0,EQUITY,2015-09-03
26,GEF,"Greif, Inc.",2015-06-08T00:00:00.000Z,TNS,0.49,0.53,8.61,EST,0,EQUITY,2015-06-08
27,GEF,"Greif, Inc.",2015-03-04T00:00:00.000Z,TNS,0.37,0.3,-19.57,EST,0,EQUITY,2015-03-04
28,GEF,"Greif, Inc.",2015-01-14T00:00:00.000Z,TNS,0.77,0.85,9.82,EST,0,EQUITY,2015-01-14
29,GEF,"Greif, Inc.",2014-08-27T00:00:00.000Z,TNS,0.84,0.41,-51.13,EST,0,EQUITY,2014-08-27
30,GEF,"Greif, Inc.",2014-06-04T00:00:00.000Z,TNS,0.67,0.57,-14.74,EST,0,EQUITY,2014-06-04
31,GEF,"Greif, Inc.",2014-02-26T00:00:00.000Z,TNS,0.55,0.45,-17.62,EST,0,EQUITY,2014-02-26
