,ticker,companyshortname,startdatetime,startdatetimetype,epsestimate,epsactual,epssurprisepct,timeZoneShortName,gmtOffsetMilliSeconds,quoteType,date
14,GEOS,Geospace Technologies Corporation,2019-02-05T00:00:00.000Z,TNS,-0.15,-0.44,-193.33,EST,0,EQUITY,2019-02-05
15,GEOS,Geospace Technologies Corporation,2018-11-15T00:00:00.000Z,TNS,-0.27,-0.02,92.59,EST,0,EQUITY,2018-11-15
21,GEOS,Geospace Technologies Corporation,2017-05-04T00:00:00.000Z,TNS,-0.67,-0.88,-31.34,EST,0,EQUITY,2017-05-04
22,GEOS,Geospace Technologies Corporation,2017-02-08T00:00:00.000Z,TNS,-0.47,-0.58,-23.4,EST,0,EQUITY,2017-02-08
23,GEOS,Geospace Technologies Corporation,2016-11-16T00:00:00.000Z,TNS,-0.46,-0.94,-104.35,EST,0,EQUITY,2016-11-16
24,GEOS,Geospace Technologies Corporation,2016-08-04T00:00:00.000Z,TNS,-0.56,-0.89,-57.52,EST,0,EQUITY,2016-08-04
25,GEOS,Geospace Technologies Corporation,2016-05-05T00:00:00.000Z,TNS,-0.66,-0.84,-26.32,EST,0,EQUITY,2016-05-05
26,GEOS,Geospace Technologies Corporation,2016-02-03T00:00:00.000Z,TNS,-0.85,-0.85,0.58,EST,0,EQUITY,2016-02-03
27,GEOS,Geospace Technologies Corporation,2015-11-18T00:00:00.000Z,TNS,-0.57,-1.03,-80.07,EST,0,EQUITY,2015-11-18
28,GEOS,Geospace Technologies Corporation,2015-08-06T00:00:00.000Z,TNS,-0.4,-0.66,-64.18,EST,0,EQUITY,2015-08-06
29,GEOS,Geospace Technologies Corporation,2015-05-07T00:00:00.000Z,TNS,-0.33,-0.4,-21.95,EST,0,EQUITY,2015-05-07
30,GEOS,Geospace Technologies Corporation,2015-02-04T00:00:00.000Z,TNS,-0.1,-0.41,-301.96,EST,0,EQUITY,2015-02-04
31,GEOS,Geospace Technologies Corporation,2014-11-20T00:00:00.000Z,TNS,0.24,-0.14,-158.09,EST,0,EQUITY,2014-11-20
32,GEOS,Geospace Technologies Corporation,2014-08-06T00:00:00.000Z,TNS,0.37,0.29,-21.45,EST,0,EQUITY,2014-08-06
33,GEOS,Geospace Technologies Corporation,2014-05-07T00:00:00.000Z,TNS,1.03,0.82,-20.22,EST,0,EQUITY,2014-05-07
34,GEOS,Geospace Technologies Corporation,2014-02-05T00:00:00.000Z,TNS,1.97,1.85,-6.3,EST,0,EQUITY,2014-02-05
35,GEOS,Geospace Technologies Corporation,2013-11-21T00:00:00.000Z,TNS,1.05,1.05,0.35,EST,0,EQUITY,2013-11-21
