,ticker,companyshortname,startdatetime,startdatetimetype,epsestimate,epsactual,epssurprisepct,timeZoneShortName,gmtOffsetMilliSeconds,quoteType,date
4,GLP,Global Partners LP,2021-11-05T00:00:00.000Z,TNS,0.64,0.86,35.22,EST,0,EQUITY,2021-11-05
5,GLP,Global Partners LP,2021-08-06T00:00:00.000Z,TNS,0.52,0.23,-55.6,EST,0,EQUITY,2021-08-06
6,GLP,Global Partners LP,2021-05-07T00:00:00.000Z,TNS,-0.05,-0.2,-277.36,EST,0,EQUITY,2021-05-07
7,GLP,Global Partners LP,2021-03-05T00:00:00.000Z,TNS,-0.17,0.06,134.29,EST,0,EQUITY,2021-03-05
8,GLP,Global Partners LP,2020-11-05T00:00:00.000Z,TNS,0.12,0.47,308.7,EST,0,EQUITY,2020-11-05
9,GLP,Global Partners LP,2020-08-06T00:00:00.000Z,TNS,-0.79,2.17,375.38,EST,0,EQUITY,2020-08-06
10,GLP,Global Partners LP,2020-05-08T00:00:00.000Z,TNS,0.12,0.05,-57.63,EST,0,EQUITY,2020-05-08
11,GLP,Global Partners LP,2020-03-06T00:00:00.000Z,TNS,-0.1,-0.08,22.33,EST,0,EQUITY,2020-03-06
12,GLP,Global Partners LP,2019-11-07T00:00:00.000Z,TNS,0.2,0.38,90.0,EST,0,EQUITY,2019-11-07
13,GLP,Global Partners LP,2019-08-08T00:00:00.000Z,TNS,0.02,0.36,2150.0,EST,0,EQUITY,2019-08-08
14,GLP,Global Partners LP,2019-05-09T00:00:00.000Z,TNS,0.07,0.15,123.88,EST,0,EQUITY,2019-05-09
15,GLP,Global Partners LP,2019-03-07T00:00:00.000Z,TNS,0.06,1.47,2572.73,EST,0,EQUITY,2019-03-07
16,GLP,Global Partners LP,2018-11-08T00:00:00.000Z,TNS,0.27,-0.44,-261.76,EST,0,EQUITY,2018-11-08
17,GLP,Global Partners LP,2018-08-09T00:00:00.000Z,TNS,0.12,0.19,58.33,EST,0,EQUITY,2018-08-09
18,GLP,Global Partners LP,2018-05-09T00:00:00.000Z,TNS,0.15,1.73,1068.92,EST,0,EQUITY,2018-05-09
19,GLP,Global Partners LP,2018-03-08T00:00:00.000Z,TNS,0.16,0.2,26.58,EST,0,EQUITY,2018-03-08
20,GLP,Global Partners LP,2017-11-08T00:00:00.000Z,TNS,0.24,0.44,81.07,EST,0,EQUITY,2017-11-08
21,GLP,Global Partners LP,2017-08-09T00:00:00.000Z,TNS,0.06,0.07,12.9,EST,0,EQUITY,2017-08-09
22,GLP,Global Partners LP,2017-05-09T00:00:00.000Z,TNS,-0.05,0.68,1336.36,EST,0,EQUITY,2017-05-09
23,GLP,Global Partners LP,2017-03-09T00:00:00.000Z,TNS,-1.35,-1.94,-43.81,EST,0,EQUITY,2017-03-09
24,GLP,Global Partners LP,2016-11-07T00:00:00.000Z,TNS,0.01,-3.54,-70900.0,EST,0,EQUITY,2016-11-07
25,GLP,Global Partners LP,2016-08-08T00:00:00.000Z,TNS,-0.18,-0.22,-22.22,EST,0,EQUITY,2016-08-08
26,GLP,Global Partners LP,2016-05-09T00:00:00.000Z,TNS,-0.13,-0.21,-62.79,EST,0,EQUITY,2016-05-09
27,GLP,Global Partners LP,2016-02-29T00:00:00.000Z,TNS,-0.1,-0.07,27.84,EST,0,EQUITY,2016-02-29
28,GLP,Global Partners LP,2015-11-05T00:00:00.000Z,TNS,0.35,0.16,-54.8,EST,0,EQUITY,2015-11-05
29,GLP,Global Partners LP,2015-08-06T00:00:00.000Z,TNS,0.12,0.15,21.95,EST,0,EQUITY,2015-08-06
