,ticker,companyshortname,startdatetime,startdatetimetype,epsestimate,epsactual,epssurprisepct,timeZoneShortName,gmtOffsetMilliSeconds,quoteType,date
0,GOGO,Gogo Inc.,2021-11-04T00:00:00.000Z,TNS,0.09,0.16,86.05,EST,0,EQUITY,2021-11-04
1,GOGO,Gogo Inc.,2021-08-05T00:00:00.000Z,TNS,-0.05,-0.63,-1045.45,EST,0,EQUITY,2021-08-05
2,GOGO,Gogo Inc.,2021-05-06T00:00:00.000Z,TNS,-0.13,-0.09,29.69,EST,0,EQUITY,2021-05-06
3,GOGO,Gogo Inc.,2021-03-11T00:00:00.000Z,TNS,-0.32,0.01,103.14,EST,0,EQUITY,2021-03-11
4,GOGO,Gogo Inc.,2020-11-09T00:00:00.000Z,TNS,-0.77,-0.97,-25.97,EST,0,EQUITY,2020-11-09
5,GOGO,Gogo Inc.,2020-08-10T00:00:00.000Z,TNS,-0.88,-1.05,-18.64,EST,0,EQUITY,2020-08-10
6,GOGO,Gogo Inc.,2020-05-11T00:00:00.000Z,TNS,-0.37,-1.04,-178.82,EST,0,EQUITY,2020-05-11
7,GOGO,Gogo Inc.,2020-03-13T00:00:00.000Z,TNS,-0.49,-0.28,43.09,EST,0,EQUITY,2020-03-13
8,GOGO,Gogo Inc.,2019-11-07T00:00:00.000Z,TNS,-0.56,-0.28,50.27,EST,0,EQUITY,2019-11-07
9,GOGO,Gogo Inc.,2019-08-08T00:00:00.000Z,TNS,-0.57,-1.04,-83.75,EST,0,EQUITY,2019-08-08
10,GOGO,Gogo Inc.,2019-05-09T00:00:00.000Z,TNS,-0.5,-0.21,58.0,EST,0,EQUITY,2019-05-09
11,GOGO,Gogo Inc.,2019-02-21T00:00:00.000Z,TNS,-0.74,-0.74,-0.54,EST,0,EQUITY,2019-02-21
12,GOGO,Gogo Inc.,2018-11-06T00:00:00.000Z,TNS,-0.72,-0.47,34.36,EST,0,EQUITY,2018-11-06
13,GOGO,Gogo Inc.,2018-08-08T00:00:00.000Z,TNS,-0.74,-0.47,36.91,EST,0,EQUITY,2018-08-08
14,GOGO,Gogo Inc.,2018-05-04T00:00:00.000Z,TNS,-0.58,-0.34,41.68,EST,0,EQUITY,2018-05-04
15,GOGO,Gogo Inc.,2018-02-22T00:00:00.000Z,TNS,-0.48,-0.52,-8.79,EST,0,EQUITY,2018-02-22
16,GOGO,Gogo Inc.,2017-11-02T00:00:00.000Z,TNS,-0.51,-0.57,-12.2,EST,0,EQUITY,2017-11-02
17,GOGO,Gogo Inc.,2017-08-07T00:00:00.000Z,TNS,-0.5,-0.56,-12.45,EST,0,EQUITY,2017-08-07
18,GOGO,Gogo Inc.,2017-05-04T00:00:00.000Z,TNS,-0.52,-0.52,0.0,EST,0,EQUITY,2017-05-04
19,GOGO,Gogo Inc.,2017-02-27T00:00:00.000Z,TNS,-0.45,-0.34,25.11,EST,0,EQUITY,2017-02-27
20,GOGO,Gogo Inc.,2016-11-03T00:00:00.000Z,TNS,-0.43,-0.42,1.41,EST,0,EQUITY,2016-11-03
21,GOGO,Gogo Inc.,2016-08-04T00:00:00.000Z,TNS,-0.41,-0.51,-25.62,EST,0,EQUITY,2016-08-04
22,GOGO,Gogo Inc.,2016-05-06T00:00:00.000Z,TNS,-0.41,-0.31,24.02,EST,0,EQUITY,2016-05-06
23,GOGO,Gogo Inc.,2016-02-25T00:00:00.000Z,TNS,-0.43,-0.43,0.46,EST,0,EQUITY,2016-02-25
24,GOGO,Gogo Inc.,2015-11-05T00:00:00.000Z,TNS,-0.41,-0.37,10.63,EST,0,EQUITY,2015-11-05
25,GOGO,Gogo Inc.,2015-08-06T00:00:00.000Z,TNS,-0.31,-0.32,-3.9,EST,0,EQUITY,2015-08-06
26,GOGO,Gogo Inc.,2015-05-07T00:00:00.000Z,TNS,-0.28,-0.24,15.49,EST,0,EQUITY,2015-05-07
27,GOGO,Gogo Inc.,2015-02-26T00:00:00.000Z,TNS,-0.3,-0.28,8.2,EST,0,EQUITY,2015-02-26
28,GOGO,Gogo Inc.,2014-11-10T00:00:00.000Z,TNS,-0.26,-0.29,-13.28,EST,0,EQUITY,2014-11-10
29,GOGO,Gogo Inc.,2014-08-11T00:00:00.000Z,TNS,-0.23,-0.22,3.99,EST,0,EQUITY,2014-08-11
30,GOGO,Gogo Inc.,2014-05-12T00:00:00.000Z,TNS,-0.25,-0.2,19.35,EST,0,EQUITY,2014-05-12
31,GOGO,Gogo Inc.,2014-03-13T00:00:00.000Z,TNS,-0.27,-0.26,4.41,EST,0,EQUITY,2014-03-13
32,GOGO,Gogo Inc.,2013-11-11T00:00:00.000Z,TNS,-0.29,-0.22,25.42,EST,0,EQUITY,2013-11-11
33,GOGO,Gogo Inc.,2013-08-07T00:00:00.000Z,TNS,-0.37,-0.23,37.84,EST,0,EQUITY,2013-08-07
