,ticker,companyshortname,startdatetime,startdatetimetype,epsestimate,epsactual,epssurprisepct,timeZoneShortName,gmtOffsetMilliSeconds,quoteType,date
4,GSKY,"GreenSky, Inc.",2021-11-04T00:00:00.000Z,TNS,0.13,0.19,49.61,EST,0,EQUITY,2021-11-04
5,GSKY,"GreenSky, Inc.",2021-07-28T00:00:00.000Z,TNS,0.05,0.22,388.89,EST,0,EQUITY,2021-07-28
6,GSKY,"GreenSky, Inc.",2021-05-04T00:00:00.000Z,TNS,-0.02,0.05,338.1,EST,0,EQUITY,2021-05-04
7,GSKY,"GreenSky, Inc.",2021-03-10T00:00:00.000Z,TNS,0.06,0.11,86.44,EST,0,EQUITY,2021-03-10
8,GSKY,"GreenSky, Inc.",2020-11-09T00:00:00.000Z,TNS,0.08,0.01,-88.1,EST,0,EQUITY,2020-11-09
9,GSKY,"GreenSky, Inc.",2020-08-10T00:00:00.000Z,TNS,-0.02,0.06,400.0,EST,0,EQUITY,2020-08-10
10,GSKY,"GreenSky, Inc.",2020-05-11T00:00:00.000Z,TNS,0.05,-0.05,-208.7,EST,0,EQUITY,2020-05-11
11,GSKY,"GreenSky, Inc.",2020-03-02T00:00:00.000Z,TNS,0.13,0.12,-5.51,EST,0,EQUITY,2020-03-02
12,GSKY,"GreenSky, Inc.",2019-11-05T00:00:00.000Z,TNS,0.21,0.2,-6.54,EST,0,EQUITY,2019-11-05
13,GSKY,"GreenSky, Inc.",2019-08-06T00:00:00.000Z,TNS,0.23,0.15,-35.34,EST,0,EQUITY,2019-08-06
14,GSKY,"GreenSky, Inc.",2019-05-07T00:00:00.000Z,TNS,0.05,0.04,-14.89,EST,0,EQUITY,2019-05-07
15,GSKY,"GreenSky, Inc.",2019-03-05T00:00:00.000Z,TNS,0.1,0.11,6.8,EST,0,EQUITY,2019-03-05
16,GSKY,"GreenSky, Inc.",2018-11-06T00:00:00.000Z,TNS,0.2,0.21,6.06,EST,0,EQUITY,2018-11-06
17,GSKY,"GreenSky, Inc.",2018-08-07T00:00:00.000Z,TNS,0.16,0.18,13.92,EST,0,EQUITY,2018-08-07
